// race-specific variables (must start with _)
_empire                           | Империята Булати, Империята на Берати, Империята на Урсинати, Империя Паурати, Империята Гризлати
_race                             | Булати, Берати, Урсинати, Паурати, Гризлати
_race_plural                      | Булати, Берати, Урсинати, Паурати, Гризлати
_title                            | Велики Йерарх
_nameTitle                        | Велики Йерарх


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Помощник
MAIN_ADVISOR_BUTTON_OK            | Напред
MAIN_ADVISOR_SCOUT                | Господарю, подготвихме за излитане както разузнавачи, така колонийски кораб. Ще започнем да изследваме и колонизираме близката система по ваша команда.
MAIN_ADVISOR_TRANSPORT            | Светът на %1, е добавен към нашата империя! Дайте заповедта и ние веднага ще започнем да изпращаме транспорт!
MAIN_ADVISOR_DIPLOMACY            | Извънземна раса е осъществила контакт с нашата империя, Господарю. Дали ще се отнасяме към тях като към приятел или като враг е решение, оставено единствено на вас.
MAIN_ADVISOR_SHIP_ENGINE          | Нашите учени продължават да разширяват технологичните граници, този път чрез подобряване на скоростта на нашите двигатели. Те очакват вашето решение за актуализирани корабни проекти.
MAIN_ADVISOR_RALLY_POINTS         | Славна битка ни чака! Насочете нашите новоизградени кораби с точки за сбор, за да съберете нашите флоти, където пожелаете.
MAIN_ADVISOR_MISSILE_BASES        | Нашите колонии очакват вашата дума Господарю, да започнете ли изграждането на ракетни бази, за да помогнете в тяхната защита срещу вражеските атаки.
MAIN_ADVISOR_SHIP_WEAPON          | Нашите изследователи са замислили опустошително ново оръжие за нашите флоти! Прегледайте нашите корабни проекти в свободното си време, Господарю, за да решите как ще паднат враговете ни преди огромната ни мощ.
MAIN_ADVISOR_COUNCIL              | Представители на първия Галактически съвет скоро ще се съберат, Господарю. Нашите дипломати ще следват вашите указания, за да гарантират, че решенията на съвета са в съответствие с вашата воля. 
MAIN_ADVISOR_REBELLION            | Изглежда хората от %1 са решили да ти се противопоставят открито, Господарю. Време е да им напомните защо вие сте избраният да ръководите Империята!
MAIN_ADVISOR_RESIST_COUNCIL       | Само вие можете да седнете на трона на галактиката! Ще сме винаги свирепи, докато не заемете полагащото ви се място, Господарю!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ха ха! Чудя се какво е да си толкова глупав, че да застанеш срещу нашето владетелство. Няма значение, тези малки бунтовници ще бъдат смазани!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Яростта на вашата империя е унищожена.#Яростта на вашия народ не беше достатъчна, за да спре нарастващия прилив на извънземни военни сили. Въпреки че сте се борили яростно до последния войник, главата на Булрати в историята вече е приключила. След като сте били Великият Йерарх на могъща империя, лидерът на горда раса от философи-воини, които са насочили поглед към звездите, за да намерят своето място във Вселената и да изпитат смелостта си срещу онези, които смеят да им се противопоставят. Сега вие сте само име в хрониките от миналото на тази галактика и едва тогава, ако победителите се решат да ви запомнят..#Може би, ако знаехте за края, който очаква вашите хора в пътуването им, нямаше да се впуснете в космоса толкова нетърпеливо. Сега от вас и вашите хора остава само прахът от вашите злополучни амбиции и лошо изпълнени планове...
GAME_OVER_MILITARY_WIN2           | Яростта на вашата империя цари върховно!#Вече стоите над прага на пълната победа над всяка империя, която се е изявила на вашите хора. Глупаво те мислеха, че са способни да се противопоставят на вашата военна мощ, само за да открият своите флоти счупени и хората им разпръснати. Не разпознаха ли яростта в сърцата ви? Не откриха ли упоритостта на вашите убеждения? Сега няма значение, тъй като победителите не трябва да се занимават с мислите на победените и сега никой не остава да оспорва факта, че вие ​​и вие сами сте доминирали над всички, които са ви стояли на пътя.#Отдавна вашите хора се заеха да намерят тяхното място в тази вселена и вие сте им показали, че им е било съдено да управляват тази галактика в нейната цялост. Победа за вас, Велики Йерарх! Приветствайте империята Булрати! 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Сега не остава никой, който би се осмелил да предизвика вашата ярост.#Най-големият ви страх като Велик йерарх на империята Булратхи беше, че тези, които срещнете в космоса, ще бъдат несъвместими с вашата визия за бъдещето и в крайна сметка ще трябва да бъдат унищожени. И наистина, много от тях оправдават този страх. Но вие намерихте причина да покажете сърце, тъй като не всичко, което срещнахте, се оказа толкова неприятно и намерихте способни съюзници в края на това дълго и бурно пътуване..#Може би в крайна сметка е по-добре да сте намерили други, с които все пак да споделяте тази галактика. Щедростите на тези светове са богати и философиите, които ръководят вашите съюзници, ще се окажат интересни съображения за вашите велики умове, които да мислят в продължение на векове. Това е, разбира се, стига да останат приятни...
GAME_OVER_COUNCIL_LOSS2           | Яростта на вашата империя е укротена.#Никой не би могъл да опише вашите усилия като нещо по-малко от доблестни. Въпреки шанса и късмета, вашите хора откриха живот за себе си в дълбините на космоса, печелейки светове за империята в цялата галактика. За съжаление, вашата свирепост не беше равносилна на превъзходните технологични иновации и политически маневри на извънземните раси, които срещнахте в космоса. Виждайки, че за вас няма наличен път, който да позволи победата ви над Галактическия съвет, вие сте направили единствения избор, който сте могли: подчинение на лидера на Новата република, за да предотвратите война, която със сигурност ще доведе до обреченост за цялата ви империя.#Въпреки че духът на воина ви е нанесъл съкрушителен удар, вие знаете, че решението ви е правилното. В крайна сметка вие сте осигурили оцеляване на хората си, докато галактиката се движи в бъдещето. Алтернативата на вашето решение беше просто твърде ужасна, за да си я представите...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Яростта на вашата империя е укротена.#Много се е случило, откакто изведохте хората си от родния свят с надеждата да им помогнете да намерят своето място в галактиката. Победите ви спечелиха много за вашите хора и много земи бяха сгънати на територията на империята, за да осигурят на Булрати светло бъдеще. За съжаление, победата беше твърде далеч от възможностите ви, а вашата свирепост на бойното поле може би вдъхваше твърде много страх, за да ви позволи да постигнете най-търсената си цел.#Но всичко не е загубено: доверен съюзник се е позиционирал води съвета вместо вас, успял да убеди останалите империи, че виждането им за бъдещето е правилното. Докато хората ви копнеят да ви виждат като владетел на това ново бъдеще, вие знаете, че сте избрали добре своите съюзници: заедно с %8, ще осигурите на хората си място в бъдещето на тази галактика, независимо какво бъдеще носи...
GAME_OVER_REBELLION_LOSS2         | Яростта на вашата империя е опустошена.#Войните на тази галактика са приключили. Вашите хора се бориха усилено, с ярост и гняв, невиждани сред останалите империи, но в крайна сметка победите им може да са били вашето унищожение. Свирепостта, с която се бориха вашите хора, действаше срещу вас, като на враг беше дадено управление на Новата република, тъй като те убеждаваха членовете на съвета, че сте прекалено диви, за да ви се има доверие. Като галактика %8 нищо не можехте да направите, освен да забавите неизбежното.#Империята Булрати падна преди враговете си в крайна сметка. Тъй като вашата територия е разделена между победителите, и вашите реликви и градове са разбити на прах, за да бъдат разпръснати по ветровете на историята, легендите за вашия народ и тяхната доблестна последна позиция едва ли ще вдъхнат страх у потомците на онези, които ще наследят това галактика. В края на краищата победителите са тези, които избират какви истории ще разказват... 
GAME_OVER_REBELLION_WIN2          | Яростта на вашата империя цари върховно!#Най-сетне стигнахте до мястото, за което знаехте, че съдбата ще ви доведе: пълното унищожение на всяка друга раса в галактиката! Ненадминатата ви ярост се оказа поразителна за враговете ви, които в своето малодушие търсеха съюз срещу вас. Надявайки се, че тяхната комбинирана сила ще бъде достатъчна, за да ви унищожи, те се измъкнаха като паразити по звездите в опит да изпепелят вашите светове. Те бяха глупаци, които държаха на такива вярвания и вашите хора им показаха колко наивни са били амбициите им.#Ето, Велики Йерарх, галактика, която е ваша за вземане. В свободното си време ще добавите светове към кошарата си: вашите хора сами ще съберат богатството на безбройните планети без съпротива. И когато вземете всичко, което може да предостави тази галактика, ще дойде време да насочите силата си към галактиките, които се намират отвъд...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Не остана никой, който би се осмелил да оспори яростта ви.#Слънцето изгрява върху някогашната Нова република, като вие заемате мястото, което трябва да сте заемали от самото начало. Беше очевидно как биха действали бившите ви врагове, след като бяха обединени, тъй като страхът от вас беше толкова голям, че ги обедини в параноя от вашата сила. Вашият бунт беше справедлив, тъй като толкова велика войнска раса, каквато е вашата, да мрънкате и да се молите, като просмукващи слабаци, би било извън очакванията. Дори установихте, че само гибел ще сполети тези, които ви се противопоставят, независимо колко многобройни са те. Ако само глупаците бяха чули!!#Въпреки това, не сте без милост. Достатъчно мъдрите, за да се съюзяват с вас, ще се радват на плодовете на щедрото бъдеще и тяхната храброст и мъдрост ще бъдат почетени в цялата ви нова империя. Те са живо свидетелство за вашата милост и никога повече няма да имат враг, от когото да се страхуват. Това е, разбира се, стига да запазят своята лоялност към империята Булратхи...
GAME_OVER_COUNCIL_WIN2            | Яростта на вашата империя цари върховно!#Тази галактика и нейните обитатели са на ваша милост. От самото начало на вашата междузвездна кампания сте срещнали много врагове и малко приятели. Въпреки че битките ви се водеха трудно, радостта от победата принадлежеше на Булрати, когато онези, които бяха твърде глупави, за да видят грешката на своите пътища, бяха изправени пред изчезване. Останалите видяха не само сила, от която трябва да се страхуват, но интелект, който изискваше тяхното уважение, и на последното заседание на Галактическия съвет вие бяхте избрани да поведете това, което ще бъде известно като Нова република, в блестящо бъдеще.#Времето за изпробване на вашата сила е приключил: времето за изпитване на вашата мъдрост започва сега. Какво е бъдещето на републиката, водена от философа-крал на империята Булратхи, е неизвестно. Но едно е сигурно: сега не остава нито един, който би се противопоставил на вашите решения, тъй като вашата неукротима сила предоставя всички уверения, необходими за успокояване на всички съмнения и страх от новооткритите ви поданици. Приветствайте Новата република и поздравете Великия йерарх на империята Булратхи!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Не остана никой, който би се осмелил да оспори яростта ви.#Трябваше да започне нова ера на мира, когато се възкачвате на трона на Новата република. Докато много империи намираха радост да следват силен лидер, който да ги води в бъдещето, няколко късогледи глупаци се смятаха за по-мъдри и по-силни от надлежно избрания владетел на галактиката. Първият ви тест като Господар на новата република скоро ви очакваше, а бързите и решителни действия не само потушиха бунта, но и затвърдиха позицията ви на лидер с един бърз удар.#Вашите врагове са враговете на галактиката и те лежат сломени и победени пред обединената мощ на вашата империя и флотите на цивилизациите, които ви служат. Те ще служат като предупреждение за тези, които заплашват републиката в бъдеще: Внимавайте, онези, които ще водят война, тъй като тази галактика се управлява от най-могъщия цар, познаван някога. Дълго да царуваш, Велики архиерей, и нека трудно спечеленото ти бъдеще бъде по-светло, отколкото хората някога биха могли да си представят!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Яростта на вашата империя е опустошена.#Уви, че тези зли дни са настъпили за вас. След векове завоевания и проучвания, вие постигнахте желанието си да сте готови да поведете галактиката мъдро и мощно. Бунтът, който възникна, за да се противопостави на вашето управление, изглеждаше малък и обречен на провал в лицето на вашия обединен съюз на мощни империи. Но бунтовниците притежаваха хитрост, която не очаквахте, и я използваха, за да противодействат на зашеметяващото ви физическо умение на всяка крачка. Вашите неумели съюзници се оказаха безполезни при формулирането на отбрана и преди тя дори наистина да започне, мечтата за Новата република беше също толкова мъртва, колкото и цивилизациите, от които някога се състоеше.#Ако нещата бяха различни, тази галактика и всички, които ги обитават щяха да се придвижат заедно към нова и по-светла ера, далеч от раздори и войни. Сега бъдещето е в ръцете на коварните и алчни бунтовници, които се опитаха да ви видят детронирани. Именно те ще загубят в крайна сметка, тъй като без вашата мъдрост да ги напътствате, тяхното безумие със сигурност ще ги доведе до най-грозния от финалите, които можете да си представите...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Недосегаемата Ярост н Булрати Империята
GAME_OVER_REBELLION_LOSS3         | Доминира Необузданата Ярост на Булрати
