// race-specific variables (must start with _)
_empire                           | Дарлоки, Сарлоки, Шпилоки, Сенколоки, Назлоки
_race                             | Дарлок, Сарлок, Шпилок, Сенколок, Назлок
_race_plural                      | Дарлоки, Сарлоки, Шпилоки, Сенколоки, Назлоки
_title                            | Владетел
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Съветник
MAIN_ADVISOR_BUTTON_OK            | Отхвърли
MAIN_ADVISOR_SCOUT                | Завършихме строителството на двойка разузнавачи и колониален кораб. Нека се надяваме отговорите, които търсим, да се представят в близкия свят.
MAIN_ADVISOR_TRANSPORT            | Няма намерени отговори на планетата %1. Все пак трябва да увеличаваме броя си там, като изпращаме всякакви превози, които са в излишък.
MAIN_ADVISOR_DIPLOMACY            | Представители на народ, роден в този кораб, са се явили. Трябва да направим всичко възможно, за да научим отговорите, които те притежават.
MAIN_ADVISOR_SHIP_ENGINE          | Разкрихме начин за производство на по-ефективни двигатели. Трябва да постигнем консенсус относно това как най-добре да актуализираме нашите корабни проекти, за да използваме тази нова технология.
MAIN_ADVISOR_RALLY_POINTS         | Започна неизбежен конфликт! Нашата производствена мощност може да насочи своите новопостроени кораби да се съберат в един свят и да формират там флот, за да ни защитят от агресорите.
MAIN_ADVISOR_MISSILE_BASES        | Загубихме твърде много, като дойдохме в тази вселена, за да загубим повече сега: нека нашите колоний се предпазят, като изграждат колкото се може повече защитни ракетни бази.
MAIN_ADVISOR_SHIP_WEAPON          | Открихме нова технология, която подобрява нападателните възможности на нашите звездни кораби. Трябва отново да решим как да актуализираме дизайна на нашите кораби, за да се възползваме от това възможно най-скоро.
MAIN_ADVISOR_COUNCIL              | Има слухове за събиране, известно като Галактическия съвет, което скоро ще се случи. Нашите шпиони се надяват да го използват като възможност да съберат каквото могат. Бъдещето на нашата раса зависи от това!
