// race-specific variables (must start with _)
_empire                           | Човешки Триумвират, Теран Триумвират, Телан Триумвират, Приман Триумвират, Мидгардиан Триумвират
_race                             | Човек, Теран, Телан, Приман, Мидгардиан
_race_plural                      | Човеци, Терани, Телани, Примани, Мидгардиани
_title                            | Триумвир
_nameTitle                        | Триумвир

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Съветник
MAIN_ADVISOR_BUTTON_OK            | Премахни
MAIN_ADVISOR_SCOUT                | Нашето логистично подразделение съобщава, че двама разузнавачи и колониялен кораб са готови за разполагане. Предлагам да намерим и колонизираме близка планета възможно най-скоро.
MAIN_ADVISOR_TRANSPORT            | Създаването на колония при %1 беше успешно. Колкото повече транспорти изпратим, толкова по-бързо %1 ще се превърне във важна частица от нашата междузвездна империя.
MAIN_ADVISOR_DIPLOMACY            | Триумвир, развълнуван съм да потвърдя първия ни контакт с извънземна цивилизация! Моля, прегледайте нашата интелигентност, за да можем да започнем да манипулираме тези извънземни към задоволяване на нашите цели.
MAIN_ADVISOR_SHIP_ENGINE          | Нашите двигателни изследвания дадоха по-усъвършенстван дизайн на кораба. Моля, интегрирайте този пробив във всички бъдещи кораби. Това е всичко за сега.
MAIN_ADVISOR_RALLY_POINTS         | Нашите военни сили се готвят за война, но ще трябва да ги мобилизираме бързо. Препоръчвам да използвате точки за сбор, за да разположите нашите новосъздадени кораби във флота възможно най-скоро.
MAIN_ADVISOR_MISSILE_BASES        | Нашите стратези се тревожат за отбранителните способности на светове в границата на нашата територия. Те препоръчват създаването на ракетни бази за укрепване на планетарната отбрана и аз съм съгласен с тяхната оценка.
MAIN_ADVISOR_SHIP_WEAPON          | Най-новите ни изследвания доведоха до напредък в оръжейната технология. Можете да модифицирате нови конструкции на кораби, за да включите тези оръжия по всяко време отсега нататък.
