// race-specific variables (must start with _)
_empire                    | Силикоид Империум, Игноид Империум, Седимоид Империум, Гранитоид Империум, Магмоид Империум
_race                      | Силикоид, Игноид, Седимоид, Гранитоид, Магмоид 
_race_plural               | Силикоиди, Игноиди, Седимоиди, Гранитоиди, Магмоиди 
_title                     | Кристален император
_nameTitle                 | Кристален император
 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Съветник
MAIN_ADVISOR_BUTTON_OK     | Премахни
MAIN_ADVISOR_SCOUT         | Божи-император, вашите разузнавачи са готови да придружат първия колониален кораб до всеки свят, който желаете! Дайте поръчка и ще бъде изпълнена!
MAIN_ADVISOR_TRANSPORT     | Колонията на %1 е основана на ваше име, могъщи императоре! Ако искате да изпратим повече превози в подкрепа на вашето ново господство, кажете думата!
MAIN_ADVISOR_DIPLOMACY     | Божи-император! Пред престола ви се появява представител на извънземна империя! Това може да е нашият вечен враг! Ще продължим с дължимата предпазливост!
MAIN_ADVISOR_SHIP_ENGINE   | Вашите учени са усъвършенствали новите конструкции на корабни двигатели! Те ще променят вашия флот веднага щом пожелаете!
MAIN_ADVISOR_RALLY_POINTS  | Най-накрая! Нашата свята война започва, Божи-Императоре! Заповядайте на флотите си да се съберат във всеки свят, който контролирате, и те ще донесат бърза смърт на нашия омразен враг!
MAIN_ADVISOR_MISSILE_BASES | Вашите генерали смятат, че изграждането на отбранителни ракетни бази на най-уязвимите ни колонии би било разумно начинание! Ако се съгласите, Божи-император, строителството ще започне незабавно!
