

//
// Armor techs
// 
ARMOR_0_NAME     | Θωράκιση Τιτανίου
ARMOR_0_ITEM     | Τιτάνιο
ARMOR_0_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_0_DETAIL   | Αρχική τεχνολογία θωράκισης. Δεν παρέχει πλεονεκτήματα στην θωράκιση σκάφους ή σε επιθέσεις εδάφους.

ARMOR_1_NAME     | Θωράκιση Ντουρομετάλλου
ARMOR_1_ITEM     | Ντουρομέταλλο
ARMOR_1_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_1_DETAIL   | Αυξάνει τους πόντους πλήγματος σκαφών και μεταγωγικών 50%. Η Προσωπική πανοπλία μάχης ενισχύεται επίσης, προσθέτοντας 5 σε όλες τις επιθέσεις εδάφους.

ARMOR_2_NAME     | Θωράκιση Ζόρτριου
ARMOR_2_ITEM     | Ζόρτριο
ARMOR_2_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_2_DETAIL   | Αυξάνει τους πόντους πλήγματος σκαφών και μεταγωγικών 100%. Η Προσωπική πανοπλία μάχης ενισχύεται επίσης, προσθέτοντας 10 σε όλες τις επιθέσεις εδάφους.

ARMOR_3_NAME     | Θωράκιση Ανδρίου
ARMOR_3_ITEM     | Άνδριο
ARMOR_3_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_3_DETAIL   | Αυξάνει τους πόντους πλήγματος σκαφών και μεταγωγικών 150%. Η Προσωπική πανοπλία μάχης ενισχύεται επίσης, προσθέτοντας 15 σε όλες τις επιθέσεις εδάφους.

ARMOR_4_NAME     | Θωράκιση Τριτανίου
ARMOR_4_ITEM     | Τριτάνιο
ARMOR_4_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_4_DETAIL   | Αυξάνει τους πόντους πλήγματος σκαφών και μεταγωγικών 200%. Η Προσωπική πανοπλία μάχης ενισχύεται επίσης, προσθέτοντας 20 σε όλες τις επιθέσεις εδάφους.

ARMOR_5_NAME     | Θωράκιση Αδαμάντιου
ARMOR_5_ITEM     | Αδαμάντιο
ARMOR_5_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_5_DETAIL   | Αυξάνει τους πόντους πλήγματος σκαφών και μεταγωγικών 250%. Η Προσωπική πανοπλία μάχης ενισχύεται επίσης, προσθέτοντας 25 σε όλες τις επιθέσεις εδάφους.

ARMOR_6_NAME     | Θωράκιση Νετρονίου
ARMOR_6_ITEM     | Νετρόνιο
ARMOR_6_BRIEF    | Πόντοι Πλήγματος %1
ARMOR_6_DETAIL   | Αυξάνει τους πόντους πλήγματος σκαφών και μεταγωγικών 300%. Η Προσωπική πανοπλία μάχης ενισχύεται επίσης, προσθέτοντας 30 σε όλες τις επιθέσεις εδάφους.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Ατμοσφαιρική Γεωπλασία
ATMOSPHERE_0_DETAIL    | Μετατρέπει Εχθρικά περιβάλλοντα σε Κανονικά Περιβάλλοντα με κόστος 150 ΔΙΣ.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Σύστημα Αυτό-Επιδιόρθωσης
AUTOREPAIR_0_BRIEF     | Θεραπεύει 15% πόντων πλήγματος/γύρο
AUTOREPAIR_0_DETAIL    | Μη κατεστραμμένα σκάφη μπορούν να επιδιορθώσουν 15% των συνολικών τους πόντων πλήγματος στο τέλος κάθε γύρου.

AUTOREPAIR_1_NAME      | Προηγμένος Έλεγχος Ζημιών
AUTOREPAIR_1_BRIEF     | Θεραπεύει 30% πόντων πλήγματος/γύρο
AUTOREPAIR_1_DETAIL    | Μη κατεστραμμένα σκάφη μπορούν να επιδιορθώσουν 30% των συνολικών τους πόντων πλήγματος στο τέλος κάθε γύρου.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Επίπεδο Επίθεσης 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Υπολογιστής Μάχης Βαθμού I
COMPUTER_1_ITEM    | Βαθμός I
COMPUTER_1_BRIEF   | Επίπεδο Επίθεσης I
COMPUTER_1_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 1.

COMPUTER_2_NAME    | Υπολογιστής Μάχης Βαθμού II
COMPUTER_2_ITEM    | Βαθμός II
COMPUTER_2_BRIEF   | Επίπεδο Επίθεσης II
COMPUTER_2_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 2.

