//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Jenis teknologi apa yang menurutmu menarik?
DIPLO_TECH_COUNTER_MENU_01   | Apa yang ingin kau perdagangkan dengan ini?
DIPLO_TRADE_MENU_01          | Kau mengusulkan persetujuan dagang untuk: 
DIPLO_TREATY_MENU_01         | Apa yang ingin kau lakukan? 
DIPLO_THREATEN_MENU_01       | Kau mengancam tentang apa? 
DIPLO_DECLARE_WAR_MENU_01    | Apakah kau yakin kau ingin memulai perang? 
DIPLO_JOINT_WAR_MENU_01      | Kepada siapa kita harus menyatakan perang? 
DIPLO_BREAK_ALLIANCE_MENU_01 | Aliansi dengan siapa yang ingin kau akhiri? 
DIPLO_OFFER_AID_MENU_01      | Apa yang ingin kau berikan? 
DIPLO_OFFER_TECH_MENU_01     | Apa yang ingin kau berikan? 

DECLINE_OFFER_01           | [my_nameTitle] [my_name] menolak.
DECLINE_OFFER_02           | [my_race] telah mempertimbangkan tawaranmu, dan menolaknya. 
DECLINE_OFFER_03           | Kami menolak tawaranmu dengan hormat. 
DECLINE_OFFER_04           | Kali ini kami sedang tidak tertarik. 
DECLINE_OFFER_05           | [my_race] tidak merasa tawaranmu adil. 
DECLINE_OFFER_06           | Bukanlah minat kami untuk menerima tawaranmu kali ini.
DECLINE_OFFER_07           | Mungkin kau salah menduga kami sebagai makhluk bodoh yang mudah percaya begitu saja. Kami menolak tawaranmu.
DECLINE_OFFER_08           | Tawaranmu sepertinya tidak adil bagi kami. 
DECLINE_OFFER_09           | Kami khawatir kami harus menolaknya. 

DECLINE_ENEMY_ALLY_01      | [my_race] tidak akan menjanjikan aliansi dengan [other_race] yang kami benci.
DECLINE_ALREADY_ALLIED_01  | [my_race] dan sekutu kami tidak bisa mempertimbangkan permintaanmu selama kau bersekutu dengan kekaisaran lain.
DECLINE_NO_WAR_ON_ALLY_01  | Kami tidak akan menyatakan perang kepada sekutu kami. 
DECLINE_PEACE_TREATY_01    | Kami tidak akan merusak perjanjian damai kami dengan [other_race].

DECLINE_ANNOYED_01         | [your_race] adalah makhluk-makhluk yang suka omong kosong dan sedikit bertindak nyata. Kami lelah dengan kata-kata bodohmu.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], kau menguji kesabaran kami. Mungkin kau perlu bicara lagi nanti saja.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] sudah cukup mendengarkanmu. Kita akan bicara lagi nanti. 
DECLINE_ANNOYED_02         | Kami lelah akan negosiasi diplomatis. Kami bisa menetuskan diskusi di waktu lain.
