// race-specific variables (must start with _)
_empire                           | Jurisdição Meklar, Jurisdição Mecanar, Jurisdição Cibernar, Jurisdição Digitar, Jurisdição Tecnar
_race_male                        | Meklar, Mecanar, Cibernar, Digitar, Tecnar
_race_male plural                 | Meklares, Mecanares, Cibernares, Digitares, Tecnares
_race_female                      | Meklar, Mecanar, Cibernar, Digitar, Tecnar
_race_female_plural               | Meklares, Mecanares, Cibernares, Digitares, Tecnares
_title                            | Mediador Supremo
_nameTitle                        | Mediador Supremo

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Aconselhamento %1
MAIN_ADVISOR_BUTTON_OK            | Dispensar
MAIN_ADVISOR_SCOUT                | Frota pronta para exploração e subsequente colonização. Aguardando diretivas para início de operações...
MAIN_ADVISOR_TRANSPORT            | Primeira colónia fundada em planeta próximo. Designação atribuída: "%1." Capacidade para acomodar %2 de população adicional. Possibilidade de enviar transporte suplementar a partir de %3. 
MAIN_ADVISOR_DIPLOMACY            | Nova espécie detetada. Designação: "%1." Aguardando instruções do Servidor...
MAIN_ADVISOR_SHIP_ENGINE          | Pesquisa em meios de propulsão: Terminada. Conferir com engenheiros como melhor implementar design.
MAIN_ADVISOR_RALLY_POINTS         | A espécie "%1" agiu em impedimento de descoberta de protocolo de imortalidade. Criar ponto de reunião para centralizar frota e atacar.
MAIN_ADVISOR_MISSILE_BASES        | Pedido de divisão militar: construir bases de mísseis de defesa em superfície de mundos exteriores. Aquisição de defesa planetária contra agressão externa.
MAIN_ADVISOR_SHIP_WEAPON          | Pesquisa em armamento de potência elevada: Terminada. Conferir com engenheiros como melhor implementar design.
MAIN_ADVISOR_COUNCIL              | Notificação de convergência de impérios interestelares. Designação: "Conselho Galáctico". Delegação a ser enviada para assegurar vontade do Servidor é clara. 
MAIN_ADVISOR_REBELLION            | Aviso. Programa corrompido afetando colónia em %1. É necessário erradicar os Meklares afetados para assegurar interesses da Jurisdição. 
MAIN_ADVISOR_RESIST_COUNCIL       | Novo líder do Conselho Galáctico ameaça aos objetivos da Jurisdição. Mobilizar todas as forças para eliminar líder e aliados.
MAIN_ADVISOR_COUNCIL_RESISTED     | Rebelião por espécie inimiga mal calculada. O Jurisdição controla agora a galáxia conhecida. Enviar totalidade das frotas para silenciar dissidentes.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
