// race-specific variables (must start with _)
_empire                           | Horda Mrrshan, Horda Prrshan, Horda Miaushan, Horda Garrshan, Horda Hisshan
_race_male                        | Mrrshan, Prrshan, Miaushan, Garrshan, Hisshan
_race_male_plural                 | Mrrshanes, Prrshanes, Miaushanes, Garrshanes, Hisshanes
_race_female                      | Mrrshan, Prrshan, Miaushan, Garrshan, Hisshan
_race_female_plural               | Mrrshanes, Prrshanes, Miaushanes, Garrshanes, Hisshanes
_title                            | Cã
_nameTitle                        | Cã

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Conselheiro %1
MAIN_ADVISOR_BUTTON_OK            | Dispensar
MAIN_ADVISOR_SCOUT                | Ah-ha! A nossa primeira frota está a postos! Vamos utilizá-la para encontrar um mundo com inimigos ricos para lhes ficarmos com os tesouros.
MAIN_ADVISOR_TRANSPORT            | Reclamámos território em %1. Quanto mais transportes enviarmos de %3, mais rapidamente descobrimos se este mundo tem tesouros ou não.
MAIN_ADVISOR_DIPLOMACY            | Entrámos em contacto com uma nova raça de aliens! Serão inimigos fortes ou os seus tesouros vão ser uma pechincha?
MAIN_ADVISOR_SHIP_ENGINE          | Descobrimos como melhorar os nossos motores e tornar as nossas naves ainda mais velozes! Se os incorporarmos nos nossos modelos, as invasões ao inimigo serão ainda mais eficientes!
MAIN_ADVISOR_RALLY_POINTS         | Cã! Estamos em guerra! Os outros canatos honrarão o seu compromisso de se juntarem a nós numa altura como esta, pelo que temos de indicar um ponto de reunião para as frotas.
MAIN_ADVISOR_MISSILE_BASES        | Os mundos sob a nossa área de influência estão vulneráveis ao ataque do inimigo! Construamos bases de mísseis para prevenir que caiam nas mãos dos rafeiros!
MAIN_ADVISOR_SHIP_WEAPON          | Desenvolvemos novas e poderosas armas para usar nas nossas naves. Com certeza que serão o maior obstáculo das forças inimigas assim que as incluirmos nos nossos modelos.
MAIN_ADVISOR_COUNCIL              | Temos um encontro de povos para breve, mas eles dizem que é para diplomacia e não para guerra. Estranho, não é? Mas deveríamos comparecer neste "Conselho Galáctico", nem que seja para impor respeito aos assustadiços.
MAIN_ADVISOR_REBELLION            | Sente-se bem, Cã? Há uma rebelião em %1 e o Cã ainda não deu as ordens para os abatermos.
MAIN_ADVISOR_RESIST_COUNCIL       | Eles pensaram mesmo que nos submeteríamos à sua paz de cobardes sobre a galáxia? Que comecem as incursões, Cã: a vossa gente tem sede de riqueza!
MAIN_ADVISOR_COUNCIL_RESISTED     | Aqueles rebeldes imbecis recusam a nossa governação! Vamos mostrar-lhes o nosso lema: os fortes tiram, os fracos dão!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Os teus preciosos tesouros são agora daquele que chegar primeiro...#As temíveis frotas dos invasores do canato outrora atacavam como relâmpagos e faziam civilizações inteiras recear aventurar-se para demasiado longe de casa. No vosso auge, pilhavam toda a riqueza que essas civilizações guardavam e acrescentavam-na a depósitos contendo os tesouros de centenas de mundos. Mas parece que pela falta de escrúpulos, ou pela arrogância, ou pela ganância, ou por uma combinação das três, o teu povo enfim fez inimigos que seriam bem mais do que conseguiria enfrentar. E quando esses inimigos assumiram a ofensiva, foste incapaz de impedir o destino que agora se abate sobre vós.#O mero rumor de uma frota Mrrshan a caminho outrora seria a causa de sistemas estelares inteiros tremerem de medo. Mas a tua gente foi apagada desta galáxia, sobrevivendo apenas como histórias para assustar as crianças malcomportadas dos vencedores. E os vossos preciosos tesouros, oriundos de tantos planetas, foram roubados e expostos em mansões de luxo e museus: são relíquias de um passado, tal como vocês...
