

//
// Armor techs
// 
ARMOR_0_NAME     | Armadura de Titânio
ARMOR_0_ITEM     | Titânio
ARMOR_0_BRIEF    | Pts. Vida %1
ARMOR_0_DETAIL   | Tecnologia inicial. Não fornece nenhum bónus contra ataques à nave ou aos soldados.

ARMOR_1_NAME     | Armadura de Duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Pts. Vida %1
ARMOR_1_DETAIL   | Aumenta os pontos de vida das naves e transportes em 50%. Também beneficia a armadura de combate pessoal em mais 5 pontos contra todos os ataques terrestres.

ARMOR_2_NAME     | Armadura de Zórtrio
ARMOR_2_ITEM     | Zórtrio
ARMOR_2_BRIEF    | Pts. Vida %1
ARMOR_2_DETAIL   | Aumenta os pontos de vida das naves e transportes em 100%. Também beneficia a armadura de combate pessoal em mais 10 pontos contra todos os ataques terrestres.

ARMOR_3_NAME     | Armadura de Ândrio
ARMOR_3_ITEM     | Ândrio
ARMOR_3_BRIEF    | Pts. Vida %1
ARMOR_3_DETAIL   | Aumenta os pontos de vida das naves e transportes em 150%. Também beneficia a armadura de combate pessoal em mais 15 pontos contra todos os ataques terrestres.

ARMOR_4_NAME     | Armadura de Tritânio
ARMOR_4_ITEM     | Tritânio
ARMOR_4_BRIEF    | Pts. Vida %1
ARMOR_4_DETAIL   | Aumenta os pontos de vida das naves e transportes em 200%. Também beneficia a armadura de combate pessoal em mais 20 pontos contra todos os ataques terrestres.

ARMOR_5_NAME     | Armadura de Adamântio
ARMOR_5_ITEM     | Adamântio
ARMOR_5_BRIEF    | Pts. Vida %1
ARMOR_5_DETAIL   | Aumenta os pontos de vida das naves e transportes em 250%. Também beneficia a armadura de combate pessoal em mais 25 pontos contra todos os ataques terrestres.

ARMOR_6_NAME     | Armadura de Neutrónio
ARMOR_6_ITEM     | Neutrónio
ARMOR_6_BRIEF    | Pts. Vida %1
ARMOR_6_DETAIL   | Aumenta os pontos de vida das naves e transportes em 300%. Também beneficia a armadura de combate pessoal em mais 30 pontos contra todos os ataques terrestres.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformação da Atmosfera
ATMOSPHERE_0_DETAIL    | Converte ambientes hostis em ambientes normais por 150 BM.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Sistema de Reparação Automática
AUTOREPAIR_0_BRIEF     | Regenera 15% da vida da nave em cada ronda
AUTOREPAIR_0_DETAIL    | Naves não destruídas podem reparar automaticamente até 15% do seu total de Pontos de Vida no fim de cada ronda.

AUTOREPAIR_1_NAME      | Controlo de Danos Avançado
AUTOREPAIR_1_BRIEF     | Regenera 30% da vida da nave em cada ronda
AUTOREPAIR_1_DETAIL    | Naves não destruídas podem reparar automaticamente até 30% do seu total de Pontos de Vida no fim de cada ronda.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Nív. Ataque 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Controlo de Disparo I
COMPUTER_1_ITEM    | Categoria I
COMPUTER_1_BRIEF   | Nív. Ataque I
COMPUTER_1_DETAIL  | Sobe a precisão do arsenal para o nível 1.

COMPUTER_2_NAME    | Controlo de Disparo II
COMPUTER_2_ITEM    | Categoria II
COMPUTER_2_BRIEF   | Nív. Ataque II
COMPUTER_2_DETAIL  | Sobe a precisão do arsenal para o nível 2.

COMPUTER_3_NAME    | Controlo de Disparo III
COMPUTER_3_ITEM    | Categoria III
COMPUTER_3_BRIEF   | Nív. Ataque III
COMPUTER_3_DETAIL  | Sobe a precisão do arsenal para o nível 3.

COMPUTER_4_NAME    | Controlo de Disparo IV
COMPUTER_4_ITEM    | Categoria IV
COMPUTER_4_BRIEF   | Nív. Ataque IV
COMPUTER_4_DETAIL  | Sobe a precisão do arsenal para o nível 4.

COMPUTER_5_NAME    | Controlo de Disparo V
COMPUTER_5_ITEM    | Categoria V
COMPUTER_5_BRIEF   | Nív. Ataque V
COMPUTER_5_DETAIL  | Sobe a precisão do arsenal para o nível 5.

COMPUTER_6_NAME    | Controlo de Disparo VI
COMPUTER_6_ITEM    | Categoria VI
COMPUTER_6_BRIEF   | Nív. Ataque VI
COMPUTER_6_DETAIL  | Sobe a precisão do arsenal para o nível 6.

COMPUTER_7_NAME    | Controlo de Disparo VII
COMPUTER_7_ITEM    | Categoria VII
COMPUTER_7_BRIEF   | Nív. Ataque VII
COMPUTER_7_DETAIL  | Sobe a precisão do arsenal para o nível 7.

COMPUTER_8_NAME    | Controlo de Disparo VIII
COMPUTER_8_ITEM    | Categoria VIII
COMPUTER_8_BRIEF   | Nív. Ataque VIII
COMPUTER_8_DETAIL  | Sobe a precisão do arsenal para o nível 8.

COMPUTER_9_NAME    | Controlo de Disparo IX
COMPUTER_9_ITEM    | Categoria IX
COMPUTER_9_BRIEF   | Nív. Ataque IX
COMPUTER_9_DETAIL  |Sobe a precisão do arsenal para o nível 9.

COMPUTER_10_NAME   | Controlo de Disparo X
COMPUTER_10_ITEM   | Categoria X
COMPUTER_10_BRIEF  | Nív. Ataque X
COMPUTER_10_DETAIL | Sobe a precisão do arsenal para o nível 10.

COMPUTER_11_NAME   | Controlo de Disparo XI
COMPUTER_11_ITEM   | Categoria XI
COMPUTER_11_BRIEF  | Nív. Ataque XI
COMPUTER_11_DETAIL | Sobe a precisão do arsenal para o nível 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armadura
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Armadura de Batalha
BATTLESUIT_1_DETAIL  | Uma armadura que não só protege, como também aumenta a força. Acrescenta 10 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

BATTLESUIT_2_NAME    | Exoesqueleto
BATTLESUIT_2_DETAIL  | Armadura eletrónica móvel que não só aumenta a força e as defesas, como também oferece uma capacidade limitada de voo às tropas terrestres. Acrescenta 20 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

BATTLESUIT_3_NAME    | Exoesqueleto Energizado
BATTLESUIT_3_DETAIL  | Combina uma elevada mobilidade com capacidade de voo antigravidade e uma estrutura de placas maciças para formar a armadura o mais avançada possível para tropas terrestres. Acrescenta 30 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Foco de Alta Energia
BEAMFOCUS_0_BRIEF   | Acrescenta +3 pontos ao alcance das armas de energia.
BEAMFOCUS_0_DETAIL  | Aumenta o alcance do disparo de todas as armas de energia dirigida em três pontos.

BEAMFOCUS_1_NAME    | Interface Oráculo
BEAMFOCUS_1_BRIEF   | Concentra as armas de energia, corta metade da defesa inimiga.
BEAMFOCUS_1_DETAIL  | Coordena todas as armas de energia dirigida num só disparo de fogo concentrado, tornando obsoleta metade da força defensiva do inimigo.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antídoto para Biotoxina
BIOANTIDOTE_0_DETAIL  | Reduz as baixas causadas por ataques biológicos em menos 1 milhão por ataque.

BIOANTIDOTE_1_NAME    | Antídoto Universal
BIOANTIDOTE_1_DETAIL  | Reduz as baixas causadas por ataques biológicos em menos 2 milhões por ataque.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Esporos Mortíferos
BIOWEAPON_0_BRIEF    | Arma Biológica
BIOWEAPON_0_DETAIL   | Armas biológicas horríveis, capazes de dizimar as populações planetárias máximas a uma taxa de 1 milhão por ataque.

BIOWEAPON_1_NAME     | Vírus da Ruína
BIOWEAPON_1_BRIEF    | Arma Biológica
BIOWEAPON_1_DETAIL   | Armas biológicas atrozes, capazes de dizimar as populações planetárias a uma taxa de 2 milhões por ataque.

BIOWEAPON_2_NAME     | Exterminador Implacável
BIOWEAPON_2_BRIEF    | Arma Biológica
BIOWEAPON_2_DETAIL   | Armas biológicas abomináveis, capazes de dizimar as populações planetárias a uma taxa de 3 milhões por ataque.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Gerador de Buracos Negros
BLACKHOLE_0_DETAIL   | Cria um campo subespacial que distorce o espaço normal, gerando um buraco negro que destrói 25 a 100% das naves ou bases de mísseis inimigas. A classe dos escudos do inimigo reduz o dano numa proporção de -2% X número da classe .


//
// Bomb weapon tech
//
BOMB_0_NAME     | Bomba Nuclear
BOMB_0_BRIEF    | Apenas em Ataques Terrestres
BOMB_0_DETAIL   | Bombas que explodem com dano de 3-12 pontos apenas contra alvos terrestres.

BOMB_1_NAME     | Bomba de Fusão Nuclear
BOMB_1_BRIEF    | Apenas em Ataques Terrestres
BOMB_1_DETAIL   | Bombas que explodem com dano de 5-20 pontos apenas contra alvos terrestres.

BOMB_2_NAME     | Bomba de Antimatéria
BOMB_2_BRIEF    | Apenas em Ataques Terrestres
BOMB_2_DETAIL   | Bombas que explodem com dano de 10-40 pontos apenas contra alvos terrestres.

BOMB_3_NAME     | Bomba Omega-V
BOMB_3_BRIEF    | Apenas em Ataques Terrestres
BOMB_3_DETAIL   | Bombas que explodem com dano de 20-50 pontos apenas contra alvos terrestres.

BOMB_4_NAME     | Bomba de Neutrónio
BOMB_4_BRIEF    | Apenas em Ataques Terrestres
BOMB_4_DETAIL   | Bombas que explodem com dano de 40-70 pontos apenas contra alvos terrestres.


//
// Cloaking tech
//
CLOAK_0_NAME     | Dispositivo de Camuflagem
CLOAK_0_BRIEF    | Torna a nave praticamente invisível
