// race-specific variables (must start with _)
_empire                           | Darloci, Sarloci, Špajloci, Senloci, Nazloci
_empireStvo                       | Darloke, Sarloke, Špajloke, Senloke, Nazloke
_empireStva                       | Darloka, Sarloka, Špajloka, Senloka, Nazloka
_empireStvu                       | Darlocima, Sarlocima, Špajlocima, Senlocima, Nazlocima
_empireStvom                      | Darlocima, Sarlocima, Špajlocima, Senlocima, Nazlocima
_empireSkog                       | Darločkog, Sarločkog, Špajločkog, Senločkog, Nazločkog
_empireSki                        | Darločki, Sarločki, Špajločki, Senločki, Nazločki
_empireSku                        | Darločku, Sarločku, Špajločku, Senločku, Nazločku
_empireSka                        | Darločka, Sarločka, Špajločka, Senločka, Nazločka
_empireSke                        | Darločke, Sarločke, Špajločke, Senločke, Nazločke
_race                             | Darloci, Sarloci, Špajloci, Senloci, Nazloci
_raceSkog                         | Darločkog, Sarločkog, Špajločkog, Senločkog, Nazločkog
_raceSki                          | Darločki, Sarločki, Špajločki, Senločki, Nazločki
_raceSkih                         | Darločkih, Sarločkih, Špajločkih, Senločkih, Nazločkih
_raceSku                          | Darločku, Sarločku, Špajločku, Senločku, Nazločku
_raceSka                          | Darločka, Sarločka, Špajločka, Senločka, Nazločka
_raceSke                          | Darločke, Sarločke, Špajločke, Senločke, Nazločke
_raceSkom                         | Darločkom, Sarločkom, Špajločkom, Senločkom, Nazločkom
_raceSkoj                         | Darločkoj, Sarločkoj, Špajločkoj, Senločkoj, Nazločkoj
_raceIja                          | Darloka, Sarloka, Špajloka, Senloka, Nazloka
_race_plural                      | Darloci, Sarloci, Špajloci, Senloci, Nazloci
_raceVoc	                      | Darloče, Sarloče, Špajlole, Senloče, Nazloče
_title                            | vođa
_titleV                           | vođo
_titleA                           | vođu
_titleI                           | vođom
_nameTitle                        | 
_nameTitleV                       | 
_nameTitleA                       | 
_nameTitleI                       | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Darločki Savetnik
MAIN_ADVISOR_BUTTON_OK            | Otpusti
MAIN_ADVISOR_SCOUT                | Završili smo izgradnju par izviđača i broda kolonista. Nadajmo se da će se odgovori koje tražimo predstaviti u obližnjem svetu.
MAIN_ADVISOR_TRANSPORT            | Nismo pronašli odgovor na planeti %1. I dalje bi trebalo povećamo naše brojeve tamo slanjem raspoloživih transportera.
MAIN_ADVISOR_DIPLOMACY            | Predstavnici naroda koji su autohtoni u ovoj dimenziji su se obznanili. Moramo da uradimo sve što možemo da saznamo sve što oni znaju.
MAIN_ADVISOR_SHIP_ENGINE          | Otkrili smo način za proizvodnju efikasnijih motora. Moramo postići konsenzus o tome kako najbolje poboljšati naše modele brodova kako bi iskoristili ovu novu tehnologiju. 
MAIN_ADVISOR_RALLY_POINTS         | Započeo je neizbežni sukob! Naši proizvodni pogoni mogu svoje novoizgrađene brodove usmeriti na jedan svet i tamo formirati flotu koja će nas braniti od agresora.
MAIN_ADVISOR_MISSILE_BASES        | Izgubili smo previše dolazeći u ovaj univerzum da bismo sada izgubili išta više: naredite našim kolonijama da se zaštite od neprijatelja izgradnjom što većeg broja odbrambenih raketnih baza.
MAIN_ADVISOR_SHIP_WEAPON          | Otkrili smo novu tehnologiju koja poboljšava ofanzivne sposobnosti naših zvezdanih brodova. Moramo ponovo da odlučimo kako ćemo unaprediti naše modele brodova i što pre iskoristili nove tehnologije.
MAIN_ADVISOR_COUNCIL              | Postoje glasine o skupu poznatom kao Galaktički savet koji će se uskoro dogoditi. Naši špijuni se nadaju da će to iskoristiti kao priliku da prikupe sve obaveštajne podatke koje mogu. Budućnost naše rase zavisi od toga!
MAIN_ADVISOR_REBELLION            | Da li su stanovnici planete %1 poludeli?! Zaboravljaju da samo zajedno možemo prevladati u ovom univerzumu! Odmah moramo dati za primer kako se tretiraju pobunjenici!
MAIN_ADVISOR_RESIST_COUNCIL       | Naše šanse za uspeh ovde su oduvek bile male. Borba protiv Galaktičkog saveta i njegovih saveznika ne koči puno naše planove.
MAIN_ADVISOR_COUNCIL_RESISTED     | Predugo smo radili na tome da ove budale pokorimo našoj volji! Pobuna protiv našeg vođstva se ne može tolerisati! Uništite ih odmah!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
