// race-specific variables (must start with _)
_empire                           | Klakonska Unija, Klakantska Unija, Klokanska Unija, Artroponska Unija, Koleopteronska Unija
_empireStvo                       | Klakonsku Uniju, Klakantsku Uniju, Klokansku Uniju, Artroponsku Uniju, Koleopteronsku Uniju
_empireStva                       | Klakonske Unije, Klakantske Unije, Klokanske Unije, Artroponske Unije, Koleopteronske Unije
_empireStvu                       | Klakonskoj Uniji, Klakantskoj Uniji, Klokanskoj Uniji, Artroponskoj Uniji, Koleopteronskoj Uniji
_empireStvom                      | Klakonskom Unijom, Klakantskom Unijom, Klokanskom Unijom, Artroponskom Unijom, Koleopteronskom Unijom
_empireSkog                       | Klakonske Unije, Klakantske Unije, Klokanske Unije, Artroponske Unije, Koleopteronske Unije
_empireSki                        | Klakonski Unijski, Klakantski Unijski, Klokanski Unijski, Artroponski Unijski, Koleopteronski Unijski
_empireSku                        | Klakonsku Unijsku, Klakantsku Unijsku, Klokansku Unijsku, Artroponsku Unijsku, Koleopteronska Unijsku
_empireSka                        | Klakonska Unijska, Klakantska Unijska, Klokanska Unijska, Artroponska Unijska, Koleopteronska Unijska
_empireSke                        | Klakonska Unijske, Klakantska Unijske, Klokanska Unijske, Artroponska Unijske, Koleopteronska Unijske
_race                             | Klakon, Klakant, Klokan, Artropon, Koleopteron
_raceSkog                         | Klakonskog, Klakantskog, Klokanskog, Artroponskog, Koleopteronskog
_raceSki                          | Klakonski, Klakantski, Klokanski, Artroponski, Koleopteronski
_raceSkih                         | Klakonskih, Klakantskih, Klokanskih, Artroponskih, Koleopteronskih
_raceSku                          | Klakonsku, Klakantsku, Klokansku, Artroponsku, Koleopteronsku
_raceSka                          | Klakonska, Klakantska, Klokanska, Artroponska, Koleopteronska
_raceSke                          | Klakonske, Klakantske, Klokanske, Artroponske, Koleopteronske
_raceSkom                         | Klakonskom, Klakantskom, Klokanskom, Artroponskom, Koleopteronskom
_raceSkoj                         | Klakonskoj, Klakantskoj, Klokanskoj, Artroponskoj, Koleopteronskoj
_raceIja                          | Klakona, Klakanta, Klokana, Artropona, Koleopterona
_race_plural                      | Klakoni, Kalakanti, Kolkani, Artroponi, Koleopteroni
_raceVoc                          | Klakone, Kalakante, Kolkane, Artropone, Koleopterone
_title                            | Vođa
_titleV                           | Vođo
_titleA                           | Vođu
_titleI                           | Vođom
_nameTitle                        |
_nameTitleV                       |
_nameTitleA                       |
_nameTitleI                       |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | Otpusti
MAIN_ADVISOR_SCOUT                | Napokon su moji brodovi završili izgradnju. Moram da koristim svoje izviđače da pronađem nove svetove na koje će sleteti moj brod kolonista.
MAIN_ADVISOR_TRANSPORT            | Utvrdio sam se na ovom novom svetu i moram poslati još iz svoje matice da bih ga proširio. Ovde nema novog života, i tako se moja potraga nastavlja.
MAIN_ADVISOR_DIPLOMACY            | Napokon novi život! Kakav čudan oblik života da komunicira zvukovima i gestikulacijama. Moram da razmotrim diplomatske i obaveštajne informacije koje znam o njima pre nego što povučem sledeći potez.
MAIN_ADVISOR_SHIP_ENGINE          | Nastavljam da usavršavam motore svemirskih letelica. Moram reviziram modele brodova da bih ih integrisao u svoju flotu.
MAIN_ADVISOR_RALLY_POINTS         | Zašto me napadaju? Ne razumem. Moram odabrati tačku za okupljanje da bi moji brodovi otišli da me brane dok pokušavam da shvatim zašto se ovo dogodilo.
MAIN_ADVISOR_MISSILE_BASES        | Sad shvatam da nije svaki oblik života naučio blagodeti saradnje. Moram da ojačam svoje spoljne svetove raketnim bazama da bih obezbedio svoje posede.
MAIN_ADVISOR_SHIP_WEAPON          | Nastavljam da napredujem, a moja nova tehnologija naoružanja će mi dati veću moć, čim je integrišem u svoje modele brodova. 
MAIN_ADVISOR_COUNCIL              | Uzbuđenje! Uskoro će se održati sastanak mnogih vrsta. Koji će se oblici života tamo sakupiti? Ako se predstavim u boljem svetlu među onima koje poznajem, možda će mi olakšati upoznavanje sa nepoznatim vrstama.
MAIN_ADVISOR_REBELLION            | Šta je ovo? Izgubio sam kontrolu nad sobom na %1 sistemu. Nema veze, moram jednostavno otići tamo i pokazati im da sam ja taj koji odlučuje.
MAIN_ADVISOR_RESIST_COUNCIL       | Nemoguće! Da je drugi izabran da vlada ovim šugavcima, dok moja mudrost ostaje zanemarena! Ali nema veze: staviću tačku na sve to odmah!
MAIN_ADVISOR_COUNCIL_RESISTED     | Zašto ove budale istrajavaju u svom nezadovoljstvu? Savet je moj, galaksija je moja i sada će oni da nauče gde im je mesto u mojoj imperiji! 

MAIN_SCOUT_TITLE                  | Istražujem novi zvezdani sistem
MAIN_COLONIZE_TITLE               | Orbitiram %1, nekolonizovani sistem.
MAIN_COLONIZE_ANIMATION_TITLE     | U godini %1, formiram novu koloniju.
MAIN_ALERT_SPY_CAPTURED           | Uhvatio sam špijuna iz [alien_empireStva], prisiljavajući na priznanje njihovih %2 aktivnosti.
MAIN_ALERT_TRANSPORTS_KILLED      | Moji pokušaj da stignem do %2 je bio sprečen od strane [alien_raceSkih] odbrambenih snaga.
MAIN_ALERT_INVADERS_KILLED        | [alien_raceSki] transporteri koji su pokušali da stignu do %2 su kompletno uništeni mojom zaslugom.
MAIN_BOMBARD_TITLE                | Ja sam u orbiti [alien_raceSke] kolonije.

TECH_RESEARCH_COMPUTER            | Moram da izaberem sledeću tehnologiju računara na koju ću se fokusirati.
TECH_RESEARCH_CONSTRUCTION        | Moram da izaberem sledeću tehnologiju konstrukcije na koju ću se fokusirati.
TECH_RESEARCH_FORCE_FIELD         | Moram da izaberem sledeću tehnologiju polja sile na koju ću se fokusirati.
