// race-specific variables (must start with _)
_empire                           | Mršanski Klan, Pršanski Klan, Mjaušanski Klan, Kandžanski Klan, Hišanski Klan
_empireStvo                       | Mršanski Klan, Pršanski Klan, Mjaušanski Klan, Kandžanski Klan, Hišanski Klan
_empireStva                       | Mršanskog Klana, Pršanskog Klana, Mjaušanskog Klana, Kandžanskog Klana, Hišanskog Klana
_empireStvu                       | Mršanskom Klanu, Pršanskom Klanu, Mjaušanskom Klanu, Kandžanskom Klanu, Hišanskom Klanu
_empireStvom                      | Mršanskim Klanom, Pršanskim Klanom, Mjaušanskim Klanom, Kandžanskim Klanom, Hišanskim Klanom
_empireSkog                       | Mršanskog Klana, Pršanskog Klana, Mjaušanskog Klana, Kandžanskog Klana, Hišanskog Klana
_empireSki                        | Mršanski Klan, Pršanski Klan, Mjaušanski Klan, Kandžanski Klan, Hišanski Klan
_empireSku                        | Mršansku Klansku, Pršanskisku Klansku, Mjaušansku Klansku, Kandžansku Klansku, Hišansku Klansku
_empireSka                        | Mršanska Klanska, Pršanska Klanska, Mjaušanska Klanska, Kandžanska Klanska, Hišanska Klanska
_empireSke                        | Mršanske Klanske, Pršanske Klanske, Mjaušanske Klanske, Kandžanske Klanske, Hišanske Klanske
_race                             | Mršan, Pršan, Mjaušan, Kandžan, Hišan
_raceSkog                         | Mršanskog, Pršanskog, Mjaušanskog, Kandžanskog, Hišanskog
_raceSki                          | Mršanski, Pršanski, Mjaušanski, Kandžanski, Hišanski
_raceSkih                         | Mršanskih, Pršanskih, Mjaušanskih, Kandžanskih, Hišanskih
_raceSku                          | Mršansku, Pršansku, Mjaušansku, Kandžansku, Hišansku
_raceSka                          | Mršanska, Pršanska, Mjaušanska, Kandžanska, Hišanska
_raceSke                          | Mršanske, Pršanske, Mjaušanske, Kandžanske, Hišanske
_raceSkom                         | Mršanskom, Pršanskom, Mjaušanskom, Kandžanskom, Hišanskom
_raceSkoj                         | Mršanskoj, Pršanskoj, Mjaušanskoj, Kandžanskoj, Hišanskoj
_raceIja                          | Mršana, Pršana, Mjaušana, Kandžana, Hišana
_race_plural                      | Mršani, Pršani, Mjaušani, Kandžani, Hišani
