

//
// Armor techs
// 
ARMOR_0_NAME     | Titanijum Oklop
ARMOR_0_ITEM     | Titanijum
ARMOR_0_BRIEF    | Poeni Trupa %1
ARMOR_0_DETAIL   | Početna tehnologija oklopa. Nema bonusa za oklop brodova ili borbi na tlu.

ARMOR_1_NAME     | Duraloj Oklop
ARMOR_1_ITEM     | Duraloj
ARMOR_1_BRIEF    | Poeni Trupa %1
ARMOR_1_DETAIL   | Povećava poene trupa brodova i transportera za 50%. Lični borbeni oklop je takođe poboljšan, dodaje 5 na sve napade na tlu.

ARMOR_2_NAME     | Zortijum Oklop
ARMOR_2_ITEM     | Zortijum
ARMOR_2_BRIEF    | Poeni Trupa %1
ARMOR_2_DETAIL   | Povećava poene trupa brodova i transportera za 100%. Lični borbeni oklop je takođe poboljšan, dodaje 10 na sve napade na tlu.

ARMOR_3_NAME     | Andrijum Oklop
ARMOR_3_ITEM     | Andrijum
ARMOR_3_BRIEF    | Poeni Trupa %1
ARMOR_3_DETAIL   | Povećava poene trupa brodova i transportera za 150%. Lični borbeni oklop je takođe poboljšan, dodaje 15 na sve napade na tlu.

ARMOR_4_NAME     | Tritanijum Oklop
ARMOR_4_ITEM     | Tritanijum
ARMOR_4_BRIEF    | Poeni Trupa %1
ARMOR_4_DETAIL   | Povećava poene trupa brodova i transportera za 200%. Lični borbeni oklop je takođe poboljšan, dodaje 20 na sve napade na tlu.

ARMOR_5_NAME     | Adamantijum Oklop
ARMOR_5_ITEM     | Adamantijum
ARMOR_5_BRIEF    | Poeni Trupa %1
ARMOR_5_DETAIL   | Povećava poene trupa brodova i transportera za 250%. Lični borbeni oklop je takođe poboljšan, dodaje 25 na sve napade na tlu.

ARMOR_6_NAME     | Neutronijum Oklop
ARMOR_6_ITEM     | Neutronijum
ARMOR_6_BRIEF    | Poeni Trupa %1
ARMOR_6_DETAIL   | Povećava poene trupa brodova i transportera za 300%. Lični borbeni oklop je takođe poboljšan, dodaje 30 na sve napade na tlu.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Atmosfersko Teraformiranje
ATMOSPHERE_0_DETAIL    | Pretvara Nepristupačna okruženja u Normalna okruženja po ceni od 150 MK.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automatizovani Sistem za Popravku 
AUTOREPAIR_0_BRIEF     | Popravlja 15% brodskih poena po potezu
AUTOREPAIR_0_DETAIL    | Neuništeni brodovi mogu popraviti do 15% od svojih ukupnih poena trupa na kraju svakog poteza.

AUTOREPAIR_1_NAME      | Napredna Kontrola Štete
AUTOREPAIR_1_BRIEF     | Popravlja 30% brodskih poena po potezu
AUTOREPAIR_1_DETAIL    | Neuništeni brodovi mogu popraviti do 30% od svojih ukupnih poena trupa na kraju svakog poteza.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Nivo Napada 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Borbeni Kompjuter Serija I
COMPUTER_1_ITEM    | Serija I
COMPUTER_1_BRIEF   | Nivo Napada I
COMPUTER_1_DETAIL  | Povećava preciznost oružja do nivoa 1.

COMPUTER_2_NAME    | Borbeni Kompjuter Serija II
COMPUTER_2_ITEM    | Serija II
COMPUTER_2_BRIEF   | Nivo Napada II
COMPUTER_2_DETAIL  | Povećava preciznost oružja do nivoa 2.

COMPUTER_3_NAME    | Borbeni Kompjuter Serija III
COMPUTER_3_ITEM    | Serija III
COMPUTER_3_BRIEF   | Nivo Napada III
COMPUTER_3_DETAIL  | Povećava preciznost oružja do nivoa 3.

COMPUTER_4_NAME    | Borbeni Kompjuter Serija IV
COMPUTER_4_ITEM    | Serija IV
COMPUTER_4_BRIEF   | Nivo Napada IV
COMPUTER_4_DETAIL  | Povećava preciznost oružja do nivoa 4.

COMPUTER_5_NAME    | Borbeni Kompjuter Serija V
COMPUTER_5_ITEM    | Serija V
COMPUTER_5_BRIEF   | Nivo Napada V
COMPUTER_5_DETAIL  | Povećava preciznost oružja do nivoa 5.

COMPUTER_6_NAME    | Borbeni Kompjuter Serija VI
COMPUTER_6_ITEM    | Serija VI
COMPUTER_6_BRIEF   | Nivo Napada VI
COMPUTER_6_DETAIL  | Povećava preciznost oružja do nivoa 6.

COMPUTER_7_NAME    | Borbeni Kompjuter Serija VII
COMPUTER_7_ITEM    | Serija VII
COMPUTER_7_BRIEF   | Nivo Napada VII
COMPUTER_7_DETAIL  | Povećava preciznost oružja do nivoa 7.

COMPUTER_8_NAME    | Borbeni Kompjuter Serija VIII
COMPUTER_8_ITEM    | Serija VIII
COMPUTER_8_BRIEF   | Nivo Napada VIII
COMPUTER_8_DETAIL  | Povećava preciznost oružja do nivoa 8.

COMPUTER_9_NAME    | Borbeni Kompjuter Serija IX
COMPUTER_9_ITEM    | Serija IX
COMPUTER_9_BRIEF   | Nivo Napada IX
COMPUTER_9_DETAIL  | Povećava preciznost oružja do nivoa 9.

COMPUTER_10_NAME   | Borbeni Kompjuter Serija X
COMPUTER_10_ITEM   | Serija X
COMPUTER_10_BRIEF  | Nivo Napada X
COMPUTER_10_DETAIL | Povećava preciznost oružja do nivoa 10.

COMPUTER_11_NAME   | Borbeni Kompjuter Serija XI
COMPUTER_11_ITEM   | Serija XI
COMPUTER_11_BRIEF  | Nivo Napada XI
COMPUTER_11_DETAIL | Povećava preciznost oružja do nivoa 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Oklop
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Borbena Odela
BATTLESUIT_1_DETAIL  | Oklop koji ne samo da štiti, već i povećava snagu. Dodaje 10 na sve šanse kod borbi na tlu.

BATTLESUIT_2_NAME    | Oklopljen Egzoskelet
BATTLESUIT_2_DETAIL  | Napredna mobilna odela koja ne samo da povećavaju snagu i povećavaju odbranu, već i nude ograničen let kopnenim trupama. Dodaje 20 na sve šanse kod borbi na tlu.

BATTLESUIT_3_NAME    | Pogonski Oklop
BATTLESUIT_3_DETAIL  | Kombinuje visoku pokretljivost, anti gravitacijski let i tešku oklopnu oblogu kako bi formirao najnapredniji oklop dostupan kopnenim trupama. Dodaje 20 na sve šanse kod borbi na tlu.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Visoko Energetski Fokus
BEAMFOCUS_0_BRIEF   | Dodaje +3 domet energetskom oružju
BEAMFOCUS_0_DETAIL  | Povećava domet svih energetskih oružja za tri.

BEAMFOCUS_1_NAME    | Orakl Interfejs
BEAMFOCUS_1_BRIEF   | Koncentriše zrakovna oružja, prepolovljava neprijateljske štitove
BEAMFOCUS_1_DETAIL  | Koordinira sve napade zrakovnih oružja u jedan istovremeni rafal koncentrisane vatre, prepolovljujući snagu neprijateljskog štita.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | BioToksin Protivotrov
BIOANTIDOTE_0_DETAIL  | Smanjuje gubitke nanete biološkim oružjem za 1M po napadu.

BIOANTIDOTE_1_NAME    | Univerzalni Protivotrov
BIOANTIDOTE_1_DETAIL  | Smanjuje gubitke nanete biološkim oružjem za 2M po napadu.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Smrtonosne Spore
BIOWEAPON_0_BRIEF    | Biološko Oružje
BIOWEAPON_0_DETAIL   | Užasno biološko oružje sposobno da smanji maksimalno stanovništvo planete za 1M po napadu.

BIOWEAPON_1_NAME     | Kataklizma Virus
BIOWEAPON_1_BRIEF    | Biološko Oružje
BIOWEAPON_1_DETAIL   | Strahovito biološko oružje sposobno da smanji maksimalno stanovništvo planete za 2M po napadu.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Biološko Oružje
BIOWEAPON_2_DETAIL   | Gnusno biološko oružje sposobno da smanji maksimalno stanovništvo planete za 3M po napadu.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generator Crne Rupe
BLACKHOLE_0_DETAIL   | Kreira pod-prostorno polje koje savija normalan prostor, stvarajući crnu rupu koja uništava 25% do 100% neprijateljskih brodova ili raketnih baza, minus 2% po klasi štita.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Nuklearna Bomba
BOMB_0_BRIEF    | Napada Samo Tlo
BOMB_0_DETAIL   | Bombe koje eksplodiraju za 3-12 poena i mogu da ciljaju isključivo planete.

BOMB_1_NAME     | Fuziona Bomba
BOMB_1_BRIEF    | Napada Samo Tlo
BOMB_1_DETAIL   | Bombe koje eksplodiraju za 5-20 poena i mogu da ciljaju isključivo planete.

BOMB_2_NAME     | Anti-Materijska Bomba
BOMB_2_BRIEF    | Napada Samo Tlo
BOMB_2_DETAIL   | Bombe koje eksplodiraju za 10-40 poena i mogu da ciljaju isključivo planete.

BOMB_3_NAME     | Omega-V Bomba
BOMB_3_BRIEF    | Napada Samo Tlo
BOMB_3_DETAIL   | Bombe koje eksplodiraju za 20-50 poena i mogu da ciljaju isključivo planete.

BOMB_4_NAME     | Neutronska Bomba
BOMB_4_BRIEF    | Napada Samo Tlo
BOMB_4_DETAIL   | Bombe koje eksplodiraju za 40-70 poena i mogu da ciljaju isključivo planete.


//
// Cloaking tech
//
CLOAK_0_NAME     | Uređaj za Maskiranje
CLOAK_0_BRIEF    | Čini brod gotovo nevidljivim
CLOAK_0_DETAIL   | Čini brod gotovo nevidljivim sve dok ne napadne, poboljšavajući odbranu za +5. Brod mora da se odmaskira da bi napao i automatski se maskira svakog poteza kada ništa ne napadne.


//
// Cloning tech
//
CLONE_0_NAME     | Kloniranje
