// race-specific variables (must start with _)
_empire                           | Дарлоци, Сарлоци, Шпајлоци, Сенлоци, Назлоци
_empireStvo                       | Дарлоке, Сарлоке, Шпајлоке, Сенлоке, Назлоке
_empireStva                       | Дарлока, Сарлока, Шпајлока, Сенлока, Назлока
_empireStvu                       | Дарлоцима, Сарлоцима, Шпајлоцима, Сенлоцима, Назлоцима
_empireStvom                      | Дарлоцима, Сарлоцима, Шпајлоцима, Сенлоцима, Назлоцима
_empireSkog                       | Дарлочког, Сарлочког, Шпајлочког, Сенлочког, Назлочког
_empireSki                        | Дарлочки, Сарлочки, Шпајлочки, Сенлочки, Назлочки
_empireSku                        | Дарлочку, Сарлочку, Шпајлочку, Сенлочку, Назлочку
_empireSka                        | Дарлочка, Сарлочка, Шпајлочка, Сенлочка, Назлочка
_empireSke                        | Дарлочке, Сарлочке, Шпајлочке, Сенлочке, Назлочке
_race                             | Дарлоци, Сарлоци, Шпајлоци, Сенлоци, Назлоци
_raceSkog                         | Дарлочког, Сарлочког, Шпајлочког, Сенлочког, Назлочког
_raceSki                          | Дарлочки, Сарлочки, Шпајлочки, Сенлочки, Назлочки
_raceSkih                         | Дарлочких, Сарлочких, Шпајлочких, Сенлочких, Назлочких
_raceSku                          | Дарлочку, Сарлочку, Шпајлочку, Сенлочку, Назлочку
_raceSka                          | Дарлочка, Сарлочка, Шпајлочка, Сенлочка, Назлочка
_raceSke                          | Дарлочке, Сарлочке, Шпајлочке, Сенлочке, Назлочке
_raceSkom                         | Дарлочком, Сарлочком, Шпајлочком, Сенлочком, Назлочком
_raceSkoj                         | Дарлочкој, Сарлочкој, Шпајлочкој, Сенлочкој, Назлочкој
_raceIja                          | Дарлока, Сарлока, Шпајлока, Сенлока, Назлока
_race_plural                      | Дарлоци, Сарлоци, Шпајлоци, Сенлоци, Назлоци
_raceVoc	                      | Дарлоче, Сарлоче, Шпајлоле, Сенлоче, Назлоче
_title                            | вођа
_titleV                           | вођо
_titleA                           | вођу
_titleI                           | вођом
_nameTitle                        | 
_nameTitleV                       | 
_nameTitleA                       | 
_nameTitleI                       | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Дарлочки Саветник
MAIN_ADVISOR_BUTTON_OK            | Отпусти
MAIN_ADVISOR_SCOUT                | Завршили смо изградњу пар извиђача и брода колониста. Надајмо се да ће се одговори које тражимо представити у оближњем свету.
MAIN_ADVISOR_TRANSPORT            | Нисмо пронашли одговор на планети %1. И даље би требало повећамо наше бројеве тамо слањем расположивих транспортера.
MAIN_ADVISOR_DIPLOMACY            | Представници народа који су аутохтони у овој димензији су се обзнанили. Морамо да урадимо све што можемо да сазнамо све што они знају.
MAIN_ADVISOR_SHIP_ENGINE          | Открили смо начин за производњу ефикаснијих мотора. Морамо постићи консензус о томе како најбоље побољшати наше моделе бродова како би искористили ову нову технологију. 
MAIN_ADVISOR_RALLY_POINTS         | Започео је неизбежни сукоб! Наши производни погони могу своје новоизграђене бродове усмерити на један свет и тамо формирати флоту која ће нас бранити од агресора.
MAIN_ADVISOR_MISSILE_BASES        | Изгубили смо превише долазећи у овај универзум да бисмо сада изгубили ишта више: наредите нашим колонијама да се заштите од непријатеља изградњом што већег броја одбрамбених ракетних база.
MAIN_ADVISOR_SHIP_WEAPON          | Открили смо нову технологију која побољшава офанзивне способности наших звезданих бродова. Морамо поново да одлучимо како ћемо унапредити наше моделе бродова и што пре искористили нове технологије.
MAIN_ADVISOR_COUNCIL              | Постоје гласине о скупу познатом као Галактички савет који ће се ускоро догодити. Наши шпијуни се надају да ће то искористити као прилику да прикупе све обавештајне податке које могу. Будућност наше расе зависи од тога!
MAIN_ADVISOR_REBELLION            | Да ли су становници планете %1 полудели?! Заборављају да само заједно можемо превладати у овом универзуму! Одмах морамо дати за пример како се третирају побуњеници!
MAIN_ADVISOR_RESIST_COUNCIL       | Наше шансе за успех овде су одувек биле мале. Борба против Галактичког савета и његових савезника не кочи пуно наше планове.
MAIN_ADVISOR_COUNCIL_RESISTED     | Предуго смо радили на томе да ове будале покоримо нашој вољи! Побуна против нашег вођства се не може толерисати! Уништите их одмах!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Крај ваше потраге, крај вашег народа...#Незамислива трагедија задесила је вашу империју. Некада смо били раса која је очајнички трагала да открије догађаје који су ваше претке избацили из њиховог умирућег универзума у ​​ову туђинску димензију, а сада ваша цивилизација лежи у потпуној пропасти пред народима превише моћним да би могли да им се супротставимо. Да су знали за вашу невољу, можда би били милосрднији, можда би вам чак и пружали помоћ, или би бар били толерантнији према средствима која сте користили за постизање својих циљева. Уместо тога, постигли сте само превремену смрт своје врсте док друге силе настављају свој поход ка будућности.#Авај, зар су Дарлоци морали до доживе овакву пропаст!? Да сте другачије одиграли своју руку, ваши људи би можда још увек били живи и можда би чак и пронашли кључ који би вам омогућио да остатак наше расе уведете у ову нову, стабилнију димензију. Можда, ипак, ваше карте нису могле бити боље одигране: можда је судбина једноставно одлучила да вам подели најгору руку...
GAME_OVER_MILITARY_WIN2           | Прва фаза је завршена, прави тек тест почиње...#Ова галаксија је ваша! Као што су ваши људи доминирали свемиром из којег су дошли, тако сте и ви срушили слабу опозицију у овој галаксији и заузели све што у њој постоји. Тактика коју сте користили показала се превише добра за ваше непријатеље, а скривеност и потајност коју сте користили да бисте стекли њихове тајне показали су се још ефективнији. Сада, док последња упоришта ваших непријатеља падају пред вашом моћи, ви гледате ка звездама које чине оно што ће постати дом Дарлока.#Али ваш посао још увек није ни близу краја. Научили сте како да преживите у овој туђинској димензији и осигурали сте читаву галаксију за ваш народ, да може да живи и напредује. Међутим, тајне међудимензионалне пукотине која је уопште довела вашу расу овде тек треба да буду откривене, а сваки дан који овде пролази значи да се ваш свемир приближава свом неизбежном колапсу. И уколико је нека од империја које сте уништили имала одговор на те тајне, ваше војно освајање ће се можда показати као узрок ваше пропасти...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Прва фаза је завршена, прави тест тек почиње...#Стигао је час ваше прве истинске победе! Када су ваши људи бачени у ову димензију, изгледала је застрашујуће, страно и опасно. Али, уместо кукавичлука и пукок преживљавања, храбро су кренули напред, и заклели су се да ће овладати тајнама ове галаксије и осигурати да остатак вашег народа доведу из своје умируће димензије. На том путу сте створили непријатеље и пријатеље, и постављена је позорница за највећи изазов на који су ваши људи икада наишли.#Заједно са својим савезницима успели сте да разорите све који су се супротставили вашим циљевима и вашим флотама их разбијете као стакло. Сада сте остали само ви и ваши блиски пријатељи, а кроз сродство које се може стећи само учешћем у победи у рату, сретно ћете помагати својим савезницима у њиховим напорима, као што ће и они вама. А кад једном ваши људи безбедно пређу у ову димензију и ваша истинска империја се препороди, само они који су се показали верни вашим циљевима могу живети у универзуму који ће несумњиво постати ваш...
GAME_OVER_COUNCIL_LOSS2           | Ваши интриге су пропале, ваша потрага угрожена...#Ваши планови су огољени пред читавом галаксијом, и иако се нико не може поредити са вашом вештином у обмањивању, ревност ваших противника се показала као превелики залогај, чак и за вас. Са стварањем Нове Републике и одређивањем будућност галаксије, показало се да су гласови оних који су били на поду савета поништили ваше добро постављене планове. Будућност припада [leader_raceSkoj] раси!#Ваш покушај да управљате током галаксије био је амбициозна стратегија. Да су ваше дипломатске махинације биле суптилније, могуће је да би целокупна галаксије могла бити усмерена ка вашој потрази. Сада ћете морати да се потчините вољи [leader_raceSke] расе, али сваки дан који пролази доводи оне који су заробљени у колапсирајућем универзуму, из којег и ви долазите, дан ближе незамисливо ужасној судбини...
GAME_OVER_REBELLION_LOSS2         | Крај ваше потраге, крај вашег народа...#Срећа никада није пратила ваш народ, још од вашег доласка у ову нестретну димензију. Није вас пратила када сте избачени у ову димензију где ништа од ваше технологије није функционисало како треба. Није вас пратила када су аутохтони становници ове галаксије гласали против вашег вођства Нове Републике. И сада, на крају свега, није вас срећа пратила док сте се борили против својих ривала не само за вођство ове галаксије, већ суво преживљавање#Ваш народ је био жилав, снажан и одлучан, али њихови напори и жеља за победом на било који начин једноставно нису били довољни да им донесу победу против велике моћи војски Нове Републике. Ваша храброст била је вредна памћења: то нико не може да оспори. И сада, док ваше последње армије, и ваши последњи светови падају пред непријатељским снагама, ваша сломљена империја је утучена, покорена и пада у заборав...
GAME_OVER_REBELLION_WIN2          | Прва фаза је завршена, прави тест тек започиње...#Напокон, инфериорне будале могу да препознају праву силину ваше моћи! Узалуд су ваши непријатељи покушавали да вас спрече у потрази да спасете вашу браћу и сестре од њихове евентуалне пропасти и користили су сваки трик да би вас омели. Од претњи шпијунажом до отвореног непријатељства, њихова жеља да вас спрече да постигнете свој циљ била је на врхунцу када су гласали против вас као вође Нове Републике, иако сте ви били најзаслужнији да то постанете. Без пуно реалних опција, и без гриже савести сте их препустили свом бесу, који је ваш народ довео до потпуне превласти у свемиру одакле сте и дошли.#Сада је ова галаксија ваша, и иако је мало времена пре него што ваша матична димензија колапсира, а они који су остали у њој трпе судбину гору од смрти, бар сада у овој димензији више нема никога ко вам се може супротставити. Сада, напокон ове инфериорне будале препознају вашу моћ и повлађени су вашој вољи! Или би бар то учинили, да је неко од њих остао жив... 
GAME_OVER_REBEL_ALLIANCE_WIN2     | Прва фаза је завршена, прави тест тек започиње...#Од самог почетка сте знали да вам становници ове галаксије никада неће самовољно поверовати да водите јединствени савез свемирских империја. Неискрене и неповерљиве, матичне империје које насељавају ову димензију учиниле су све што су могле да спутају ваше планове и драге воље су гласали против вас када је формирање Нове Републике започело. Али ви сте мудри и лукави, и прочитали сте их као књигу, и усредсредили сте све своје дипломатске напоре само на оне који су вредни да стоје уз вас. А када су ваши супарници помислили да су вас ухватили у клопку, схватили су да су се сами нашли у замци коју сте ви већ давно подметнули.#Сада ви и ваши савезници стојите победнички над пепелом оних који су се усудили да помисле да су бољи од вас. Судбина галаксије је у вашим рукама, и сада слободно можете наћи начин да своју заробљену браћу у сестре доведете преко димензионалних баријера и у овај нови универзум који је спреман за ваше преузимање. А ако вас они које сте изабрали за пријатеље буду ометали у остваривању ваших циљева, поступићете с њима једнако одлучно, као што сте већ поступили и са осталима...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Прва фаза је завршена, прави тест тек започиње...#Давно је мала групација вашег народа избачена из умирућег универзума и гурнута у ову нову туђинску димензију. Док сте почели да тражите начин да доведете оне који су били заробљени да вам се придруже у овој новој и стабилној галаксији, сусретање са онима који су већ живели међу овим звездама су вам показали да нећете моћи да пронађете одговоре које сте тражили док водите небитне и дуготрајне ратове. Уместо тога, покушали сте да манипулишете током историје док сте били у сенци, и сада су се напокон ти планови остварили.#[leader_raceSka] раса је преузела владање Новом Републиком и показали су се пријемчивим и спремни за прихватање ваших идеја и савета. Као повереници и саветници, ваш народ је у јединственој позицији да управља током галаксије под вођством ваших савезника. Довољно сте удаљени од директног вођства да бисте икада осетили гнев уколико ствари пођу по злу. А ако успете у својим плановима, јачање ваших редова доласком вашег давно изгубљеног рода биће више него довољно за започињање нове ере и да ствари превагну у вашу корист...
GAME_OVER_COUNCIL_WIN2            | Прва фаза је завршена, прави тест сада почиње...#У коморама Савета је започело славље, док ви започињете своју владавину као Господар Нове Републике. Понизно прихватате терет управљања који вам дат од стране империја које чине Галактички Савет, знајући да је овај резултат продукт старих планова. Убрзо након доласка вашег народа у ову димензију и откривања њених тајни, знали сте да нећете моћи сами да нађете начин да омогућите својој заробљеној браћи и сестрама да допутују до ове димензије, пре него што њихов универзум у потпуности колапсира. Сада, након година дипломатије, обмана и политичких манипулација, више не морате да бринете о томе.#Сада је ова галаксија ваша да је обликујете, вајате, и управљате њом на начин који се вама чини најбољим. Ускоро ћете повинути технологију, снагу и иновације својих савезника, и уз њихову помоћ отворити портал до свог старог дома и обновити своју цивилизацију овде, са што више својих сународника. А уколико се неко усуди да покуша да вас заустави, сада имате на располагању војске Нове Републике да заувек сломите њихову побуну...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Прва фаза је завршена, прави тест сада почиње...#Сада је ваше владање овом галаксијом потврђено речју и делима. Након небројених година манипулације међузвезданим ривалима како би вам помогли да испуните своје циљеве, ваши планови су се коначно остварили када сте стекли титулу „Господар Нове Републике“. А када су се против вас подигли гласови ваших неистомишљеника, већ сте покренули планове унутар планова, који су вам омогућили да одлучно свладате побуну. Они су се борили, ви сте победили, а сада је читава галаксија ваша, и сада можете да радите шта пожелите.#Ви сте самлели ваше непријатеље и расејали сте их соларним ветровима, и сада скрећете пажњу на свој прави циљ: пронаћи начин да доведете свој раздвојени народ кроз димензионалну провалију, у овај нови и стабилни универзум где ваша империја може да се препороди. Нико се сада не усуђује да проговори против вас, након што су видели шта се догодило са онима који су били довољно глупи да то учине...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Крај ваше потраге, крај вашег народа...#Најтужнија судбина коју сте могли замислити за свој народ је постала стварност. Ваша непревазиђена способност за манипулацију и обману вам није помогла пред инфериорним расама које нису могле да разумеју какво сте велико дело покушали да извршите. Иако сте успели у монументалном задатку да постанете изабрани владар галаксије, а да сте и даље задржали тајност ваших циљева, нисте успели да угушите побуну која се убрзо подигла против ваше владавине.#Сада је прекасно да усмерите будућност галаксије на пут који вама одговара. Побуна је оставила од Нове Републике само рушевине за харање победника да преко ње изнова граде. А смрт Дарлока запечаћује судбину свих оних који су остали заробљени у универзуму осуђеном на пропаст, без икакве наде да ће успети да побегну. Ваш неуспех је запечатио судбину ваше империје не само у једном, већ у два универзума, и самим тим је више неизмеран него што би ико од ваших непријатеља икада могао да замисли...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Дарлочки притисак из сенке хвата у замку
GAME_OVER_REBELLION_LOSS3         | недокучиве махинације Дарлока
