// race-specific variables (must start with _)
_empire                           | Клаконска Унија, Клакантска Унија, Клоканска Унија, Артропонска Унија, Колеоптеронска Унија
_empireStvo                       | Клаконску Унију, Клакантску Унију, Клоканску Унију, Артропонску Унију, Колеоптеронску Унију
_empireStva                       | Клаконске Уније, Клакантске Уније, Клоканске Уније, Артропонске Уније, Колеоптеронске Уније
_empireStvu                       | Клаконској Унији, Клакантској Унији, Клоканској Унији, Артропонској Унији, Колеоптеронској Унији
_empireStvom                      | Клаконском Унијом, Клакантском Унијом, Клоканском Унијом, Артропонском Унијом, Колеоптеронском Унијом
_empireSkog                       | Клаконске Уније, Клакантске Уније, Клоканске Уније, Артропонске Уније, Колеоптеронске Уније
_empireSki                        | Клаконски Унијски, Клакантски Унијски, Клокански Унијски, Артропонски Унијски, Колеоптеронски Унијски
_empireSku                        | Клаконску Унијску, Клакантску Унијску, Клоканску Унијску, Артропонску Унијску, Колеоптеронска Унијску
_empireSka                        | Клаконска Унијска, Клакантска Унијска, Клоканска Унијска, Артропонска Унијска, Колеоптеронска Унијска
_empireSke                        | Клаконска Унијске, Клакантска Унијске, Клоканска Унијске, Артропонска Унијске, Колеоптеронска Унијске
_race                             | Клакон, Клакант, Клокан, Артропон, Колеоптерон
_raceSkog                         | Клаконског, Клакантског, Клоканског, Артропонског, Колеоптеронског
_raceSki                          | Клаконски, Клакантски, Клокански, Артропонски, Колеоптеронски
_raceSkih                         | Клаконских, Клакантских, Клоканских, Артропонских, Колеоптеронских
_raceSku                          | Клаконску, Клакантску, Клоканску, Артропонску, Колеоптеронску
_raceSka                          | Клаконска, Клакантска, Клоканска, Артропонска, Колеоптеронска
_raceSke                          | Клаконске, Клакантске, Клоканске, Артропонске, Колеоптеронске
_raceSkom                         | Клаконском, Клакантском, Клоканском, Артропонском, Колеоптеронском
_raceSkoj                         | Клаконској, Клакантској, Клоканској, Артропонској, Колеоптеронској
_raceIja                          | Клакона, Клаканта, Клокана, Артропона, Колеоптерона
_race_plural                      | Клакони, Калаканти, Колкани, Артропони, Колеоптерони
_raceVoc                          | Клаконе, Калаканте, Колкане, Артропоне, Колеоптероне
_title                            | Вођа
_titleV                           | Вођо
_titleA                           | Вођу
_titleI                           | Вођом
_nameTitle                        |
_nameTitleV                       |
_nameTitleA                       |
_nameTitleI                       |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | Отпусти
MAIN_ADVISOR_SCOUT                | Напокон су моји бродови завршили изградњу. Морам да користим своје извиђаче да пронађем нове светове на које ће слетети мој брод колониста.
MAIN_ADVISOR_TRANSPORT            | Утврдио сам се на овом новом свету и морам послати још из своје матице да бих га проширио. Овде нема новог живота, и тако се моја потрага наставља.
MAIN_ADVISOR_DIPLOMACY            | Напокон нови живот! Какав чудан облик живота да комуницира звуковима и гестикулацијама. Морам да размотрим дипломатске и обавештајне информације које знам о њима пре него што повучем следећи потез.
MAIN_ADVISOR_SHIP_ENGINE          | Настављам да усавршавам моторе свемирских летелица. Морам ревизирам моделе бродова да бих их интегрисао у своју флоту.
MAIN_ADVISOR_RALLY_POINTS         | Зашто ме нападају? Не разумем. Морам одабрати тачку за окупљање да би моји бродови отишли да ме бране док покушавам да схватим зашто се ово догодило.
MAIN_ADVISOR_MISSILE_BASES        | Сад схватам да није сваки облик живота научио благодети сарадње. Морам да ојачам своје спољне светове ракетним базама да бих обезбедио своје поседе.
MAIN_ADVISOR_SHIP_WEAPON          | Настављам да напредујем, а моја нова технологија наоружања ће ми дати већу моћ, чим је интегришем у своје моделе бродова. 
MAIN_ADVISOR_COUNCIL              | Узбуђење! Ускоро ће се одржати састанак многих врста. Који ће се облици живота тамо сакупити? Ако се представим у бољем светлу међу онима које познајем, можда ће ми олакшати упознавање са непознатим врстама.
MAIN_ADVISOR_REBELLION            | Шта је ово? Изгубио сам контролу над собом на %1 систему. Нема везе, морам једноставно отићи тамо и показати им да сам ја тај који одлучује.
MAIN_ADVISOR_RESIST_COUNCIL       | Немогуће! Да је други изабран да влада овим шугавцима, док моја мудрост остаје занемарена! Али нема везе: ставићу тачку на све то одмах!
MAIN_ADVISOR_COUNCIL_RESISTED     | Зашто ове будале истрајавају у свом незадовољству? Савет је мој, галаксија је моја и сада ће они да науче где им је место у мојој империји! 

MAIN_SCOUT_TITLE                  | Истражујем нови звездани систем
MAIN_COLONIZE_TITLE               | Орбитирам %1, неколонизовани систем.
MAIN_COLONIZE_ANIMATION_TITLE     | У години %1, формирам нову колонију.
MAIN_ALERT_SPY_CAPTURED           | Ухватио сам шпијуна из [alien_empireStva], присиљавајући на признање њихових %2 активности.
MAIN_ALERT_TRANSPORTS_KILLED      | Моји покушај да стигнем до %2 је био спречен од стране [alien_raceSkih] одбрамбених снага.
MAIN_ALERT_INVADERS_KILLED        | [alien_raceSki] транспортери који су покушали да стигну до %2 су комплетно уништени мојом заслугом.
MAIN_BOMBARD_TITLE                | Ја сам у орбити [alien_raceSke] колоније.

TECH_RESEARCH_COMPUTER            | Морам да изаберем следећу технологију рачунара на коју ћу се фокусирати.
TECH_RESEARCH_CONSTRUCTION        | Морам да изаберем следећу технологију конструкције на коју ћу се фокусирати.
TECH_RESEARCH_FORCE_FIELD         | Морам да изаберем следећу технологију поља силе на коју ћу се фокусирати.
TECH_RESEARCH_PLANETOLOGY         | Морам да изаберем следећу технологију планетологије на коју ћу се фокусирати.
TECH_RESEARCH_PROPULSION          | Морам да изаберем следећу технологију погона на коју ћу се фокусирати.
TECH_RESEARCH_WEAPON              | Морам да изаберем следећу технологију наоружања на коју ћу се фокусирати.
TECH_DISCOVERY_TITLE              | Достигао сам %1 откриће.
TECH_SCOUTED_TITLE                | Док сам истраживао рушевине %1 система, открио сам нову технологију
TECH_STOLEN_TITLE                 | Инфилтрирао сам %1 истраживачки центар на %2.
TECH_TRADED_TITLE                 | Стекао сам технологију од [alien_raceSkih] научника
TECH_PLUNDERED_TITLE              | Док сам пљачкао рушевине са %1 система, открио сам нову технологију
TECH_ALLOCATE_SHIELD              | Да ли бих требало да повећам потрошњу на одбрану у свим мојим колонијама за изградњу нових планетарних штитова
