// race-specific variables (must start with _)
_empire                           | Сајлон Република, Менталон Република, Сајкон Република, Сереброн Република, Неуралон Република
_empireStvo                       | Сајлонску Републику, Менталонску Републику, Сајконску Републику, Серебронску Републику, Неуралонску Републику
_empireStva                       | Сајлонске Републике, Менталонске Републике, Сајконске Републике, Серебронске Републике, Неуралонске Републике
_empireStvu                       | Сајлонској Републици, Менталонској Републици, Сајконској Републици, Серебронској Републици, Неуралонској Републици
_empireStvom                      | Сајлонском Републиком, Менталонском Републиком, Сајконском Републиком, Серебронском Републиком, Неуралонском Републиком
_empireSkog                       | Сајлонског Републичког, Менталонског Републичког, Сајконског Републичког, Серебронског Републичког, Неуралонског Републичког
_empireSki                        | Сајлонски Републикански, Менталонски Републикански, Сајконски Републикански, Серебронски Републикански, Неуралонски Републикански
_empireSku                        | Сајлонску Републиканску, Менталонску Републиканску, Сајконску Републиканску, Серебронску Републиканску, Неуралонску Републиканску
_empireSka                        | Сајлонска Републиканска, Менталонска Републиканска, Сајконска Републиканска, Серебронска Републиканска, Неуралонска Републиканска
_empireSke                        | Сајлонске Републиканске, Менталонске Републиканске, Сајконске Републиканске, Серебронске Републиканске, Неуралонске Републиканске
_race                             | Сајлон, Менталон, Сајкон, Сереброн, Неуралон
_raceSkog                         | Сајлонског, Менталонског, Сајконског, Серебронског, Неуралонског
_raceSki                          | Сајлонски, Менталонски, Сајконски, Серебронски, Неуралонски
_raceSkih                         | Сајлонских, Менталонских, Сајконских, Серебронских, Неуралонских
_raceSku                          | Сајлонску, Менталонску, Сајконску, Серебронску, Неуралонску
_raceSka                          | Сајлонска, Менталонска, Сајконска, Серебронска, Неуралонска
_raceSke                          | Сајлонске, Менталонске, Сајконске, Серебронске, Неуралонске
_raceSkom                         | Сајлонском, Менталонском, Сајконском, Серебронском, Неуралонском
_raceSkoj                         | Сајлонској, Менталонској, Сајконској, Серебронској, Неуралонској
_raceIja                          | Сајлона, Менталона, Сајкона, Сереброна, Неуралона
_race_plural                      | Сајлони, Менталони, Сајкони, Сереброни, Неуралони
_raceVoc                          | Сајлонe, Менталонe, Сајконe, Серебронe, Неуралонe
_title                            | Врховни Одборник
_titleV                           | Врховни Одборниче
_titleA                           | Врховног Одборника
_titleI                           | Врховним Одборником
_nameTitle                        | Врховни Одборник
_nameTitleV                       | Врховни Одборниче
_nameTitleA                       | Врховног Одборника
_nameTitleI                       | Врховним Одборником


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
