// race-specific variables (must start with _)
_empire                           | Імперія Булраті, Імперія Ведмерів, Імперія Гризлар, Імперія Урсул, Імперія Павраті
_empire2                          | Імперії Булраті, Імперії Ведмерів, Імперії Гризлар, Імперії Урсул, Імперії Павраті
_empire3                          | Імперії Булраті, Імперії Ведмерів, Імперії Гризлар, Імперії Урсул, Імперії Павраті
_empire4                          | Імперію Булраті, Імперію Ведмерів, Імперію Гризлар, Імперію Урсул, Імперію Павраті
_empire5                          | Імперією Булраті, Імперією Ведмерів, Імперією Гризлар, Імперією Урсул, Імперією Павраті
_race                             | Булраті, Ведмер, Гризлар, Урсул, Павраті
_race2                            | Булраті, Ведмера, Гризлара, Урсула, Павраті
_race3                            | Булраті, Ведмеру, Гризлару, Урсулу, Павраті
_race4                            | Булраті, Ведмера, Гризлара, Урсула, Павраті
_race5                            | Булраті, Ведмером, Гризларі, Урсулі, Павраті
_race7                            | Булраті, Ведмере, Гризларі, Урсулі, Павраті
_race_plural                      | Булраті, Ведмери, Гризларі, Урсули, Павраті
_race_plural2                     | Булраті, Ведмер, Гризлар, Урсул, Павраті
_race_plural3                     | Булраті, Ведмеру, Гризларам, Урсулам, Павраті
_race_plural4                     | Булраті, Ведмер, Гризлар, Урсул, Павраті
_race_plural5                     | Булраті, Ведмерами, Гризларами, Урсулами, Павраті
_race_plural7                     | Булраті, Ведмери, Гризларе, Урсули, Павраті
_title                            | Великий Ієрарх
_title3                           | Великому Ієрарху
_title7                           | Великий Ієрарху
_nameTitle                        | Великий Ієрарх


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Радник Булраті
MAIN_ADVISOR_BUTTON_OK            | Сховати
MAIN_ADVISOR_SCOUT                | Пане, наші розвідник й корабель для колонізації підготовані до вильоту. Вони готові діяти за вашими розпорядженнями.
MAIN_ADVISOR_TRANSPORT            | Світ %1 тепер під нашим контролем! Дайте наказ і ми негайно відправимо транспорти туди!
MAIN_ADVISOR_DIPLOMACY            | Інша раса встановила контакт з нашою Імперією, пане. Наше ставлення до них, будь то агресивне чи доброзичливе - ваш вибір.
MAIN_ADVISOR_SHIP_ENGINE          | Наші вчені продовжують дивувати нас новими технологіями, цього разу покращуючи швидкість наших двигунів. Інженери чекають вашого рішення щодо оновлення конструкцій кораблів.
MAIN_ADVISOR_RALLY_POINTS         | На нас чекає славна битва! Ви можете зазначити місце збору для нових кораблів для організації сил Імперії.
MAIN_ADVISOR_MISSILE_BASES        | Наші колонії чекають на ваш наказ, пане Ієрарху. Вони просять збільшити будівництво оборонних ракетних баз.
MAIN_ADVISOR_SHIP_WEAPON          | Наші вчені розробили прототип нової корабельної зброї. Настав час використати її в битві! Треба переглянути наші креслення кораблів для її застосування.
MAIN_ADVISOR_COUNCIL              | Невдовзі збираються представники першої Галактичної Ради, пане Ієрарху. Наші дипломати слідуватимуть вашим вказівкам для забезпечення відповідності рішень Ради вашій волі. 
MAIN_ADVISOR_REBELLION            | Булраті планети %1 вирішили відкрито протистояти вам, Пане. Настав час нагадати їм, чому саме Вас обрали очолювати Імперію!
MAIN_ADVISOR_RESIST_COUNCIL       | Кожен з нас готовий пролити кров заради вашої влади, Пане! Ми не заспокоїмося, доки ви не займете своє законне місце правителя!
MAIN_ADVISOR_COUNCIL_RESISTED     | ХА! Треба бути дурним, щоб не розуміти, що протидія нам - безглузда. Покажіть силу вашим підданим і розчавіть це нікчемне повстання!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Лють вашого народу була загашена.# Вашої сили було недостатньо для зупинення зростаючого потоку ворожих сил. Хоч і кожен воїн бився до кінця з незрівнянною хоробрістю, слава Імперії Булраті - тепер лише історія. Колишній Великий Ієрарх могутньої імперії й лідер гордої раси філософів-воїнів, які прагнули до зірок, щоб знайти своє місце у Всесвіті та випробувати свою міць проти тих, хто наважився їм протистояти. Тепер ви - лише ім’я в хроніках минулого цієї галактики.#Можливо, якби ви знали про кінець цієї історії, ви б не повели свій народ у цей невблаганний космос. Тепер від вас і вашого народу залишився лише пил ваших амбіцій і погано виконаних планів...
GAME_OVER_MILITARY_WIN2           | Лють вашої Імперії перемогла.#Сьогодні ви здобули перемогу для свого народу. Інші імперії вважали, що вони здатні протистояти вашій військовій могутності, але тепер їх флоти розбиті, а їх народи чекають, що саме для них уготовано долею. Хіба вони не впізнали лють у вашому серці? Чи може вони не виявили стійкості ваших переконань? Зараз це не має значення, бо переможці не повинні турбуватись думками переможених, і нема нікого, хто може оскаржувати той факт, що ви стоїте переможцем, єдиним лідером всього Всесвіту.#Ваш народ знайшов свою долю - керування галактикою, а ви, Великий Ієрарху Імперії Булраті, допомогли йому у цьому.
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ніхто не посміє протистояти вашій люті.#Ваш найбільший страх, як Великого Ієрарха Імперії Булраті, полягав у тому, що ті, з ким ви зіткнулися в космосі, будуть несумісні з вашим баченням майбутнього, і їх з часом доведеться знищити. І хоч і деякі з них виправдали ці очікування, були й ті, хто довели себе лояльними союзниками у цьому тривалому і бурхливому шляху.#Можливо, добре, що ви знайшли тих, з ким зрештою ви поділитеся цією галактикою. Вона неймовірно велика, а союзники - джерело нових поглядів філософії, які, ймовірно, дадуть великим розумам паливо для міркування на наступні століття... Це, звичайно, якщо вони залишаться лояльними...
GAME_OVER_COUNCIL_LOSS2           | Лють твого народу була погашена.#Ті докладені зусилля для створення майбутнього для свого народу є неймовірно доблесними. Не зважаючи на мізерні шанси, ви долали труднощі, заробляючи світи для Імперії по всій галактиці. Але ж, ваша сила не встигала за ворожими технологічними інноваціями й політичними махінаціями... Ви бачили, що можливість перемогти їх - неймовірно крихітна, та ви зробили складний вибір: підкоритися новообраному лідеру Нової Республіки для запобігання війни та, ймовірно, повного знищення раси Булраті.#Хоч й ваша честь назавжди оскаржена, хоч ваш народ завжди буде бачити в вас боягуза, що втік з поля бою - ви знаєте, що ваше рішення є правильним. Врешті-решт, ви забезпечили виживання своєму народові... Але ж це тільки поки ви його лідер, що, можливо, й не на довго...
