// race-specific variables (must start with _)
_empire                           | Дарлоки, Сарлоки, Шпилюки, Тінлоки, Назлоки
_empire2                          | Дарлоків, Сарлоків, Шпилюків, Тінлоків, Назлоків
_empire3                          | Дарлокам, Сарлокам, Шпилюкам, Тінлокам, Назлокам
_empire4                          | Дарлоків, Сарлоків, Шпилюків, Тінлоків, Назлоків
_empire5                          | Дарлоками, Сарлоками, Шпилюками, Тінлоками, Назлоками
_race                             | Дарлок, Сарлок, Шпилюк, Тінлок, Назлок
_race2                            | Дарлока, Сарлока, Шпилюка, Тінлока, Назлока
_race3                            | Дарлоку, Сарлоку, Шпилюку, Тінлоку, Назлоку
_race4                            | Дарлока, Сарлока, Шпилюка, Тінлока, Назлока
_race5                            | Дарлоком, Сарлоком, Шпилюком, Тінлоком, Назлоком
_race7                            | Дарлоку, Сарлоку, Шпилюку, Тінлоку, Назлоку
_race_plural                      | Дарлоки, Сарлоки, Шпилюки, Тінлоки, Назлоки
_race_plural2                     | Дарлоків, Сарлоків, Шпилюків, Тінлоків, Назлоків
_race_plural3                     | Дарлокам, Сарлокам, Шпилюкам, Тінлокам, Назлокам
_race_plural4                     | Дарлоків, Сарлоків, Шпилюків, Тінлоків, Назлоків
_race_plural5                     | Дарлоками, Сарлоками, Шпилюками, Тінлоками, Назлоками
_race_plural7                     | Дарлоки, Сарлоки, Шпилюкі, Тінлоки, Назлоки
_title                            | Правитель
_title3                           | Правителю
_title7                           | Правителю
_nameTitle  

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Радник Дарлоків
MAIN_ADVISOR_BUTTON_OK            | Сховати
MAIN_ADVISOR_SCOUT                | Ми закінчили будівництво розвідника й корабля для колонізації. Можливо, відповіді на наші питання десь на планеті неподалік.
MAIN_ADVISOR_TRANSPORT            | Ми не знайшли відповідей на планеті %1. Але ж нам все одно слід розвивати цю колонію. Варто направити туди транспорт для збільшення швидкості її розвитку.
MAIN_ADVISOR_DIPLOMACY            | Уродженці цього простору пішли на контакт з нами. Ми повинні зробити все можливе, щоб дізнатися чи мають вони відповіді.
MAIN_ADVISOR_SHIP_ENGINE          | Ми розкрили спосіб виробництва більш ефективних двигунів. Треба оновити конструкції наших кораблів для використання цієї технології.
MAIN_ADVISOR_RALLY_POINTS         | Ми розуміли, що цей конфлікт неминучий! Варто встановити точку збору для новозбудованих кораблів. Найважливіше в будь-якій війні - правильна організація бойових сил.
MAIN_ADVISOR_MISSILE_BASES        | Ми втратили занадто багато, прийшовши до цього Всесвіту. Варто захищати те, що ми вже собі здобули. Я рекомендую почати будівництво оборонних ракетних баз.
MAIN_ADVISOR_SHIP_WEAPON          | Ми знайшли нову технологію, яка покращує бойові можливості наших кораблів. Ми повинні оновити конструкцію наших кораблі!
MAIN_ADVISOR_COUNCIL              | Зовсім скоро буде зібрання імперій цього простору "Галактична Рада". Наші шпигуни сподіваються використати це як можливість зібрати будь-яку інформацію на ворогів. Від цього залежить майбутнє нашої раси!
MAIN_ADVISOR_REBELLION            | Невже ж Дарлоки системи %1 зійшли з ума?! Вони забувають, що лише разом ми розкриємо секрети цієї галактики. Ми повинні негайно усунути цю загрозу.
MAIN_ADVISOR_RESIST_COUNCIL       | Наші шанси на успіх у голосуванні завжди були незначними. Боротьба з Галактичною Радою та її союзниками покращить - єдиний шлях до об'єднання Дарлоків Всесвіту.
MAIN_ADVISOR_COUNCIL_RESISTED     | Ми надто довго працювали, щоб здобути те, що ми маємо зараз. Ми не потерпимо тих, хто намагається забрати це у нас!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Як кінець вашого пошуку, так і кінець вашого народу...#Неймовірна трагедія для вашої імперії! Колись раса, чужа для цієї галактики, результат помилки Всесвіту, яка привела вас в цей простір. А вже тепер це руїни, створені всепоглинальними силами агресорів. Якби вони знали страждання вашого народу, вони, можливо, були б більш милосердними або, навіть, надали б вам допомогу чи були б більше терпимими до ваших способів здобуття інформації. Натомість ви привели свій народ до трагедії, від якої він не зможе відновитися.#На жаль, Дарлоки зовсім скоро будуть лише спогадом з минулого. Можливо, якби ви прийняли інші рішення, вони були б живі та, може, знайшли б ключ, який дозволив би вам вивести решту вашої раси в цей новий і стабільніший простір. Можливо, однак, що іншого результату і не могло бути, можливо, вам судилося бути знищеними ворогами. Але вже немає сенсу думати про те, що не сталося. Одне лише напевно: Це кінець історії Дарлоків...
GAME_OVER_MILITARY_WIN2           | Перша фаза завершена, настав час справжнього випробування...#Ця галактика ваша! Як ваш народ домінував у своєму просторі у минулому, так і ви розгромили опозицію  та заволоділи усією Галактикою. Тактики, які ви застосовували, виявились занадто складними для ваших ворогів, а ваша розвідка здобувала необхідну інформацію, щоб завжди бути на крок попереду них. Тепер, коли останні фортеці ваших ворогів було знищено, ви можете поглянути на Галактику, яку можете назвати своєю.#Але ж ваша мета ще не досягнена. Так! Ви дізналися, як жити в цьому чужому просторі, та ви зробили цілу галактику безпечною для проживання і процвітання вашого народу. Однак секрети підпросторового розколу, що привів сюди вашу расу, ще не розкриті, а кожен день, що минає, лише наближає Дарлоків до неминучого краху у тому просторі. Залишається лише ж варто сподіватися, що цей секрет не пішов в могилу з тими, кого ви знищили...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Перша фаза завершена, настав час справжнього випробування...#Це перша справжня перемога для Дарлоків! Коли ваш народ потрапив у цей простір, він здався вам чужим та небезпечним. Але ж ви знайшли у собі сміливість об'єднати свій народ та освоїти таємниці цієї галактики й безпечний перехід свого народу до цього простору. У цій галактиці ви знайшли, як ворогів, так і союзників.# Разом зі своїми союзниками, ви долали ворогів і отримували перемогу за перемогою, які створювали вам репутацію великого лідера. Тепер ви розділяєте галактику з друзями, яких ви здобували у битвах. Ви знаєте, що ви напевно допоможете їм у лиху, так само, як і вони вам. І коли ваш народ безпечно перетне простір, коли ваша справжня імперія відродиться, лише ті, хто довів свою вірність вашій справі, зможуть жити у всесвіті, який, безсумнівно, стане вашим...
GAME_OVER_COUNCIL_LOSS2           | Ваші плани провалилися, а ваш пошук під загрозою...#Ваші плани були розкриті перед усією Галактикою - результат вашої довіри уродженцям цього простору. Та ця довіра була невиправдана - ви очікували підтримку і допомогу в завершенні вашого пошуку, у рятуванні усієї вашої раси. Але ж ви бачили лише палкі очі своїх ворогів, які бачили в вас загрозу. Формування Нової Республіки нарешті знищило ваші плани. Тепер, коли інші раси обрали [leader_race4] правителем Галактики, навіть існування Дарлоків під загрозою.#Ваша надія врятувати тих, хто знаходиться в рідному просторі гасне з кожним днем. Можливо, спроба повстання проти Нової Республіки дала б вам ту владу, до якої ви так прагнули, але можливо і те, що вона привела б вас до повного знищення тих небагатьох Дарлоків цього простору. Тепер треба лише сподіватися на милосердя [leader_race_plural2]. Але ж час покаже чи правильне рішення ви прийняли...
GAME_OVER_REBELLION_LOSS2         | Як кінець вашого пошуку, так і кінець вашого народу...#Фортуна ніколи не сприяла вашому народові, починаючи з моменту вашого приходу в цей простір. Вона не сприяла вам, коли ваші технології з іншого простору не функціювали. Та вона не сприяла вам, коли уродженці цього простору голосували проти вашого очолення Нової Республіки. Навіть зараз, після всього цього, у кінці путі, коли на кону стояло вже не керівництво галактикою, а виживання усієї раси, вона підвела вас.#Дарлоки були завзяті, сильні та рішучі, але їхніх найкращих зусиль та готовності перемогти будь-якими необхідними засобами просто не вистачило, щоб забезпечити їм перемогу проти величезної могутності армій Нової Республіки. Але ж ваша хоробрість безсумнівно була гідна. Чи запам'ятають це ваші вороги? Чи розповідять про це наступному поколінню? Або воно просто зникне подібно руїнах вашої цивілізації?
GAME_OVER_REBELLION_WIN2          | Перша фаза завершена, настав час справжнього випробування...#Тепер нарешті ці неповноцінні дурні побачили вашу силу! Даремно ваші вороги прагнули перешкодити вам у прагненні звільнити ваших родичів від їхньої остаточної загибелі в іншому просторі, використовуючи всі можливі трюки, щоб перешкодити вам. Від погроз до шпигунства і навіть відкритої агресії. Але ж їхнє бажання перешкодити вам досягти своєї мети було найбільш помітно, коли вони проголосували проти вашого очолення Нової Республіки, попри те, що ви були найдостойнішим для цього. Ви не мали ніякого вибору і тому показали їм ту лють, яка привела ваш народ до панування в іншому просторі.#Тепер ця Галактика ваша і, хоч часу до повного знищення Дарлоків рідного простору майже не має, не має й тих, хто заважатиме вам у пошуку. Тепер ці дурні побачать справжню міць об'єднаних Дарлоків!.. Чи, побачили б, якби були ті, хто залишився живим...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Перша фаза закінчена, настав час справжнього випробування...#З самого початку ви розуміли, що жителі цієї галактики ніколи не довірятимуть вам очолювати єдиний альянс космічних імперій. Безчесні та недовірливі, уродженці цього простору зробили все можливе, щоб зірвати ваші плани, та тому радісно проголосували проти вас, коли почалося формування Нової Республіки. Але ж ви мудрий і хитрий Дарлок, і ви побачили той страх, який змушував їх діяти проти вас. Саме тому ви будували відносини з тими, хто достойний стояти поруч із вами, а коли настав час голосувати, ці злодії вважали, що вони вже перемогли, але ж лише потрапили в ту пастку, яку ви так довго і старанно готували для них.#Тепер, після перемоги над тими, хто вважав себе кращими за вас, ви перебуваєте в оточенні тих, кому можете довіряти й з ким Дарлоки розділять цей новий простір. Доля галактики тепер у ваших руках, та ви можете мирно шукати спосіб переселення Дарлоків рідного простору. А якщо ті, кого ви вибрали товаришами, перешкоджатимуть вам досягти своїх цілей, ви будете діяти рішуче і без сумнівів.
