// race-specific variables (must start with _)
_empire                           | Конклав Саакра, Конклав Рептаран, Конклав Сауран, Конклав Раптаран, Конклав Рептолан
_empire2                          | Конклава Саакра, Конклава Рептаран, Конклава Сауран, Конклава Раптаран, Конклава Рептолан
_empire3                          | Конклаву Саакра, Конклаву Рептаран, Конклаву Сауран, Конклаву Раптаран, Конклаву Рептолан
_empire4                          | Конклав Саакра, Конклав Рептаран, Конклав Сауран, Конклав Раптаран, Конклав Рептолан
_empire5                          | Конклавом Саакра, Конклавом Рептаран, Конклавом Сауран, Конклавом Раптаран, Конклавом Рептолан
_race                             | Саакра, Рептаран, Сауран, Раптаран, Рептолан
_race2                            | Саакра, Рептарана, Саурана, Раптарана, Рептолана
_race3                            | Саакра, Рептарану, Саурану, Раптарану, Рептолану
_race4                            | Саакра, Рептарана, Саурана, Раптарана, Рептолана
_race5                            | Саакра, Рептараном, Саураном, Раптараном, Рептоланом
_race7                            | Саакра, Рептаране, Сауране, Раптаране, Рептолане
_race_plural                      | Саакра, Рептарани, Саурани, Раптарани, Рептолани
_race_plural2                     | Саакра, Рептаран, Сауран, Раптаран, Рептолан
_race_plural3                     | Саакра, Рептаранам, Сауранам, Раптаранам, Рептоланам
_race_plural4                     | Саакра, Рептаран, Сауран, Раптаран, Рептолан
_race_plural5                     | Саакра, Рептаранами, Сауранами, Раптаранами, Рептоланами
_race_plural7                     | Саакра, Рептаране, Сауране, Раптаране, Рептолане
_title                            | Прем'єр-магістр
_title3                           | Прем'єр-магістру
_title7                           | Прем'єр-магістре
_nameTitle                        | Прем'єр-магістр

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Радник Саакра
MAIN_ADVISOR_BUTTON_OK            | Сховати
