// race-specific variables (must start with _)
_empire                    | Bulrathi Imperium, Bearathi Imperium, Ursinathi Imperium
_race                      | Bulrathi, Bearathi, Ursinathi

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Berater
MAIN_ADVISOR_BUTTON_OK     | Entlassen
MAIN_ADVISOR_SCOUT         | Meister, wir haben unsere zwei Scoutschiffe und das Kolonieschiff fertig zum Abflug. Wir sollten jetzt mit dem Erkunden und Kolonisieren beginnen.
MAIN_ADVISOR_TRANSPORT     | Die Welt %1, wurde zu unserem Imperium hinzugefügt! Gibt den befehl und wir senden sofort Transporte.
MAIN_ADVISOR_DIPLOMACY     | Eine fremde Spezies hat Kontakt mit unserem Imperium aufgenommen, Meister. Ob wir sie als Freund oder Feind behandeln liegt alleine in Eurer Macht.
MAIN_ADVISOR_SHIP_ENGINE   | Unsere Wissenschaftler haben die Grenzen der Wissenschaft verschoben und einen neuen Antrieb entwickelt. Sie warten auf Eure Entscheidung ob ein Schiffdesign verbessert wird.
MAIN_ADVISOR_RALLY_POINTS  | Eine glorreiche Schlacht erwartet uns! Richte für die neuen Schiffe Wegpunkte ein, um unsere Flotte zusammenzustellen, wo Du sie benötigst.
MAIN_ADVISOR_MISSILE_BASES | Unsere kolonien erwarten Ihren Befehl, Meister, um mit dem Bau der Raketenbasen zu Ihrer Verteidigung zu beginnen.
MAIN_ADVISOR_SHIP_WEAPON   | Unsere Wissenschaftler haben neue Waffen für unsere Flotte entwickelt! Besuche den Schiffdesigner, um diese neue todbringenden Waffen in Schiffe einzusetzen.
MAIN_ADVISOR_COUNCIL       | Die Repräsentanten für den ersten Galaktischen Rat werden bald zusammentreffen, Meister.Unsere Diplomaten werden Ihrem Wort folgen, um sicherzustellen, dass Euer Wille durchgesetzt wird. 

