// race-specific variables (must start with _)
_empire                    | Mrrshan Clans, Prrshan Clans, Meowshan Clans
_race                      | Mrrshan, Prrshan, Meowshan

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Berater
MAIN_ADVISOR_BUTTON_OK     | Entlassen
MAIN_ADVISOR_SCOUT         | Ah-ha! Unsere erste Flotte ist fertig, mein Khan! Last uns Welten mit neuen Feinden finden, die Reichtümer haben, die wir uns aneignen können.
MAIN_ADVISOR_TRANSPORT     | Wir haben ein neues Jagdfeld auf %1. Je mehr Bevölkerung mit Transporten ankommen, desto schneller können wir alles wertvolle dieser Welt sammeln.
MAIN_ADVISOR_DIPLOMACY     | Wir haben eine neue Spezies kontaktiert. Werden sie sich als mächtige Gegner herausstellen oder können wir sie plündern?
MAIN_ADVISOR_SHIP_ENGINE   | Wir haben einen Weg gefunden, unseren Antrieb zu verbessern und unser Schiffe schneller zu machen. wenn wir das in unser Schiffsgesign einbauen, werden unsere Raubzüge deutlich mehr abwerfen!
MAIN_ADVISOR_RALLY_POINTS  | Mein Khan! Ein Krieg ist ausgebrochen! Die Clans haben sich unter Ihnen gesammelt und will den gemeinsamen Feind bekämpfen. Wo sollen sich die Routen treffen, damit wir gemeinsam in den Krieg ziehen können?
MAIN_ADVISOR_MISSILE_BASES | Die äußeren Welten sind verwundbar. Lasst uns Raketenbasen bauen, um zu verhindern, dass diese in unserem Besitz bleiben.
MAIN_ADVISOR_SHIP_WEAPON   | Wir haben einen Weg gefunden, eine bessere Waffe zu entwickeln. Einmal in unseren Flottendesign, wird sie sicherlich Schneisen in die feindlichen Linien schlagen.
MAIN_ADVISOR_COUNCIL       | Ein Treffen der mächtigen Zivilisationen wirft seine Schatten voraus. Allerdings wird es eine diplomatische Übung anstatt einer Kriegsübung. Eine merkwürdige Art für so etwas, aber wir sollten an diesem "Galaktischen Rat” teilnehmen...


