// race-specific variables (must start with _)
_empire                    | Δημοκρατία των Ψυχικέαν, Δημοκρατία των Μυαλομέαν, Δημοκρατία των Ψυχωμέαν
_race                      | Ψυχικέαν, Μυαλομέαν, Ψυχωμέαν

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Υψηλότατε Σύμβουλε, ο εξερευνητικός μας στόλος είναι έτοιμος. Θα το θεωρούσες συνετό να βρούμε κάποιον νέο κόσμο και να ιδρύσουμε μια αποικία εκεί σύντομα?
MAIN_ADVISOR_TRANSPORT     | Η νέα μας αποικία ιδρύθηκε. Το συμβούλιο συσκέπτεται για το πόσους αποίκους να στείλουμε με μεταγωγικό, και το αν θα έπρεπε καν να στείλουμε.
MAIN_ADVISOR_DIPLOMACY     | Από τις εσχατιές του διαστήματος, ένας νέος πολιτισμός προέβαλλε! Προσεύχομαι να προτιμούν την ειρηνική συνύπαρξη αντί να δείξουν εχθρική στάση. 
MAIN_ADVISOR_SHIP_ENGINE   | Επιστήμονες μας προέβησαν σε σταθερή τεχνολογική αναβάθμιση των διαστρικών κινητήρων. Ομιλητές βρίσκονται τώρα ενώπιον του Συμβουλίου προσφέροντας τις εισηγήσεις τους για να χρησιμοποιηθούν καλύτερα. 
MAIN_ADVISOR_RALLY_POINTS  | Είναι δυστυχές, αλλά η Δημοκρατία μας τώρα βρίσκεται εν μέσω πολέμου. Το συμβούλιο πρέπει να αποφασίσει για σημείο συγκέντρωσης στόλων ώστε οι στόλοι μας να σιγουρέψουν ότι οι πολίτες παραμένουν ασφαλείς.
MAIN_ADVISOR_MISSILE_BASES | Αντί να συγκεντρώσουμε στόλους για μάχη, μπορούμε να κατασκευάσουμε πυραυλικές βάσεις στις αποικίες μας. Το Συμβούλιο επιθυμεί να ακούσει τις σκέψεις σου για το ποιοί κόσμοι θα ωφελούνταν περισσότερο. 
MAIN_ADVISOR_SHIP_WEAPON   | Το Συμβούλιο βρίσκεται εν μέσω έντονης συζήτησης σχετικά με τα νέα σχέδια οπλικών συστημάτων. Μερικοί επιθυμούν να τα καταστρέψουμε αμέσως, αλλά θα μπορούσαμε να αναβαθμίσουμε τα σκάφη μας με αυτά ως προληπτικό μέτρο.
MAIN_ADVISOR_COUNCIL       | Σύντομα θα τελεστεί μια χαρούμενη συνάντηση των σπουδαιότερων και ισχυρότερων ηγετών του Γαλαξία. Καλό θα ήταν να λάβουμε μέρος σε αυτό το Γαλαξιακό Συμβούλιο και να ακούσουμε τη σοφία των ουράνιων γειτόνων μας.



