// race-specific variables (must start with _)
_empire                    | Κονκλάβιο των Σάκκρα, Κονκλάβιο των Ερπετάρα, Κονκλάβιο των Σαυριάρα
_race                      | Σάκκρα, Ερπετάρα, Σαυριάρα

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Μπορούμε να αρχίσουμε την τελειοποίηση περιβάλλοντος σε κόσμους και εκτός του δικού μας. Πρωτομάγιστρε, στείλε ανιχνευτικά και αποικιστικό σκάφος σε κάποιο κοντινό πλανήτη, σύντομα.
MAIN_ADVISOR_TRANSPORT     | Ιδρύσαμε την πρώτη μας αποικία σε έναν εντελώς νέο κόσμο. Στείλε κάποιο μεταγωγικό, θα πολλαπλασιάσουμε τους κατοίκους και θα ξεκλειδώσουμε τα μυστήρια του %1 ακόμη πιο γρήγορα! 
MAIN_ADVISOR_DIPLOMACY     | Μιά φυλή ικανή για διαστρικά ταξίδια ήρθε σε επαφή με το Κονκλάβιο. Ας αρχίσουμε διάλογο για να δούμε πόσο καλά μεταχειρίζονται τους κόσμους τους. Μετά, θα ξέρουμε πως αντιμετωπίζονται.
MAIN_ADVISOR_SHIP_ENGINE   | Σχεδιάσαμε κινητήρες σκαφών πολύ αποδοτικότερους από αυτούς που χρησιμοποιούμε. Ας τους ενσωματώσουμε σε νέους τύπους σκαφών όσο συντομότερα γίνεται. 
MAIN_ADVISOR_RALLY_POINTS  | Οι γείτονες μας φαίνεται να μας θεωρούν…δυσάρεστους. Αν χρησιμοποιήσουμε σημεία συγκέντρωσης κατευθύνοντας τα σκάφη μας θα αποτρέψουμε ζημιές στους όμορφους νέους κόσμους μας. 
MAIN_ADVISOR_MISSILE_BASES | Πονώ ακόμη και στη σκέψη του να βεβηλώσουμε τους κόσμους μας έτσι, αλλά μπορεί να διατεθεί χώρος για πυραυλικές βάσεις ώστε να τους προστατέψουμε από χειρότερες, απεχθείς ζημιές. 
MAIN_ADVISOR_SHIP_WEAPON   | Υπήρξε μια ανακάλυψη σχετικά με καλύτερους τρόπους να βλάψουμε εχθρικά σκάφη. Πρωτομάγιστρε, προτείνω, να εφαρμόσουμε αυτή την τεχνολογία σε κάθε νέο σκάφος που φτιάχνουμε εφεξής. 
MAIN_ADVISOR_COUNCIL       | Θα γίνει συνάντηση γνωστή ως “Γαλαξιακό Συμβούλιο” στην οποία μάλλον θα παρευρεθούν όλα τα ανεπτυγμένα είδη. Ευκαιρία να διαπιστώσουμε ποιοί θα εναντιώνονταν σε…επέκταση του Κονκλάβιου!
