// race-specific variables (must start with _)
_empire                    | La Souveraineté alkarie, La Souveraineté aviari, La Souveraineté cluckari
_race                      | Alkari, Aviari, Cluckari

// Advisor text
MAIN_ADVISOR_TITLE         | Conseiller %1
MAIN_ADVISOR_BUTTON_OK     | Remercier
MAIN_ADVISOR_SCOUT         | Mon seigneur, nos éclaireurs se tiennent prêt pour découvrir un nouveau monde que notre vaisseau colonie puisse intégrer à notre nuée afin d'ajouter le territoire à notre illustre souveraineté. 
MAIN_ADVISOR_TRANSPORT     | Un nouveau monde porte notre étendard mais il grandit à un rythme limité. Envoyer un transport à la colonie lui permettra de croître à un rythme beaucoup plus rapide. 
MAIN_ADVISOR_DIPLOMACY     | Une autre civilisation spatiale s'est révélée! Nos diplomates vont se conformer au décorum approprié en votre nom et noter soigneusement si elle répond de la même façon. 
MAIN_ADVISOR_SHIP_ENGINE   | Nos plus grands cerveaux ont développé un nouveau type de moteur plus efficace. Ils souhaitent que vous révisiez les modèles de vaisseaux actuels pour décider de la meilleure façon d'intégrer les nouveaux moteurs à notre flotte. 
MAIN_ADVISOR_RALLY_POINTS  | Notre ère de paix ne pourra pas se poursuivre pendant qu'une race indigne fait la guerre à notre glorieux empire. Les 33 Familles se tiennent unies avec vous et rassembleront leurs flottes à tout endroit où vous les appellerez. 
MAIN_ADVISOR_MISSILE_BASES | Avec nos flottes souveraines engagées en combat, nos mondes extérieurs demeurent vulnérables aux attaques ennemies. Nous pouvons commencer la construction de bases de missiles défensives sur n'importe quel monde que vous désirez.
MAIN_ADVISOR_SHIP_WEAPON   | Nos chercheurs ont fait une percée en armement de vaisseau. Les flottes peuvent être équipées de ces dispositifs technologiques dévastateurs à n'importe quel moment.
MAIN_ADVISOR_COUNCIL       | Le Conseil Galactique se réunira bientôt et notre présence sera sans doute grandement désirée. Nos diplomates prendront cette occasion pour s'assurer que toutes les décisions favoriseront le bien de la souveraineté. 


