// race-specific variables (must start with _)
_empire                    | L'Empire bulrathi, L'Empire bearathi, L'Empire ursinathi
_race                      | Bulrathi, Bearathi, Ursinathi

// Advisor text
MAIN_ADVISOR_TITLE         | Conseiller %1
MAIN_ADVISOR_BUTTON_OK     | Remercier
MAIN_ADVISOR_SCOUT         | Maître, nous avons préparé nos deux éclaireurs et un vaisseau colonie pour le départ. Nous débuterons l'exploration et la colonisation d'un système voisin sur vos ordres.
MAIN_ADVISOR_TRANSPORT     | Le monde du système %1 a été ajouté à notre empire! Donnez l'ordre et nous commencerons l'envoi de transports immédiatement.
MAIN_ADVISOR_DIPLOMACY     | Une race étrangère est entrée en contact avec notre empire, Maître. Que nous les traitions en ami ou en ennemi est une décision qui vous revient entièrement.
MAIN_ADVISOR_SHIP_ENGINE   | Nos scientifiques continuent de repousser les limites de la technologie en améliorant, cette fois, la vitesse de nos moteurs. Ils attendent votre décision sur la mise-à-jour de nos modèles de vaisseau.
MAIN_ADVISOR_RALLY_POINTS  | Une bataille glorieuse nous attend! Dirigez nos vaisseaux nouvellement construits grâce à des points de rassemblement où vous désirez assembler nos flottes.
MAIN_ADVISOR_MISSILE_BASES | Nos colonies attendent vos ordres, Maître, afin de commencer la construction de bases de missiles pour aider à leur défense contre des attaques ennemies.
MAIN_ADVISOR_SHIP_WEAPON   | Nos chercheurs ont conçu de nouvelles armes dévastatrices pour nos flottes. Révisez nos modèles de vaisseau à votre guise, Maître, afin de choisir la façon dont nos ennemis tomberont face à notre écrasante puissance.
MAIN_ADVISOR_COUNCIL       | Des représentants du premier Conseil Galactique se réuniront bientôt, Maître. Nos diplomates suivront vos instructions pour s'assurer que les décisions du Conseil s'aligne avec votre volonté. 

