// race-specific variables (must start with _)
_empire                    | Les Darloks, Les Sarloks, Les Spyloks
_race                      | Darlok, Sarlok, Spylok

// Advisor text
MAIN_ADVISOR_TITLE         | Conseiller %1
MAIN_ADVISOR_BUTTON_OK     | Remercier
MAIN_ADVISOR_SCOUT         | Nous avons terminé la construction d'une paire d'éclaireur et d'un vaisseau colonie. Espérons que les réponses que nous cherchons se présenteront sur un monde voisin...
MAIN_ADVISOR_TRANSPORT     | Aucune réponse trouvée sur la planète %1. Nous devrions continuer à y faire croître notre nombre en envoyant tout transport que nous avons en réserve...
MAIN_ADVISOR_DIPLOMACY     | Des représentants d'un peuple natif de ce plan se sont présentés. Nous devons faire tout ce que nous pouvons pour apprendre toute réponse qu'ils détiennent...
MAIN_ADVISOR_SHIP_ENGINE   | Nous avons découvert une façon de produire des moteurs plus efficaces. Nous devons arriver à un consensus sur la meilleure façon de mettre à jour nos modèles de vaisseau afin d'intégrer cette nouvelle technologie...
MAIN_ADVISOR_RALLY_POINTS  | Un conflit s'est déclaré! Nos installations de production peuvent rassembler les vaisseaux nouvellement construits autour d'un seul monde et y former une flotte pour nous défendre contre les agresseurs...
MAIN_ADVISOR_MISSILE_BASES | Nous avons perdu beaucoup trop en venant vers cet univers pour accepter encore d'autres pertes. Permettez à nos colonies de se protéger des ennemis en construisant autant de bases de missiles défensives que possible...
MAIN_ADVISOR_SHIP_WEAPON   | Nous avons découvert une nouvelle technologie qui améliore les capacités offensives de nos vaisseaux. Nous devons à nouveau décider comment mettre à jour nos modèles de vaisseau afin d'en tirer profit aussitôt que possible...
MAIN_ADVISOR_COUNCIL       | Des rumeurs courent au sujet d'un rassemblement appelé le Conseil Galactique qui devrait avoir lieu bientôt. Nos espions espèrent en profiter pour amasser tous les renseignements qu'ils pourront. Le futur de notre race en dépend!


