# key                   , filename                           , gain (0 to 100), playtype


# Ambience
IntroAmbience           , data/sounds/opening.wav           , 100            , L
CouncilAmbience         , data/sounds/council_vote.wav      , 100            , L
ExploreAmbience         , data/sounds/map_explore.wav       , 50             , C
ContactAmbience         , data/sounds/map_contact.wav       , 50             , C
WarAmbience             , data/sounds/map_war.wav           , 50             , C
FinalWarAmbience        , data/sounds/map_finalwar.wav      , 50             , C
ResearchAmbience        , data/sounds/tech.wav              , 100            , L
NewsAmbience            , data/sounds/gnn.wav               , 100            , L
GroundCombatAmbience    , data/sounds/combat_ground.wav     , 100            , L
VictoryAmbience         , data/sounds/victory.wav           , 100            , L
DefeatAmbience          , data/sounds/defeat.wav            , 100            , L
ShipCombatAmbience      , data/sounds/combat_space.wav      , 50             , L
ShipCombatIntro         , data/sounds/combat_open.wav       , 100            ,

#Dipomacy Themes
ThemeAlkari             , data/sounds/theme_alkari.wav       , 100            , L
ThemeBulrathi           , data/sounds/theme_bulrathi.wav     , 100            , L
ThemeDarlok             , data/sounds/theme_darlok.wav       , 100            , L
ThemeHuman              , data/sounds/theme_human.wav        , 100            , L            
ThemeKlackon            , data/sounds/theme_klackon.wav      , 100            , L
ThemeMeklar             , data/sounds/theme_meklar.wav       , 100            , L
ThemeMrrshan            , data/sounds/theme_mrrshan.wav      , 100            , L
ThemePsilon             , data/sounds/theme_psilon.wav       , 100            , L
ThemeSakkra             , data/sounds/theme_sakkra.wav       , 100            , L
ThemeSilicoid           , data/sounds/theme_silicoid.wav     , 100            , L
