// Total # categories. MUST BE FIRST

// please note that techs with a lvl=0 are default technologies that cannot be seen by 
// the player and MUST not be removed since they are assumed to always be present. 
// They should always be free=1. 

// All techs with free=1 are given to players at startup

// COMPUTER TECHS
cat:   0
// tech: lvl, TechType,     seq#,  free?, Image, Sound
tech:  0, BattleComputer,        0, 1, ,
tech:  0, ECMJammer,             0, 1, ,
tech:  0, BattleComputer,        1, 1, ,
tech:  1, Scanner,               0, 1, ,
tech:  2, ECMJammer,             1, 0, TECH_ECM_JAMMER_01,
tech:  4, Scanner,               1, 0, TECH_SCANNER_1,
tech:  5, BattleComputer,        2, 0, TECH_BATTLE_COMPUTER_02,
tech:  7, ECMJammer,             2, 0, TECH_ECM_JAMMER_02,
tech:  8, RoboticControls,       0, 0, TECH_ROBOTIC_CONTROLS_3,
tech: 10, BattleComputer,        3, 0, TECH_BATTLE_COMPUTER_03,
tech: 12, ECMJammer,             3, 0, TECH_ECM_JAMMER_03,
tech: 13, Scanner,               2, 0, TECH_SCANNER_2,
tech: 15, BattleComputer,        4, 0, TECH_BATTLE_COMPUTER_04,
tech: 17, ECMJammer,             4, 0, TECH_ECM_JAMMER_04,
tech: 18, RoboticControls,       1, 0, TECH_ROBOTIC_CONTROLS_4,
tech: 20, BattleComputer,        5, 0, TECH_BATTLE_COMPUTER_05,
tech: 22, ECMJammer,             5, 0, TECH_ECM_JAMMER_05,
tech: 23, Scanner,               3, 0, TECH_SCANNER_3,
tech: 25, BattleComputer,        6, 0, TECH_BATTLE_COMPUTER_06,
tech: 27, ECMJammer,             6, 0, TECH_ECM_JAMMER_06,
tech: 28, RoboticControls,       2, 0, TECH_ROBOTIC_CONTROLS_5,
tech: 30, BattleComputer,        7, 0, TECH_BATTLE_COMPUTER_07,
tech: 32, ECMJammer,             7, 0, TECH_ECM_JAMMER_07,
tech: 34, HyperspaceComm,        0, 0, TECH_HYPERSPACE_COMM,
tech: 35, BattleComputer,        8, 0, TECH_BATTLE_COMPUTER_08,
tech: 37, ECMJammer,             8, 0, TECH_ECM_JAMMER_08,
tech: 38, RoboticControls,       3, 0, TECH_ROBOTIC_CONTROLS_6,
tech: 40, BattleComputer,        9, 0, TECH_BATTLE_COMPUTER_09,
tech: 42, ECMJammer,             9, 0, TECH_ECM_JAMMER_09,
tech: 45, BattleComputer,       10, 0, TECH_BATTLE_COMPUTER_10,
tech: 46, BeamFocus,             1, 0, TECH_ORACLE_INTERFACE,
tech: 47, ECMJammer,            10, 0, TECH_ECM_JAMMER_10,
tech: 48, RoboticControls,       4, 0, TECH_ROBOTIC_CONTROLS_7,
tech: 49, ShipNullifier,         0, 0, TECH_TECH_NULLIFIER,
tech: 50, BattleComputer,       11, 0, TECH_BATTLE_COMPUTER_11,
tech: 55, FutureComputer,        0, 0, TECH_FUTURE_COMPUTER_01,
tech: 60, FutureComputer,        1, 0, TECH_FUTURE_COMPUTER_02,
tech: 65, FutureComputer,        2, 0, TECH_FUTURE_COMPUTER_03,
tech: 70, FutureComputer,        3, 0, TECH_FUTURE_COMPUTER_04,
tech: 75, FutureComputer,        4, 0, TECH_FUTURE_COMPUTER_05,
tech: 80, FutureComputer,        5, 0, TECH_FUTURE_COMPUTER_06,
tech: 85, FutureComputer,        6, 0, TECH_FUTURE_COMPUTER_07,
tech: 90, FutureComputer,        7, 0, TECH_FUTURE_COMPUTER_08,
tech: 95, FutureComputer,        8, 0, TECH_FUTURE_COMPUTER_09,
tech:100, FutureComputer,        9, 0, TECH_FUTURE_COMPUTER_10,

// CONSTRUCTION TECHS
cat:   1
tech:  0, BattleSuit,            0, 1, ,
tech:  1, Armor,                 0, 1, ,
tech:  1, ReserveFuelRange,      0, 1, ,
tech:  3, ImprovedIndustrial,    0, 0, TECH_IMPR_INDUSTRY_9,
tech:  5, IndustrialWaste,       0, 0, TECH_WASTE_REDUCTION_80,
tech:  8, ImprovedIndustrial,    1, 0, TECH_IMPR_INDUSTRY_8,
tech: 10, Armor,                 1, 0, TECH_ARMOR_DURALLOY,
tech: 11, BattleSuit,            1, 0, TECH_BATTLE_SUIT,
tech: 13, ImprovedIndustrial,    2, 0, TECH_IMPR_INDUSTRY_7,
tech: 14, AutomatedRepair,       0, 0, TECH_AUTOMATED_REPAIR_1,
tech: 15, IndustrialWaste,       1, 0, TECH_WASTE_REDUCTION_60,
tech: 17, Armor,                 2, 0, TECH_ARMOR_ZORTRIUM,
tech: 18, ImprovedIndustrial,    3, 0, TECH_IMPR_INDUSTRY_6,
tech: 23, ImprovedIndustrial,    4, 0, TECH_IMPR_INDUSTRY_5,
tech: 24, BattleSuit,            2, 0, TECH_ARMORED_EXOSKELETON,
tech: 25, IndustrialWaste,       2, 0, TECH_WASTE_REDUCTION_40,
tech: 26, Armor,                 3, 0, TECH_ARMOR_ANDRIUM,
tech: 28, ImprovedIndustrial,    5, 0, TECH_IMPR_INDUSTRY_4,
tech: 33, ImprovedIndustrial,    6, 0, TECH_IMPR_INDUSTRY_3,
tech: 34, Armor,                 4, 0, TECH_ARMOR_TRITANIUM,
tech: 35, IndustrialWaste,       3, 0, TECH_WASTE_REDUCTION_20,
tech: 36, AutomatedRepair,       1, 0, TECH_AUTOMATED_REPAIR_2,
tech: 38, ImprovedIndustrial,    7, 0, TECH_IMPR_INDUSTRY_2,
tech: 40, BattleSuit,            3, 0, TECH_POWERED_ARMOR,
tech: 42, Armor,                 5, 0, TECH_ARMOR_ADAMANTIUM,
tech: 45, IndustrialWaste,       4, 0, TECH_WASTE_REDUCTION_ELIM,
tech: 50, Armor,                 6, 0, TECH_ARMOR_NEUTRONIUM,
tech: 55, FutureConstruction,    0, 0, TECH_FUTURE_CONSTRUCTION_01,
tech: 60, FutureConstruction,    1, 0, TECH_FUTURE_CONSTRUCTION_02,
tech: 65, FutureConstruction,    2, 0, TECH_FUTURE_CONSTRUCTION_03,
tech: 70, FutureConstruction,    3, 0, TECH_FUTURE_CONSTRUCTION_04,
tech: 75, FutureConstruction,    4, 0, TECH_FUTURE_CONSTRUCTION_05,
tech: 80, FutureConstruction,    5, 0, TECH_FUTURE_CONSTRUCTION_06,
tech: 85, FutureConstruction,    6, 0, TECH_FUTURE_CONSTRUCTION_07,
tech: 90, FutureConstruction,    7, 0, TECH_FUTURE_CONSTRUCTION_08,
tech: 95, FutureConstruction,    8, 0, TECH_FUTURE_CONSTRUCTION_09,
tech:100, FutureConstruction,    9, 0, TECH_FUTURE_CONSTRUCTION_10,

//FORCE FIELD TECHS
cat: 2
tech:  0, PersonalShield,        0, 1, ,
tech:  0, DeflectorShield,       0, 1, ,
tech:  1, DeflectorShield,       1, 0, TECH_DEFLECTOR_SHIELDS_01,
tech:  4, DeflectorShield,       2, 0, TECH_DEFLECTOR_SHIELDS_02,
tech:  8, PersonalShield,        1, 0, TECH_PERSONAL_SHIELD_01,
tech: 10, DeflectorShield,       3, 0, TECH_DEFLECTOR_SHIELDS_03,
tech: 12, PlanetaryShield,       0, 0, TECH_PLANETARY_SHIELD_V,
tech: 14, DeflectorShield,       4, 0, TECH_DEFLECTOR_SHIELDS_04,
tech: 16, Repulsor,              0, 0, TECH_REPULSOR_BEAM,
tech: 20, DeflectorShield,       5, 0, TECH_DEFLECTOR_SHIELDS_05,
tech: 21, PersonalShield,        2, 0, TECH_PERSONAL_SHIELD_02,
tech: 22, PlanetaryShield,       1, 0, TECH_PLANETARY_SHIELD_X,
tech: 24, DeflectorShield,       6, 0, TECH_DEFLECTOR_SHIELDS_06,
tech: 27, Cloaking,              0, 0, TECH_CLOAKING_DEVICE,
tech: 30, DeflectorShield,       7, 0, TECH_DEFLECTOR_SHIELDS_07,
tech: 31, MissileShield,         1, 0, TECH_MISSILE_SHIELD_02,
tech: 32, PlanetaryShield,       2, 0, TECH_PLANETARY_SHIELD_XV,
tech: 34, DeflectorShield,       8, 0, TECH_DEFLECTOR_SHIELDS_09,
tech: 37, StasisField,           0, 0, TECH_STASIS_FIELD,
tech: 38, PersonalShield,        3, 0, TECH_PERSONAL_SHIELD_03,
tech: 40, DeflectorShield,       9, 0, TECH_DEFLECTOR_SHIELDS_11,
tech: 42, PlanetaryShield,       3, 0, TECH_PLANETARY_SHIELD_XX,
tech: 43, BlackHole,             0, 0, TECH_BLACK_HOLE_GENERATOR,
tech: 44, DeflectorShield,      10, 0, TECH_DEFLECTOR_SHIELDS_13,
tech: 46, MissileShield,         2, 0, TECH_MISSILE_SHIELD_03,
tech: 50, DeflectorShield,      11, 0, TECH_DEFLECTOR_SHIELDS_15,
tech: 55, FutureForceField,      0, 0, TECH_FUTURE_FORCE_FIELD_01,
tech: 60, FutureForceField,      1, 0, TECH_FUTURE_FORCE_FIELD_02,
tech: 65, FutureForceField,      2, 0, TECH_FUTURE_FORCE_FIELD_03,
tech: 70, FutureForceField,      3, 0, TECH_FUTURE_FORCE_FIELD_04,
tech: 75, FutureForceField,      4, 0, TECH_FUTURE_FORCE_FIELD_05,
tech: 80, FutureForceField,      5, 0, TECH_FUTURE_FORCE_FIELD_06,
tech: 85, FutureForceField,      6, 0, TECH_FUTURE_FORCE_FIELD_07,
tech: 90, FutureForceField,      7, 0, TECH_FUTURE_FORCE_FIELD_08,
tech: 95, FutureForceField,      8, 0, TECH_FUTURE_FORCE_FIELD_09,
tech:100, FutureForceField,      9, 0, TECH_FUTURE_FORCE_FIELD_10,

//PLANETARY TECHS
cat:  3
tech:  1, ControlEnvironment,    0, 1, ,
tech:  1, EcoRestoration,        0, 1, ,
tech:  2, ImprovedTerraforming,  0, 0, TECH_IMPR_TERRAFORM_10,
tech:  3, ControlEnvironment,    1, 0, TECH_CONTROL_BARREN,
