// race-specific variables (must start with _)
_empire                           | Меклар Доминион, Меканар Доминион, Кибернар Доминион, Диджитар Доминион, Технар Доминион
_race                             | Меклар, Меканар, Кибернар, Диджинар, Технар
_race_plural                      | Меклари, Меканари, Кибернари, Диджинари, Технари
_title                            | Върховен Арбитър
_nameTitle                        | Върховен Арбитър

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Съветник
MAIN_ADVISOR_BUTTON_OK            | Премахни
MAIN_ADVISOR_SCOUT                | Флот, подготвен за проучване и колонизация. Чакаща директива за започване на операции. 
MAIN_ADVISOR_TRANSPORT            | Първа колония, стартирана в света "%1." може да съхранява допълнително население от %2. Можем да транспортираме население %3 за да увеличим продукция. 
MAIN_ADVISOR_DIPLOMACY            | Нов вид открит "%1." Очакване на иснтрукций от Мейнфрейм. 
MAIN_ADVISOR_SHIP_ENGINE          | Изследването на подобрени двигателни възможности е завършено. Посъветвайте се с инженерите как най-добре да внедрите нов дизайн. 
MAIN_ADVISOR_RALLY_POINTS         | Видът "%1" реши да попречи на откриването на протокола за безсмъртие. Създайте сборна точка, за да централизирате флота и да нанесете удар срещу тях. 
MAIN_ADVISOR_MISSILE_BASES        | Искане от военно поделение: изграждане на защитни ракетни бази на повърхността на граничните светове. Това ще даде възможност за защита на световете от нападатели.
MAIN_ADVISOR_SHIP_WEAPON          | Изследването на мощни оръжия е завършено. Посъветвайте се с инженерите как най-добре да внедрите нов дизайн. 
MAIN_ADVISOR_COUNCIL              | Известие за събиране на междузвездни империи с цел провеждане „Галактически съвет“. Ще се изпрати делегация, за да се гарантира, че волята на Мейнфрейм е ясна на всички. 
MAIN_ADVISOR_REBELLION            | Внимание. Вирусна програма, заразява колонията %1. Трябва да започне унищожаването на засегнатия Меклар, за да се осигури сигурност за Доминион.. 
