// race-specific variables (must start with _)
_empire                           | Ханството Мършан, Ханството Пършан, Ханството Мяушан, Ханството Ноктшан, Ханството Писшан
_race                             | Мършан, Пършан, Мяушан, Ноктшан, Писшан
_race_plural                      | Мършани, Пършани, Мяушани, Ноктшани, Писшани
_title                            | Хан
_nameTitle                        | Хан

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Съветник
MAIN_ADVISOR_BUTTON_OK            | Премахни
MAIN_ADVISOR_SCOUT                | А-ха! Първият ни флот е готов! Нека го използваме, за да намерим свят с врагове, които имат много съкровища за вземане.
MAIN_ADVISOR_TRANSPORT            | Заехме нова територия на %1. Колкото повече от нас транспортираме от %3, толкова по-бързо ще намерим плячката, която има този свят.
MAIN_ADVISOR_DIPLOMACY            | Свързахме се с нова извънземна раса! Дали, ще се окажат силни врагове или съкровищата им ще бъдат лесни за събиране?
MAIN_ADVISOR_SHIP_ENGINE          | Намерихме начин да подобрим нашите двигатели и да направим нашите кораби още по-бързи! Ако ги включим в нашите корабни проекти, нашите атаки във вражеските светове ще станат още по-ефективни!
MAIN_ADVISOR_RALLY_POINTS         | Хан! Войната е пред нас! Ханатите ще изпълнят обещанието си да се обединят с вас по това време, така че поставете точка за събиране, за да им кажете къде да изпратят своите флоти!
MAIN_ADVISOR_MISSILE_BASES        | Граничните ни светове са уязвими на вражеска атака! Нека да построим ракетни бази, за да предотвратим падането им в ръцете на врага.
MAIN_ADVISOR_SHIP_WEAPON          | Успяхме да разработим мощни нови оръжия за използване на нашите кораби. Те със сигурност ще предизвикат страх между силите на нашите врагове, веднага щом ги включим в нашите корабни проекти.
MAIN_ADVISOR_COUNCIL              | Съвещание на народите скоро ще ни очаква, но те казват, че това е за дипломация, вместо за война. Странно, нали? И все пак трябва да присъстваме на този „Галактически съвет“, ако не за друго, то за успокояване на по-коварните империи.
MAIN_ADVISOR_REBELLION            | Зле ли се чувствате, Хан? Има бунт на %1 и още не сте наредили да го свалите.
MAIN_ADVISOR_RESIST_COUNCIL       | Мислиха ли, че просто ще ги оставим да сложат този страхлив мир над галактиката? Нека започнем атаките, Хан: хората ни копнеят за някакво съкровище! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Тези бунтарски глупаци отказват нашето управление! Какво казваме в такива случаи? Силните вземат, слабите дават! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Скъпоценните ви съкровища са вече незащитени...#Мълниеносните флоти на похитителите Кханате, които удряха като фантомна мълния, веднъж накараха цели цивилизации да се страхуват да пътуват далеч от дома си. По-време на вашия връх взехте богатството на цели цивилизации и ги добавихте към орди, които съдържаха реликви, обхващащи стотици светове. Но изглежда, че чрез глупост, арогантност, алчност или някаква комбинация от тях, вашите хора най-накрая намериха врагове, които биха се оказали по-силни, отколкото биха могли да се справят. И когато тези врагове предприеха офанзива, вие бяхте безсилни да предотвратите съдбата, която ви сполетя сега.#Самият слух за предстоящата флота на Мършан веднъж предизвика цели звездни системи да се тресат от страх. Сега вашите хора са изтрити от тази галактика, оставайки само като призрачни истории, за да изплашат децата на победителите, за да се държат по-добре. И вашите скъпоценни съкровища, взети от толкова много светове, са откраднати и поставени в богати домове и музеи: сега реликви от далечното минало, точно като вашите хора...
GAME_OVER_MILITARY_WIN2           | Съкровищата на тази галактика са ваши за вземане!#През тази нощ цялата повърхност на вашия роден свят изригва с рев в чест на върховната победа на вашия народ. Защото тази нощ е първата от новата ера, където ханатите Мършан доминират над галактиката. Това, което някога започна като прости набези за плячка и известност, в крайна сметка се превърна в широкомащабна кампания, обхващаща планети, звездни системи и в крайна сметка цялата известна галактика. Въпреки всички шансове и срещу всички претенденти, всяка друга империя е паднала под тежестта на вашата непреодолима свирепост и мощ.#С по-слабите съперници, които падат един по един пред вас, вашите хора не виждаха нужда от съюзници. Избягвайки политическите заплитания и ужасната прокоба на дипломацията, вие взехте последната от крепостите, които се изправиха срещу вас, и плячката от хиляди светове сега е ваша за отнемане. И когато тази галактика ви е дала всичко, което има, горко на онези, които живеят в звездите още по-далеч. Те ще треперят при вашето идване и плячката им също ще бъде ваша, по какъвто и да е начин...
