// race-specific variables (must start with _)
_empire                           | Република Псайлон, Република Менталон, Република Псайкон, Република Кереброн, Република Невралон
_race                             | Псайлон, Менталон, Псайкон, Кереброн, Невралон
_race_plural                      | Псайлони, Менталони, Псайкони, Кереброни, Невралони
_title                            | Върховен Администратор
_nameTitle                        | Върховен Администратор 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Съветник
MAIN_ADVISOR_BUTTON_OK            | Отмени
MAIN_ADVISOR_SCOUT                | Върховен съветник, нашият изследователски флот е готов. Бихте ли сметнали за разумно да намерим нов свят и да създадем селище там скоро?
MAIN_ADVISOR_TRANSPORT            | Създадена е новата ни колония. Сега съветът обсъжда колко от нашите хора трябва да изпратим там с колониален кораб, ако въобще трябва да изпратим някой.
MAIN_ADVISOR_DIPLOMACY            | От дълбините на космоса се появи изцяло нова цивилизация! Надявам се да предпочетат мирно съжителство пред насилие. 
MAIN_ADVISOR_SHIP_ENGINE          | Нашите учени поддържат непрекъснат напредък в технологията на нашите звездни двигатели. Представителите сега са пред съвета и имат предложения как най-добре да се използват.
MAIN_ADVISOR_RALLY_POINTS         | Жалко е, но Републиката сега се оказва в разгара на войната. Съветът трябва да вземе решение за събиране на нашите флоти, за да гарантира, че нашите колонисти ще останат в безопасност.
MAIN_ADVISOR_MISSILE_BASES        | Вместо да натрупваме военни флоти, можем да изградим защитни ракетни бази на нашите колонии, за да ги предпазим от нашествие. Съветът желае да чуе вашето мнение за това кои светове биха били най-добре обслужвани от присъствието на тези бази. 
MAIN_ADVISOR_SHIP_WEAPON          | Съветът води разгорещен дебат относно най-новия дизайн на корабните оръжия. Някои желаят оръжията да бъдат унищожени незабавно, но ние може да пожелаем да променим дизайна на кораба си като чисто превантивна мярка.
MAIN_ADVISOR_COUNCIL              | Скоро ще има среща между най-големите и мощни народи на галактиката. Трябва да присъстваме на този галактически съвет и да чуем мъдростта на нашите небесни съседи.
MAIN_ADVISOR_RESIST_COUNCIL       | Натъжава ме, че въпреки нашите усилия, се стигна до тази война, но ако единствената алтернатива е да се подчиним на този военен съвет, не виждам друг избор за нашите хора! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Това не ви ли натъжава, когато виждате как другите яростно отхвърлят мира? Бъдете силен, Върховен съветник: това ще бъде последната война, която тази галактика е виждала.
MAIN_ADVISOR_REBELLION            | Озадачаващо е, че населението на %1 избра да се разправя по този начин. Съветът ви освобождава от другите си длъжности, за да се справите с проблема незабавно.


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Републиката лежи в разруха...#Веднъж вашите хора мечтаеха за обединена галактика, която не искаше нищо повече от просперитет и спокойно съжителство за всички. Но горчивата истина на реалността даде да се разбере, че не всички споделят вашата мечта, а враговете със силна невъобразима насочват усилията си към насилствено завоевание. Манипулирайки желанията на вашите хора, за да предотвратят опозицията ви, те използваха своите бойни машини, за да нанесат един опустошителен удар след друг, а вие в крайна сметка бяхте безсилни да се защитите срещу тях.#Във войната загубихте последната следа от Републиката. Ако хората ви бяха по-малко склонни да позволят на съперниците да ги надминат във военна сила, щеше ли съдбата ви да е различна в крайна сметка? Докато враговете ви разбиват входа в крепостта, в която сте направили последната си позиция, последните ви мисли стават мрачни, тъй като осъзнавате, че никога няма да разберете отговора...
GAME_OVER_MILITARY_WIN2           | Най-после мир, но на каква цена...#Платена е ужасна цена за постигане на мечтите на Републиката. Тъй като вашите небесни съседи станаха насилствени и безкомпромисни, вие бяхте принудени да избирате между безопасността на вашите хора и пълното унищожение. Чрез многобройни дебати в сенатните камари вие направихте ужасен избор: да заведете флота си в огъня на войната и да се молите хората ви да оцелеят. Резултатът беше горчив: макар вашите хора да излязоха победители, те го направиха с цената на целия друг интелигентен живот в галактиката.#Тъй като последните остатъци от конфликт отекваха в тишината на космоса, тишината обхваща галактиката като нова ера на мира е на път да започне. Хората на република Псилон, разпръснати в множество светове, всички гледат заедно към небето в края на тази последна голяма война, но не се чуват аплодисменти или звуци на празненство. Голяма скръб обхваща сърцето ви в този час, защото осъзнавате, че просто галактиката никога повече няма да познае ужасите на войната, нито ще познае радостите от многообразието, което носи самият живот...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Най-после мир, но на каква цена...#Докато вашите хора разпространяват вашето послание за мир из галактиката, вие срещнахте многобройни раси, които се вслушаха в посланията, които вашите дипломати им донесоха. Въпреки че някои посрещнаха вашите предложения с измама и насилие, имаше и такива, които изслушаха искрено и навреме дойдоха да споделят вашите виждания. Тези които чуха вашите призиви, избраха да застанат като ваши съюзници в тази битка и заедно преживяхте бурята на голяма война. Въпреки че вашите хора бяха принудени да действат срещу своите най-свещени и ценни принципи, в крайна сметка победата беше постигната и сега вашите съюзници могат да споделят плодовете на просперитета, който само мирът може да донесе.#Въпреки че има огромна скръб в заличаването на живи цивилизации, знаете в сърцето си, че е било необходимо да достигнете тази последна глава от историята на вашия народ: последната велика война, която тази галактика някога ще знае, е приключила и най-после може да царува мир . Дали мирът ще продължи вечно или не, зависи от решението на съюзниците, които сте създали по пътя си...
GAME_OVER_COUNCIL_LOSS2           | Най-после мир, но на каква цена...#Сега най-накрая идва истинският тест за вашата сила. Галактическият съвет е изявил волята си и въпреки непоколебимото ви желание мир да бъде водещата сила в галактиката, Господарят на Новата република все пак няма да бъде Псилон. Въпреки че в камарите на сената бушуваха яростни дебати, вие успяхте да постигнете евентуално споразумение. Решихте да отстъпите и да оставите победата на %7. Но всички ваши отношения с тази империя са ви показали, че те са опасна раса и няма съмнение в съзнанието ви, че лидерът на Новата република несъмнено ще поддържа мира, стига да отговаря на целите им.#И какво ще направи републиката, ако войната се обади? Какво ще направи, ако съществуването му вече не отговаря на дизайна на галактиката, на която сега се подчинява? Това ще бъде път, по който вашите хора ще трябва да вървят в бъдеще и те ще гледат на решението, което сте взели сега, или на това, което поддържа мечтата за мир жива, или на това, което запечатва съдбата им завинаги...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Мир, но не такъв какъвто искахте...#Решението на Галактическия съвет да гласува срещу вас като техен лидер не е срещнато с ентусиазъм сред пилоните. За щастие, вие бяхте достатъчно мъдри, за да предвидите този резултат и маневрирате ловко, за да избегнете далеч по-лош изход от този, който се появи: вместо вас расата%6 сега ще определи бъдещето на цялата галактика.#Докато се издигате заедно с слънцето Ментар в първия ден от този нов галактически ред, вие все още имате чувство на триумф за начина, по който успяхте да насочите тези събития, за да постигнете този край. Вашите съюзници са се оказали достатъчно мъдри за тази задача и макар че никой не може да претендира толкова много за мир, колкото вашите хора, вие се надявате, че по някакъв начин можете да се доверите на% 8, за да видите постигнатата ви крайна цел...
GAME_OVER_REBELLION_LOSS2         | Републиката лежи в разруха...#Изглежда, че самата съдба е тръгнала да ви осуети още в началото на вашето пътуване. Трудностите, произтичащи от поддържането на космическа империя и постоянната заплаха от война от странни извънземни сили, се оказаха достатъчно трудни за управление, но последният процес, който просто не можеше да бъде пренебрегнат, дойде, когато Галактическият съвет избра да инсталира расата %6 за господарят на новата република. Знаейки, че галактиката не може да остане в мир с толкова насилствен народ, който да я води, вашите хора стоят обединени в ходенето по път, който в крайна сметка ще бъде гибел.#Вашите хора са имали интелект, несравним с други видове и са били в състояние да създадат чудесна и опустошителна технология, която да им помогне във войната. Въпреки това, комбинираната мощ на Новата република беше твърде много, за да можете да я преодолеете и в крайна сметка вашите флоти изгоряха, тъй като превъзходните номера се оказаха повече от съвпадение за превъзходна технология. Сега, когато колелото на съдбата се подготвя да направи последния си завой, последните остатъци от Република Псилон са на път да бъдат изхвърлени от галактиката. Жертва в това, което ще бъде първата от многото войни, които идват, и без вашите хора да ги насочат към по-светло бъдеще, едва ли тази галактика някога ще знае ползите, които истинският мир може да донесе...
GAME_OVER_REBELLION_WIN2          | Най-после мир, но на каква цена...#Вече я няма краткотрайната Нова република! Въпреки че всичките ви усилия се опитваха да направят империите на тази галактика да съществуват в хармония, самите империи се оказаха най-голямата пречка за постигането на вашата мечта за мир за всички. Посрещайки многобройните ви опити за дипломация с неверие и предателство, вашите съперници ви подкрепиха в позиция, за която имаше само едно средство за бягство. Сега техните флоти, техните светове и самите империи лежат в разруха, тъй като дори комбинираната сила на цялата галактика не можеше да се сравнява с превъзходния интелект и технологичната мощ на пилоните.#И все пак сърцето ви тежи и с право. Въпреки че вашите историци без съмнение ще бъдат любезни в отношението си към вашите бивши врагове, това не променя факта, че всяка от тези уникални култури е унищожена, без възможност да добавят каквото могат към оформянето на бъдещето. Поне, Върховен съветник, вашите хора са в безопасност и мирът ще бъде единственото вероизповедание, което ще спазва бъдещето. Това е, разбира се, докато обхватът ви се простира отвъд тази галактика и до всичко, което ви очаква в неизвестното отвъд...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Най-после мир, но на каква цена...#Отдавна вашите хора гледаха към нощното небе с надежда в сърцата си и цялата ви раса беше обединена в стремежа за създаване на масивна космическа империя, която съществуваше хармонично със своите небесни съседи. С приключването на кампанията си установихте, че мечтата ви е изпълнена по начин, който не сте очаквали и се опитахте усилено да предотвратите. Въпреки че беше създадена нова галактическа федерация на империите, решението да назначите насилствен лидер на най-високата им позиция ви принуди да се борите за мир за последен път. Смело застанахте срещу прилива и обявихте война срещу този деспотичен режим и въпреки всички шансове успяхте да успеете.#Съдбата ви се усмихна в това начинание, тъй като другите бяха вдъхновени от вашата смелост и спокойствието, което обещахте при победата и в тази битка не сте стояли сами. Вашите съюзници се бориха със свирепостта, която изнервяше ревността си, и заедно успяхте да смачкате онези, които щяха да потопят галактиката във вечност на войната и да донесат мир в тази галактика веднъж завинаги. Новата ера започва сега, Върховен съветник, и вие само се надявате тези, които са избрали да я построят с вас, да изберат да се придържат към нейните принципи, докато вашите хора...
