// race-specific variables (must start with _)
_empire                           | Конклавът Сакра, Конклавът Рептара, Конклавът Саура, Конклавът Раптора, Конклавът Тирана
_race                             | Сакра, Рептара, Саура, Раптора, Тирана
_race_plural                      | Сакри, Рептари, Саури, Раптори, Тирани
_title                            | Главен Магистър
_nameTitle                        | Главен Магистър

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Съветник
MAIN_ADVISOR_BUTTON_OK            | Премахни
MAIN_ADVISOR_SCOUT                | Най-накрая можем да започнем да усъвършенстваме средите на светове извън нашия собствен. Главен магистър, изпратете нашите разузнавачи и колониални кораби до близката планета възможно най-скоро!
MAIN_ADVISOR_TRANSPORT            | Създадохме първата си колония в изцяло нов свят. След като изпратите транспорт, ние можем да увеличим нашето население там и да разгадаем загадките на %1 още по-бързо!
MAIN_ADVISOR_DIPLOMACY            | Друга раса, способна да пътува в космоса, е осъществила контакт с Конклава. Нека да започнем диалог с тях и да видим колко добре те се отнасят към собствените си светове. Тогава ще знаем как най-добре да се справим с тях.
MAIN_ADVISOR_SHIP_ENGINE          | Проектирахме корабни двигатели, много по-ефективни от тези, които използваме в момента. Нека разработим нов дизайн на кораба веднага щом сме в състояние. 
MAIN_ADVISOR_RALLY_POINTS         | Съседите ни изглеждат... неприятни. Можем да използваме сборни точки, за да насочим нашите кораби към едно място, за да предотвратим всякакви щети по нашите красиви нови светове.
MAIN_ADVISOR_MISSILE_BASES        | Болно ми е дори да обмисля оскверняване на нашите светове по такъв начин, но все пак можем да отделим място за защитни ракетни бази, за да предпазим световете ни от още по-грозни щети.
MAIN_ADVISOR_SHIP_WEAPON          | Има откритие относно по-ефективни начини за повреждане на вражеските кораби. Трябва да приложим тази технология към всички нови кораби, които произвеждаме. 
MAIN_ADVISOR_COUNCIL              | Има среща, наречена „Галактически съвет“, на която вероятно ще присъстват всички напреднали цивилизации. Това може да бъде възможност за нас да видим кои империи ще се противопоставят на разширяването на Конклава.
MAIN_ADVISOR_REBELLION            | Магистър! Има бунт на %1. Не знам каква е причината, но знам какво трябва да бъде решението!
MAIN_ADVISOR_RESIST_COUNCIL       | Няма начин да приемем това без съпротива, нали? Време е да се борим със съвета, нали?! Ако за момент спрем мислим какво ще се случи с тези бедни планети!
MAIN_ADVISOR_COUNCIL_RESISTED     | Тези отвратителни бунтовници! Ние едва ги толерирахме дори да съществуват, а сега те искат да се разбунтуват? Дайте ни заповеди да ги унищожим: имаме много от техните светове биха ни били от полза и без това! 
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Съдбата на световете е запечатана...#Някога сте били надеждата на безбройните планети, осеяли галактиката. Тръгвайки от родния си свят, единствената ви грижа беше да научите и усъвършенствате уникалната екология на всеки свят, който може да се намери. С нарастването на вашите знания нараства и пламът на вашите хора и за известно време изглежда, че споделената мечта на всички Сакра ще се сбъдне. Ако не алчността на враговете ви да разширят своите територии колкото е възможно повече.#Вашите колонии са завладени до последната планета: любящатата грижа, която сте положили на вашите биоми, е потъпкана от кръвожадността на вашите междузвездни съперници. Докато последната от вашите планети изгаря около вас със смърт и неизбежност, вие мимолетно се замисляте дали глупаците, които ви надвиват, някога ще се научат да живеят в хармония със световете, които те толкова лекомислено приемат за свои. Но вероятният отговор на този въпрос, Премиерен Магистре, е твърде ужасен, за да се спрем на него...
GAME_OVER_MILITARY_WIN2           | Спасението на световете е най-после в ръцете ни!#Победа! Победа за вашия народ и за всички планети в галактиката! Още от деня, когато конклавът Сакра излезе от техния свят в търсене на нова среда за защитаване, вие знаехте, че желанието на вашите хора няма да бъде отказано. Погрешно е било вашите съперници да не виждат мъдростта в приоритизирането на безопасността на екологичните системи на тази галактика, но за тях е било глупост, неразбираема, да мислят, че тяхната сила е достатъчна, за да ви попречи да постигнете целта си.#Вземане на най-простия и най- директен курс на действие, вие избрахте да премахнете заплахата, която вашите съперници представляваха, и по този начин предотвратиха всякаква ненужна беда за биосферите, която те така съсипаха за собствените си немощни цели! Сега имате безкрайно време да поправите щетите, причинени от тях, без никой да остане да ви възпрепятства. Вашите хора ще текат като река из цялата галактика, като всяка планета ще бъде приток, който чака да се развива в мир под ръката ви. Насладете се на плодовете на вашия труд! И се наслаждавайте завинаги на предизвикателствата, които очакват Сакрас по пътя напред!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Спасението на световете скоро ще бъде в ръцете ни...#Макар и не финалът, който се надявахте да постигнете, няма как да не се усмихнете, докато се наслаждавате на добре спечелената си победа. Знаете, че в тази галактика ще има други раси, които просто ще гледат на своите планети като на ресурси, които трябва да бъдат използвани, пренебрегвайки мъдростта на вашата философия. Вашите хора бяха готови да се борят, за да защитят святостта на всяка планета, независимо колко малка е. Сега враговете ви са се превърнали в прах и вие знаете, че деликатните баланси на всяка екологична система никога няма да бъдат подчинени на прищевките на онези, които биха им причинили вреда.#За ваша голяма изненада, те дори ви помогнаха във войната, несъмнено защитавайки собствените си интереси, но помагайки ви да защитите и вашите. Сега можете да работите за излекуване на щетите, причинени от многобройни и непочтени войни. С течение на времето можете само да се надявате да убедите приятелите си да го направят и със своите светове...
GAME_OVER_COUNCIL_LOSS2           | Съдбата на световете е запечатана...#Машинациите на съперничещите империи се оказаха вашето унищожаване. Докато пътувахте из галактиката, като на свой ред усъвършенствахте екосистемите на всяка планета, беше неизбежно да откриете светове, заявени от други, които да останат извън обсега ви. Чрез дипломация и политическо маневриране със сигурност бихте могли да спечелите способността да спасявате тези планетни среди, въпреки че те останаха под хватката на извънземни сили. Или поне така си мислехте.#Сега Галактическият съвет се разпусна и реформира като Нова република под ръководството на%7. Неуспехът ви да убедите останалите империи да видят мъдростта по вашите пътища несъмнено ще струва както на вас, така и на световете, които отчаяно се опитвахте да спасите. Можете само да се надявате, че новото ръководство ще бъде милостиво към вашите хора. Не само заради тях, но и заради всяка една планета в галактиката...
GAME_OVER_REBELLION_LOSS2         | Съдбата на световете е запечатана...#Вашата упоритост и идеализъм ви доведоха до този край. Враговете ви са смазали армиите ви и са направили на вашите светове неща, немислими досега. Веднъж си помислихте, че като играете техните политически игри, ще можете да повлияете на мисленето им, за да отговарят по-добре на вашата философия. Но когато злата раса%6 пое контрола над Новата република, знаехте, че мирните преговори ще станат невъзможни. Винаги шампиони по екологично равновесие, хората ви се заклеха да вземат оръжие, за да предотвратят малтретирането на планетите в галактиката, и бяха готови да умрат за това. Вашите хора бяха принудени да се оттеглят, за да изкарат последната си позиция в последната си крепост и там умряха в защита на вашите идеали. Като най-горещите вярващи в екологичното равновесие, изчезването ви ще се окаже не само голяма загуба за вашите хора, но и за цялата галактика...
GAME_OVER_REBELLION_WIN2          | Спасението на световете е най-после в ръцете ни!#Това е часът на конклава Сакра! Вие сте победили всяко препятствие, с което сте се сблъсквали при изграждането на вашата междузвездна империя, нито веднъж не забравяйки, че първото ви задължение е било да защитите естественото великолепие на световете, за които сте заявили, че са ваши. Всеки, който се осмели да се противопостави на вас, бързо му беше показана грешката на техните пътища и когато расата%6 получи ръководството на Новата република, решихте да покажете на цялата галактика колко грешен беше нейният избор по възможно най-директния начин.#И сега няма врагове, които да се противопоставят на волята ви, и няма живи глупаци, способни да навредят на планетите, които защитавате. Вашите хора могат да отделят време за намиране на решения за екологичните пъзели, които всеки свят ще им представи. И когато на цялата галактика е дадена съвършена естествена хармония под ръководството ви, вие ще бъдете готови да вземете и световете на други галактики под ваша защита. Да живее конклавът Сакра!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Спасението на световете е най-после в ръцете ни...#Да се ​​каже, че тази последователност на събитията е изненада, е грубо подценяване. Първоначално по-мирните решения на междуимперските спорове изглеждаха най-добрият начин за предотвратяване на ненужни щети върху чудните планети, населяващи галактиката. Но нямаше как да се поеме по друг път, освен война, когато Галактическият съвет избра друг, който да ръководи Новата република. Издигнахте знамето на бунта срещу цялата система и матрицата беше хвърлена за съдбата на галактиката.#Неочаквано намерихте други, готови да се заемат с вашата кауза и да освободят галактиката от това, което със сигурност би било потисничество. Онези, които се биеха на ваша страна, се оказаха също толкова упорити, колкото и вашите хора и заедно сте унищожили фалшивия ред и сте инсталирали нова система за галактиката, в която благосъстоянието на всички планети ще бъде най-голямата цел. И ако вашите съюзници решат да се отклонят от тази посока в бъдеще, вие притежавате знанията как да противодействате ефективно на техните тактики и стратегии. Наистина е радостна сигурност да знаете, че всяка планета ще разгърне своя потенциал под ваше ръководство, независимо от всичко...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Спасението на всички светове скоро ще бъде под наш контрол...#Наистина това беше най-добрият резултат, на който можехте да се надявате предвид обстоятелствата. Още от първите си срещи с другите империи знаехте, че различните им недостатъци ще им попречат да видят истината във вашата философия. Вместо това решихте да изградите мостове между хората си и расата%6 и да им помогнете да ги задвижите до позиция, която би била изгодна за вашите проекти. Сега те седят на трона на Новата република и като най-близките си довереници Саккра са готови да извлекат ползите от своето възнесение.#Ще продължите да влияете на вашите съюзници%6, за да осигурите святостта на всеки свят в Републиката. Ако една по-упорита империя се стреми да възпрепятства волята ви, имате пълното доверие, че ще можете да се справите с тях. Това е силата на връзката ви с расата%6 и така ще осигурите планетите да останат в безопасност и завинаги...
GAME_OVER_COUNCIL_WIN2            | Спасението на световете е най-после в ръцете ни!#Постигнахте победата, за която хората ви копнееха, откакто за първи път пътуват в космоса. Сблъскването със странни светове с чудна екология се оказа възнаграждаващо предизвикателство за хората, където да насочат ума си. Навигирането в дипломатически въпроси обаче се оказа далеч по-деликатна задача за вас да настроите интелекта си да решава. Но в крайна сметка вие стоите на най-висшата авторитетна позиция: вие и вие сами сега стоите като Господар на новата република.#Използвайки вашата позиция, вие ще гарантирате, че всяка планета в галактиката се третира с уважение и грижа. Ако някоя империя в републиката се противопостави на тази желязна диктума в преследването на собствените си оскъдни цели, сега имате на разположение галактическа армия, за да сте сигурни, че ще се върнат на опашката. И когато тези светове бъдат усъвършенствани, пред вас е бъдещето на изследване на други галактики и пренасяне на вашето благословено ръководство в световете, които се намират в тях. Вървете сега, Велики магистър, защото вашата работа едва сега започна...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Спасението на световете е в ръцете ни!#Макар и не без неуспехи, вашата воля сега остава безспорна за това как да се оформи галактиката. Не беше малък подвиг за вас да станете господар на новата република, но успяхте да се адаптирате към съперничещите империи и техните собствени фини машинации. Когато някои заблудени членове на републиката решиха да подбудят бунт, за да запазят свободата да унищожат техните светове, отне малко време, за да стигнете до заключението, че те трябва да бъдат унищожени.#Сега бунтовниците са подадени и са превърнати в пример за онези, които ще се опитат да поставят личните си желания пред благосъстоянието на своите планети. Бунтовниците успяха да станат полезни по начин, който не сте предвидили: с останалата част от галактиката, обединени срещу общ враг, те вече са по-податливи на вашата воля, докато се наслаждават на блясъка на споделена победа. Това е моментът да продължите напред с плановете си и дали подчинените на вас дори са способни да разберат защо, в сърцето си знаете, че самата галактика ще ви благодари...
