

//
// Armor techs
// 
ARMOR_0_NAME     | Титанова броня
ARMOR_0_ITEM     | Титан
ARMOR_0_BRIEF    | Кръвни Точки %1
ARMOR_0_DETAIL   | Начална бронева технология. Без бонуси за корабна броня или земни атаки.

ARMOR_1_NAME     | Дуралоева броня
ARMOR_1_ITEM     | Дуралой
ARMOR_1_BRIEF    | Кръвни Точки %1
ARMOR_1_DETAIL   | Увеличава кръвните точки на кораби и транспорти с 50%. Личната бойна броня също е подобрена, добавяйки 5 към всички наземни атаки.

ARMOR_2_NAME     | Зортриум броня
ARMOR_2_ITEM     | Зортрий
ARMOR_2_BRIEF    | Кръвни Точки %1
ARMOR_2_DETAIL   | Увеличава кръвните точки на кораби и транспорти със 100%. Личната бойна броня също е подобрена, добавяйки 10 към всички наземни атаки.

ARMOR_3_NAME     | Андриумна броня
ARMOR_3_ITEM     | Андриум
ARMOR_3_BRIEF    | Кръвни Точки %1
ARMOR_3_DETAIL   | Увеличава кръвните точки на кораби и транспорти със 150%. Личната бойна броня също е подобрена, добавяйки 15 към всички наземни атаки.

ARMOR_4_NAME     | Тританиева броня
ARMOR_4_ITEM     | Тритании
ARMOR_4_BRIEF    | Кръвни Точки %1
ARMOR_4_DETAIL   | Увеличава кръвните точки на кораби и транспорти със 200%. Личната бойна броня също е подобрена, добавяйки 20 към всички наземни атаки.

ARMOR_5_NAME     | Адамантиева броня
ARMOR_5_ITEM     | Адамантиум
ARMOR_5_BRIEF    | Кръвни Точки %1
ARMOR_5_DETAIL   | Увеличава кръвните точки на кораби и транспорти със 250%. Личната бойна броня също е подобрена, добавяйки 25 към всички наземни атаки.

ARMOR_6_NAME     | Неутрониева броня
ARMOR_6_ITEM     | Неутроний
ARMOR_6_BRIEF    | Кръвни Точки %1
ARMOR_6_DETAIL   | Увеличава кръвните точки на кораби и транспорти със 300%. Личната бойна броня също е подобрена, добавяйки 30 към всички наземни атаки.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Атмосферно тераформиране
ATMOSPHERE_0_DETAIL    | Преобразува враждебна среда в нормална среда за цена от 150 BCs.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Автоматизирана система за ремонт
AUTOREPAIR_0_BRIEF     | Лекува 15% от кръвните точки на кораба на ход
AUTOREPAIR_0_DETAIL    | Неразрушените кораби могат да ремонтират до 15% от общите си кръвни точки в края на всеки ход.

AUTOREPAIR_1_NAME      | Усъвършенстван контрол на щетите
AUTOREPAIR_1_BRIEF     | Лекува 30% от кръвните точки на кораба на ход
AUTOREPAIR_1_DETAIL    | Неразрушените кораби могат да ремонтират до 30% от общите си кръвни точки в края на всеки ход.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Ниво на Атака 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Боен Компютър Марк I
COMPUTER_1_ITEM    | Марк I
COMPUTER_1_BRIEF   | Ниво на Атака I
COMPUTER_1_DETAIL  | Увеличава точността на оръжието до ниво 1.

COMPUTER_2_NAME    | Боен Компютър Марк II
COMPUTER_2_ITEM    | Марк II
COMPUTER_2_BRIEF   | Ниво на Атака II
COMPUTER_2_DETAIL  | Увеличава точността на оръжието до ниво 2.

COMPUTER_3_NAME    | Боен Компютър Марк III
COMPUTER_3_ITEM    | Марк III
COMPUTER_3_BRIEF   | Ниво на Атака III
COMPUTER_3_DETAIL  | Увеличава точността на оръжието до ниво 3.

COMPUTER_4_NAME    | Боен Компютър Марк IV
COMPUTER_4_ITEM    | Марк IV
COMPUTER_4_BRIEF   | Ниво на Атака IV
COMPUTER_4_DETAIL  | Увеличава точността на оръжието до ниво 4.

COMPUTER_5_NAME    | Боен Компютър Марк V
COMPUTER_5_ITEM    | Марк V
COMPUTER_5_BRIEF   | Ниво на Атака V
COMPUTER_5_DETAIL  | Увеличава точността на оръжието до ниво 5.

COMPUTER_6_NAME    | Боен Компютър Марк VI
COMPUTER_6_ITEM    | Марк VI
COMPUTER_6_BRIEF   | Ниво на Атака VI
COMPUTER_6_DETAIL  |Увеличава точността на оръжието до ниво 6.

COMPUTER_7_NAME    | Боен Компютър Марк VII
COMPUTER_7_ITEM    | Марк VII
COMPUTER_7_BRIEF   | Ниво на Атака VII
COMPUTER_7_DETAIL  | Увеличава точността на оръжието до ниво 7.

COMPUTER_8_NAME    | Боен Компютър Марк VIII
COMPUTER_8_ITEM    | Марк VIII
COMPUTER_8_BRIEF   | Ниво на Атака VIII
COMPUTER_8_DETAIL  | Увеличава точността на оръжието до ниво 8.

COMPUTER_9_NAME    | Боен Компютър Марк IX
COMPUTER_9_ITEM    | Марк IX
COMPUTER_9_BRIEF   | Ниво на Атака IX
COMPUTER_9_DETAIL  | Увеличава точността на оръжието до ниво 9.

COMPUTER_10_NAME   | Боен Компютър Марк X
COMPUTER_10_ITEM   | Марк X
COMPUTER_10_BRIEF  | Ниво на Атака X
COMPUTER_10_DETAIL | Увеличава точността на оръжието до ниво 10.

COMPUTER_11_NAME   | Боен Компютър Марк XI
COMPUTER_11_ITEM   | Марк XI
COMPUTER_11_BRIEF  | Ниво на Атака XI
COMPUTER_11_DETAIL | Увеличава точността на оръжието до ниво 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Броня
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Бойни Униформи
BATTLESUIT_1_DETAIL  | Броня, която не само защитава, но и повишава силата. Добавя 10 към всички наземни бойни ролове.

BATTLESUIT_2_NAME    | Брониран Eкзоскелет
BATTLESUIT_2_DETAIL  | Усъвършенствани мобилни костюми, които не само повишават силата и защитата, но и предлагат ограничен полет за сухопътни войски. Добавя 20 към всички наземни бойни ролoве.

BATTLESUIT_3_NAME    | Мощна броня
BATTLESUIT_3_DETAIL  | Комбинира висока мобилност, полет без гравитация и тежко бронирано покритие, за да образува най-модерната броня, налична за сухопътните войски. Добавя 30 към всички наземни бойни ролове.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Високо-Енергиен Фокус
BEAMFOCUS_0_BRIEF   | Добавя +3 към обхвата на енергийните оръжия
BEAMFOCUS_0_DETAIL  | Увеличава обхвата на стрелба на всички енергийни оръжия с три.

BEAMFOCUS_1_NAME    | Пророчески Интерфейс
BEAMFOCUS_1_BRIEF   | Концентрира лъчеви оръжия, намаля наполовина вражески щитове
BEAMFOCUS_1_DETAIL  | Координира всички атаки на лъчеви оръжия в едновременно изригване на концентриран огън, намалявайки наполовина силата на щита на врага.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Биотоксична Противоотрова
BIOANTIDOTE_0_DETAIL  | Намалява жертвите, взети от биологични оръжия, с 1 милион на атака.

BIOANTIDOTE_1_NAME    | Универсална Противоотрова
BIOANTIDOTE_1_DETAIL  | Намалява жертвите, взети от биологични оръжия, с 2 милиона на атака.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Спори на Смъртта
BIOWEAPON_0_BRIEF    | Биологично Оръжие
BIOWEAPON_0_DETAIL   | Ужасяващи биологични оръжия, способни да намалят максималната планетарна популация с 1 милион на атака.

BIOWEAPON_1_NAME     | Адски Вирус
BIOWEAPON_1_BRIEF    | Биологично Oръжие
BIOWEAPON_1_DETAIL   | Унищожително биологично оръжие, способно да намали популациите на планетите с 2 милиона за атака.

BIOWEAPON_2_NAME     | Био Терминатор
BIOWEAPON_2_BRIEF    | Биологично Оръжие
BIOWEAPON_2_DETAIL   | Апокалиптични Биологични оръжия, способни да намалят популациите на планетите с 3 милиона за атака.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Генератор на Черни Дупки
BLACKHOLE_0_DETAIL   | Създава подкосмическо поле, което изкривява нормалното пространство, създавайки черна дупка, която унищожава 25% до 100% от вражеските кораби или ракетни бази, които са с по-малко от 2% за клас щит.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Ядрена Бомба
BOMB_0_BRIEF    | Само Земни Атаки
BOMB_0_DETAIL   | Бомби, които експлодират за 3-12 точки щета само на земни цели.

BOMB_1_NAME     | Термоядрена Бомба
BOMB_1_BRIEF    | Само Земни Атаки
BOMB_1_DETAIL   | Бомби, които експлодират за 5-20 точки щета само на земни цели.

BOMB_2_NAME     | Бомба Анти-Материя
BOMB_2_BRIEF    | Само Земни Атаки
BOMB_2_DETAIL   | Бомби, които експлодират за 10-40 точки щета само срещу планетни цели.

BOMB_3_NAME     | Омега-V Бомба
BOMB_3_BRIEF    | Само Земни Атаки
BOMB_3_DETAIL   | Бомби, които експлодират за 20-50 точки щета само на земни цели.

BOMB_4_NAME     | Неутрониева Бомба
BOMB_4_BRIEF    | Само Земни Атаки
BOMB_4_DETAIL   | Бомби, които експлодират за 40-70 точки щета само на земни цели.


//
// Cloaking tech
//
CLOAK_0_NAME     | Устройство за Прикриване
CLOAK_0_BRIEF    | Прави Кораба Почти Невидим
CLOAK_0_DETAIL   | Прави кораба почти невидим, докато не атакува, подобрявайки защитата си с +5. Корабите трябва да се покажат, за да атакуват и автоматично ще се оттеглят на всеки ход, в който не атакуват.


//
// Cloning tech
//
CLONE_0_NAME     | Клониране
CLONE_0_DETAIL   | Позволява на биоинженерни колонисти да се отглеждат със скорост 1M на 10 BC.

CLONE_1_NAME     | Разширено Клониране
CLONE_1_DETAIL   | Позволява на биоинженерни колонисти да се отглеждат в размер 1M на 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Бойни Транспортьори
COMBATTRANSPORT_0_DETAIL   | Транспорти, оборудван с тези устройства, имат 50% шанс да се спускат върху вражески повърхности, преди да може да бъдат атакувани от вражески кораби и бази за противоракетна отбрана.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Контролирана Нормалната Околна Среда
CONTROLENV_0_ITEM    | Стандартна Колониална База
CONTROLENV_0_BRIEF   | Позволява Нормално Кацане на Планетите
CONTROLENV_0_DETAIL  | Разрешава колонизацията на стандартни планети.

CONTROLENV_1_NAME    | Контролирана Безплодна Среда
CONTROLENV_1_ITEM    | Безплодна Колониална База
CONTROLENV_1_BRIEF   | Позволява Кацане на Безплодни Планети
CONTROLENV_1_DETAIL  | Разрешава колонизацията на безплодни и по-малко враждебни планети..

CONTROLENV_2_NAME    | Контролирана Тундра Среда
CONTROLENV_2_ITEM    | База на Тундра Колония
CONTROLENV_2_BRIEF   | Позволява Кацане на Тундра Планета
CONTROLENV_2_DETAIL  | Разрешава колонизацията на тундра и по-малко враждебни планети.

CONTROLENV_3_NAME    | Контролирана Мъртва Среда
CONTROLENV_3_ITEM    | База на Мъртва Колониална Среда
CONTROLENV_3_BRIEF   | Позволява Кацане на Планета Мъртва Среда
CONTROLENV_3_DETAIL  | Разрешава колонизацията на мъртви и по-малко враждебни планети.

CONTROLENV_4_NAME    | Контролирана Огнена Среда
CONTROLENV_4_ITEM    | Огнена Колониална База
CONTROLENV_4_BRIEF   | Позволява Кацане на Огнени Планети
CONTROLENV_4_DETAIL  | Разрешава колонизацията на огнени и по-малко враждебни планети.

CONTROLENV_5_NAME    | Контролирана Токсична Среда
CONTROLENV_5_ITEM    | Токсична Колониална База
CONTROLENV_5_BRIEF   | Позволява Кацането на Токсични Планети
CONTROLENV_5_DETAIL  | Позволява колонизация на токсични и по-малко враждебни планети.

CONTROLENV_6_NAME    | Контролирана Облъчена Среда
CONTROLENV_6_ITEM    | Облъчена Колониална База
CONTROLENV_6_BRIEF   | Позволява Кацане на Облъчена Планета
CONTROLENV_6_DETAIL  | Разрешава колонизацията на облъчени и по-малко враждебни планети.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Вид I Дефлекторни Щитове
DEFLECTOR_1_ITEM      | Вид I
DEFLECTOR_1_BRIEF     | Абсорбира 1 ударна точка
DEFLECTOR_1_DETAIL    | Абсорбира 1 ударни точки от всички атаки.

DEFLECTOR_2_NAME      | Вид II Дефлекторни Щитове
DEFLECTOR_2_ITEM      | Вид II
DEFLECTOR_2_BRIEF     | Абсорбира 2 ударни точки
DEFLECTOR_2_DETAIL    | Абсорбира 2 ударни точки от всички атаки.

DEFLECTOR_3_NAME      | Вид III Дефлекторни Щитове
DEFLECTOR_3_ITEM      | Вид III
DEFLECTOR_3_BRIEF     | Абсорбира 3 ударни точки
DEFLECTOR_3_DETAIL    | Абсорбира 3 ударни точки от всички атаки.

DEFLECTOR_4_NAME      | Вид IV Дефлекторни Щитове
DEFLECTOR_4_ITEM      | Вид IV
DEFLECTOR_4_BRIEF     | Абсорбира 4 ударни точки
DEFLECTOR_4_DETAIL    | Абсорбира 4 ударни точки от всички атаки.

DEFLECTOR_5_NAME      | Вид V Дефлекторни Щитове
DEFLECTOR_5_ITEM      | Вид V
DEFLECTOR_5_BRIEF     | Абсорбира 5 ударни точки
DEFLECTOR_5_DETAIL    | Абсорбира 5 ударни точки от всички атаки.

DEFLECTOR_6_NAME      | Вид VI Дефлекторни Щитове
DEFLECTOR_6_ITEM      | Вид VI
DEFLECTOR_6_BRIEF     | Абсорбира 6 ударни точки
DEFLECTOR_6_DETAIL    | Абсорбира 6 ударни точки от всички атаки.

DEFLECTOR_7_NAME      | Вид VII Дефлекторни Щитове
DEFLECTOR_7_ITEM      | Вид VII
DEFLECTOR_7_BRIEF     | Абсорбира 7 ударни точки
DEFLECTOR_7_DETAIL    | Абсорбира 7 ударни точки от всички атаки.

DEFLECTOR_8_NAME      | Вид IX Дефлекторни Щитове
DEFLECTOR_8_ITEM      | Вид IX
DEFLECTOR_8_BRIEF     | Абсорбира 9 ударни точки
DEFLECTOR_8_DETAIL    | Абсорбира 9 ударни точки от всички атаки.

DEFLECTOR_9_NAME      | Вид XI Дефлекторни Щитове
DEFLECTOR_9_ITEM      | Вид XI
DEFLECTOR_9_BRIEF     | Абсорбира 11 ударни точки
DEFLECTOR_9_DETAIL    | Абсорбира 11 ударни точки от всички атаки.

DEFLECTOR_10_NAME     | Вид XIII Дефлекторни Щитове
DEFLECTOR_10_ITEM     | Вид XIII
DEFLECTOR_10_BRIEF    | Абсорбира 13 ударни точки
DEFLECTOR_10_DETAIL   | Абсорбира 13 ударни точки от всички атаки.

DEFLECTOR_11_NAME     | Вид XV Дефлекторни Щитове
DEFLECTOR_11_ITEM     | Вид XV
DEFLECTOR_11_BRIEF    | Абсорбира 15 ударни точки
DEFLECTOR_11_DETAIL   | Абсорбира 15 ударни точки от всички атаки.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Устройство за Изместване
DISPLACEMENT_0_BRIEF  | 1/3 от всички атаки на врага не уцелват
