// race-specific variables (must start with _)
_empire                           | Nazlok, Sarloks, Spyloks, Shadeloks, Draloks
_race                             | Nazlok, Sarlok, Spylok, Shadelok, Dralok
_race_plural                      | Nazlok, Sarloks, Spyloks, Shadeloks, Draloks
_title                            | ruler
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Nazlok Advisor
MAIN_ADVISOR_BUTTON_OK            | Dismiss
MAIN_ADVISOR_SCOUT                | We have finished construction on a pair of scouts and a colony ship. Let us hope the answers we seek present themselves on a nearby world.
MAIN_ADVISOR_TRANSPORT            | No answers found on the planet %1. We should still grow our numbers there by sending any transports we can spare.
MAIN_ADVISOR_DIPLOMACY            | Representatives of a people native to this plane have made themselves known. We must do all we can to learn any answers they possess.
MAIN_ADVISOR_SHIP_ENGINE          | We have uncovered a way to produce more efficient engines. We must reach a consensus on how best to update our ship designs to utilize this new technology.
MAIN_ADVISOR_RALLY_POINTS         | An unavoidable conflict has begun! Our production facilities can direct their newly built ships to rally to a single world and form a fleet there to defend us from the aggressors.
MAIN_ADVISOR_MISSILE_BASES        | We have lost too much in coming to this universe to lose any more now: have our colonies protect themselves from enemies by building as many defensive missile bases as they can.
MAIN_ADVISOR_SHIP_WEAPON          | We've discovered new technology that improves the offensive capabilities of our starships. We must again decide how to update our ship designs to take advantage of this as soon as possible.
MAIN_ADVISOR_COUNCIL              | There are rumors of a gathering known as the Galactic Council which will soon occur. Our spies hope to use it as an opportunity to gather any intelligence they can. The future of our race depends on it!
MAIN_ADVISOR_REBELLION            | Have the people of %1 lost their minds?! They forget that only together can we prevail in this universe! We must make an example of this rebellion immediately!
MAIN_ADVISOR_RESIST_COUNCIL       | Our odds of success here were always known to be slim. Fighting against the Galactic Council and its allies does little to hinder our chances.
MAIN_ADVISOR_COUNCIL_RESISTED     | We have worked for too long to bend these fools to our will! Rebellion against our leadership cannot be tolerated! Destroy them at once!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | The end of your quest, the end of your people...#A tragedy unimaginable has befallen your empire. Once a race desperate to uncover the secrets of the event that flung your forebears from their dying universe into this alien dimension, your civilization lies in total ruin at the feet of denizens far more powerful than you could hope to stand against. If they had but known your plight, they may have been more merciful, perhaps even rendering you aid, or at least more tolerant of the means you used to achieve your ends. Instead you have achieved only the untimely death of your kind as other powers continue their march into whatever the future holds for them.#Alas that the Nazloks should meet this doom! Had you played your hand differently, your people may still be alive and may even have found the key that would allow you to bring the rest of your race into this new, more stable plane. Perhaps, though, your cards could not have been played better: perhaps fate had simply decided to deal you a most unfortunate hand...
GAME_OVER_MILITARY_WIN2           | The first phase finished, the true test begins...#This galaxy is yours! Just as your people dominated the universe they came from, so too have you crushed the feeble opposition in this galaxy and claimed all that it contains as your own. The tactics that you employed proved too much for your foes to overcome, and the stealth and secrecy you employed to gain their secrets proved even more so. Now, as the last strongholds of your enemies fall beneath your might, you look out over the stars that litter what will become the Nazloks' permanent home.#But your work is not yet close to complete. You have learned how to live in this alien dimension and made an entire galaxy safe for your people to inhabit and prosper. However, the secrets of the interdimensional rift that brought your race here in the first place has yet to be uncovered, and every day that passes here means that your home universe comes closer to its inevitable collapse. And should any of the empires you destroyed have had the secret already, your military conquest may yet have proved to be your undoing...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | The first phase finished, the true test begins...#Now is the hour of your first true victory! When your people were thrown into this dimension, they found it frightening, alien, and dangerous. But rather than cower and eke out a living as best they could, they boldly went forward, vowing to master this galaxy's secrets and make it secure to bring over the rest of your people from their dying plane. Along the way, enemies and friends were made, and the stage was set for the greatest challenge your people would ever come to know.#Together with your allies you have succeeded in dismantling those who would oppose your goals and breaking them upon your fleets like the tide breaks against the shore. Now only you and your close friends remain, and through the kinship that can only be gained by sharing in the victory of war, you will happily aid your allies in their burdens as they will aid you in yours. And once your people safely cross dimensions and your true empire is reborn, only those who have proven themselves true to your cause may live in a universe that will doubtlessly be made yours...
