// race-specific variables (must start with _)
_empire                    | Cryslonoid Imperium, Igneoid Imperium, Sedimoid Imperium, Granitoid Imperium, Magmoid Imperium
_race                      | Cryslonoid, Igneoid, Sedimoid, Granitoid, Magmoid
_race_plural               | Cryslonoids, Igneoids, Sedimoids, Granitoids, Magmoids
_title                     | Crystal Emperor
_nameTitle                 | Crystal Emperor 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | Cryslonoid Advisor
MAIN_ADVISOR_BUTTON_OK     | Dismiss
MAIN_ADVISOR_SCOUT         | God-Emperor, your scouts stand prepared to escort the first colony ship to any world you desire! Give the order and see your will be done!
MAIN_ADVISOR_TRANSPORT     | The colony on %1 has been founded in your name, mighty Emperor! If you desire us to send more transports to support your new dominion, say the word and we shall comply!
MAIN_ADVISOR_DIPLOMACY     | God-Emperor! A representative from an alien empire appears before the throne! This may be our eternal enemy revealed! We shall proceed with all due caution!
MAIN_ADVISOR_SHIP_ENGINE   | Your scientists have perfected new ship engine designs! They shall modify your fleets as soon as you deign for them to do so!
MAIN_ADVISOR_RALLY_POINTS  | At last! Our holy war begins, God-Emperor! Command your fleets to rally at any world that you control and they shall bring swift death to our hated foe!
MAIN_ADVISOR_MISSILE_BASES | Your generals believe that building defensive missile bases on our most vulnerable colonies would be a prudent venture! If you concur, God-Emperor, construction shall immediately begin!
MAIN_ADVISOR_SHIP_WEAPON   | God-Emperor! Your scientists present their latest advancement in weapons technology! We shall outfit our fleets with these tools of war, if you but give your command!
MAIN_ADVISOR_COUNCIL       | A meeting of lords known as the Galactic Council will soon be upon us! Our ancient enemy must be concealed among those who gather there! We must expose them so that our noble crusade can truly begin!
MAIN_ADVISOR_REBELLION     | Mighty Emperor! The unthinkable occurs. Our people, doubtless infected by our nefarious Ancient Enemy, rebel against you on %1. We must put an end to this corruption at once!
MAIN_ADVISOR_RESIST_COUNCIL   | The temerity of these fools! God-Emperor, our fleets stand ready! Lead us to victory in this fated battle!
MAIN_ADVISOR_COUNCIL_RESISTED | Of course the children of our enemy could not accept Cryslonoid dominance! Our people are in a frenzy: at last the prophecy will be fulfilled!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
