// race-specific variables (must start with _)
_empire                           | Ursinathi Imperium, Bearathi Imperium, Ursinathi Imperium, Pawrathi Imperium, Grizzlathi Imperium
_race                             | Ursinathi, Bearathi, Ursinathi, Pawrathi, Grizzlathi
_race_plural                      | Ursinathis, Bearathis, Ursinathis, Pawrathis, Grizzlathis
_title                            | Große Hierarchie
_nameTitle                        | Große Hierarch


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Berater
MAIN_ADVISOR_BUTTON_OK            | Abtreten
MAIN_ADVISOR_SCOUT                | Meister, wir haben beide Scouts und ein Kolonieschiff für den Aufbruch vorbereitet. Wir beginnen mit der Erkundung und Kolonisierung eines nahegelegenen Systems unter Ihrem Kommando.
MAIN_ADVISOR_TRANSPORT            | Die Welt %1, die unserem Imperium hinzugefügt wurde! Geben Sie den Befehl, und wir werden sofort mit der Entsendung von Transporten beginnen!
MAIN_ADVISOR_DIPLOMACY            | Eine außerirdische Rasse hat Kontakt mit unserem Imperium aufgenommen, Meister. Ob wir sie als Freund oder Feind behandeln, ist eine Entscheidung, die allein in Eurem Ermessen liegt.
MAIN_ADVISOR_SHIP_ENGINE          | Unsere Wissenschaftler arbeiten weiter daran, die Grenzen der Technologie zu erweitern, dieses Mal durch die Verbesserung der Geschwindigkeit unserer Motoren. Sie warten auf Ihre Entscheidung über aktualisierte Schiffsdesigns.
MAIN_ADVISOR_RALLY_POINTS         | Eine glorreiche Schlacht steht uns bevor! Lenken Sie unsere neu gestalteten Schiffe mit Rally Points, um unsere Flotten dort zu versammeln, wo Sie es wünschen.
MAIN_ADVISOR_MISSILE_BASES        | Unsere Kolonien warten auf Ihr Wort, Meister, um mit dem Bau von Raketenbasen zu beginnen, die sie bei der Verteidigung gegen feindliche Angriffe unterstützen.
MAIN_ADVISOR_SHIP_WEAPON          | Unsere Forscher haben verheerende neue Waffen für unsere Flotten erdacht! Sehen Sie sich unsere Schiffsentwürfe in Ruhe an, Meister, um zu entscheiden, wie unsere Feinde vor unserer überwältigenden Macht fallen werden.
MAIN_ADVISOR_COUNCIL              | Die Repräsentanten für den ersten Galaktischen Rat werden bald zusammenkommen, Meister. Unsere Diplomaten werden Eurer Anweisung folgen, um sicherzustellen, dass die Entscheidungen des Rates mit Eurem Willen übereinstimmen. 
MAIN_ADVISOR_REBELLION            | Es scheint, dass das Volk von %1 beschlossen hat, sich Ihnen offen zu widersetzen, Meister. Es ist an der Zeit, sie daran zu erinnern, warum Ihr der Auserwählte seid, um das Imperium zu führen!
MAIN_ADVISOR_RESIST_COUNCIL       | Nur du darfst auf dem Thron der Galaxis sitzen! Wir werden unseren Blutrausch nicht stillen, bis Ihr Euren rechtmäßigen Platz einnehmt, Meister!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ha ha! Ich frage mich, wie es ist, so töricht zu sein, sich gegen unsere Herrschaft aufzulehnen. Egal, diese kleinen Rebellen werden unter unserem Absatz zermalmt werden!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Die Wut deines Reiches wurde niedergeschlagen.#Die Wut Eures Volkes reichte nicht aus, um die wachsende Flut der fremden Militärmächte aufzuhalten. Obwohl Sie bis zum letzten Soldaten gekämpft haben, ist das Kapitel der Ursinathi in der Geschichte nun zu Ende gegangen. Einst waren Sie der Großhierarch eines Imperiums, Anführer einer stolzen Rasse von kriegerischen Philosophen, die nach den Sternen strebten, um ihren Platz im Universum zu finden und ihren Mut gegen diejenigen zu testen, die es wagten, sich ihnen zu widersetzen. Jetzt sind Sie nur noch ein Name in den Chroniken der Vergangenheit dieser Galaxie, und auch nur dann, wenn die Sieger sich an Sie erinnern. Hätten Sie von dem Ende gewusst, das Ihr Volk auf seiner Reise erwartete, wären Sie vielleicht nicht so eifrig in den Weltraum hinausgestürmt... 
