// race-specific variables (must start with _)
_empire                           | Kholdan Hive, Insecton Hive, Termitton Hive, Arthropon Hive, Coleopteron Hive
_race                             | Kholdan, Insecton, Termitton, Arthropon, Coleopteron
_race_plural                      | Kholdans, Insectons, Termittons, Arthropon, Coleopteron
_title                            | Herrscher
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Entlassen
MAIN_ADVISOR_SCOUT                | Endlich haben meine Schiffe die Fertigstellung erreicht. Ich muss meine Scouts einsetzen, um neue Welten zu finden, auf denen mein Kolonieschiff landen kann.
MAIN_ADVISOR_TRANSPORT            | Ich habe mich auf dieser neuen Welt niedergelassen und muss mehr von meiner Heimat schicken, um sie zu erweitern. Hier gibt es kein neues Leben, und so geht meine Suche weiter.
MAIN_ADVISOR_DIPLOMACY            | Endlich neues Leben! Was für eine seltsame Lebensform, die durch Geräusche und Gesten kommuniziert. Ich muss die diplomatischen und geheimdienstlichen Informationen, die ich über sie weiß, in Betracht ziehen, bevor ich meinen nächsten Schritt mache.
MAIN_ADVISOR_SHIP_ENGINE          | Ich verbessere mich weiter mit dieser Verfeinerung meiner Raumschiffmotoren. Ich muss mir meine Schiffsentwürfe noch einmal ansehen, um sie in meine Flotte zu integrieren.
MAIN_ADVISOR_RALLY_POINTS         | Warum greifen sie mich an? Ich verstehe das nicht. Ich muss einen Versammlungspunkt für meine Schiffe wählen, um mich zu verteidigen, während ich versuche zu verstehen, warum dies geschehen ist.
MAIN_ADVISOR_MISSILE_BASES        | Ich sehe jetzt, dass nicht alles Leben den Segen der Kooperation gelernt hat. Ich muss meine äußeren Welten mit Raketenbasen befestigen, um meine Übernahmen zu sichern.
MAIN_ADVISOR_SHIP_WEAPON          | Ich mache weiter Fortschritte, und meine neue Waffentechnologie wird mir mehr Macht verleihen, sobald ich sie in meine Schiffsdesigns integriere.
MAIN_ADVISOR_COUNCIL              | Aufregung! Ein Treffen vieler Spezies wird bald stattfinden. Welche Lebensformen werden dort versammelt sein? Wenn ich mich bei denen, die ich kenne, in ein besseres Licht rücke, erleichtern sie mir vielleicht den Einstieg in neue Spezies.
MAIN_ADVISOR_REBELLION            | Was ist das? Ich habe auf %1 die Kontrolle über mich verloren. Egal, ich muss einfach dorthin gehen und ihnen zeigen, dass ich das Sagen habe.
MAIN_ADVISOR_RESIST_COUNCIL       | Unmöglich! Dass ein anderer auserwählt wurde, diese einfältigen Tölpel zu regieren, während meine Weisheit ignoriert wird! Aber das macht nichts: Ich werde ihnen allen sofort ein Ende setzen! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Warum sind diese Dummköpfe immer noch so unangenehm? Der Rat gehört mir, die Galaxie gehört mir, und jetzt werden sie ihren Platz in meiner Herrschaft kennenlernen! 

MAIN_SCOUT_TITLE                  | Ich erforsche ein neues Sternensystem
MAIN_COLONIZE_TITLE               | Ich umkreise %1, ein unkolonisiertes System.
MAIN_COLONIZE_ANIMATION_TITLE     | Im Jahr %1, gründe ich eine neue Kolonie.
MAIN_ALERT_SPY_CAPTURED           | Ich habe einen Spion der %1 gefangen genommen und ein Geständnis ihrer %2 Aktivitäten erzwungen.
MAIN_ALERT_TRANSPORTS_KILLED      | Meine Versuche, %2 zu erreichen, wurden von verteidigenden %1-Kräften gestoppt.
MAIN_ALERT_INVADERS_KILLED        | %1 Transporte, die versuchten, in %2 einzudringen, wurden von mir vollständig zerstört.
MAIN_BOMBARD_TITLE                | Ich umkreise eine feindliche %2-Kolonie.

TECH_RESEARCH_COMPUTER            | Ich muss die nächste Computertechnologie auswählen, auf die ich mich konzentrieren möchte.
TECH_RESEARCH_CONSTRUCTION        | Ich muss die nächste Bautechnologie auswählen, auf die ich mich konzentrieren möchte.
TECH_RESEARCH_FORCE_FIELD         | Ich muss die nächste Kraftfeldtechnologie auswählen, auf die ich mich konzentrieren möchte.
TECH_RESEARCH_PLANETOLOGY         | Ich muss die nächste Planetologie-Technologie auswählen, auf die ich mich konzentrieren möchte.
TECH_RESEARCH_PROPULSION          | Ich muss die nächste Antriebstechnologie auswählen, auf die ich mich konzentrieren möchte.
TECH_RESEARCH_WEAPON              | Ich muss die nächste Waffentechnologie auswählen, auf die ich mich konzentrieren möchte.
TECH_DISCOVERY_TITLE              | Ich erreiche einen %2-Durchbruch
TECH_SCOUTED_TITLE                | Während ich die Ruinen von %1 erforsche, entdecke ich eine neue Technologie
TECH_STOLEN_TITLE                 | Ich habe das Forschungszentrum von %1 in %2 infiltriert.
TECH_TRADED_TITLE                 | Ich erwerbe Technologie von %2 Wissenschaftlern
TECH_PLUNDERED_TITLE              | Während ich die Ruinen von %1 plündere, entdecke ich eine neue Technologie
TECH_ALLOCATE_SHIELD              | Soll ich die Verteidigungsratio aller meiner Kolonien erhöhen, um die neuen planetaren Schilde zu bauen?
TECH_ALLOCATE_MISSILE_BASES       | Soll ich die Verteidigungsratio aller meiner Kolonien erhöhen, um meine Raketenbasen aufzurüsten?
