// race-specific variables (must start with _)
_empire                           | Fiershan Clan, Prrshan Clan, Mewshan Clan, Clawshan Clan, Hisshan Clan
_race                             | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_race_plural                      | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_title                            | Khan
_nameTitle                        | Khan

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Berater
MAIN_ADVISOR_BUTTON_OK            | Wegtreten
MAIN_ADVISOR_SCOUT                | Ah-ha! Unsere erste Flotte ist bereit! Benutzen wir sie, um eine Welt mit Feinden zu finden, die viele Schätze für uns bereithalten.
MAIN_ADVISOR_TRANSPORT            | Wir haben neues Gebiet auf %1 eingenommen. Je mehr von uns von %3 transportiert werden, desto schneller finden wir die Beute, die diese Welt hat.
MAIN_ADVISOR_DIPLOMACY            | Wir haben Kontakt mit einer neuen außerirdischen Rasse aufgenommen! Glauben Sie, dass sie sich als starke Feinde erweisen werden, oder werden ihre Schätze leichte Beute sein?
MAIN_ADVISOR_SHIP_ENGINE          | Wir haben eine Möglichkeit gefunden, unsere Motoren zu verbessern und unsere Schiffe noch schneller zu machen! Wenn wir sie in unsere Schiffsdesigns einbauen, werden unsere Raubzüge auf feindliche Welten noch effizienter werden!
MAIN_ADVISOR_RALLY_POINTS         | Khan! Der Krieg ist da! Die Khanate werden ihr Versprechen, sich mit Euch zu vereinigen, zu diesem Zeitpunkt einlösen, also setzt einen Versammlungspunkt, um ihnen zu sagen, wohin sie ihre Flotten schicken sollen!
MAIN_ADVISOR_MISSILE_BASES        | Die Rim-Welten unter unserer Kontrolle sind anfällig für feindliche Angriffe! Errichten wir Raketenbasen, um zu verhindern, dass sie in die Hände des Feindes fallen.
MAIN_ADVISOR_SHIP_WEAPON          | Es ist uns gelungen, mächtige neue Waffen für den Einsatz auf unseren Schiffen zu entwickeln. Diese werden die Streitkräfte unserer Feinde mit Sicherheit in Aufruhr versetzen, sobald wir sie in unsere Schiffskonstruktionen eingebaut haben.
MAIN_ADVISOR_COUNCIL              | Ein Treffen der Völker wird bald stattfinden, aber sie sagen, es ist für die Diplomatie und nicht für den Krieg. Seltsam, nicht wahr? Trotzdem sollten wir diesem "Galaktischen Rat" beiwohnen, wenn auch nur, um die unruhigeren Imperien zu besänftigen.
MAIN_ADVISOR_REBELLION            | Fühlen Sie sich nicht wohl, Khan? Es gibt eine Rebellion auf %1 und Sie haben keine Befehle gegeben, sie niederzuschlagen.
MAIN_ADVISOR_RESIST_COUNCIL       | Dachten die, wir würden uns einfach hinlegen und sie einen feigen Frieden über die Galaxie bringen lassen? Beginnen wir mit den Plünderungen, Khan: Unsere Leute lechzen nach einem Schatz! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Diese Rebellennarren verweigern unser Urteil! Zeigen wir ihnen unser Diktum: Die Starken nehmen, die Schwachen geben! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ihre geschätzten Schätze sind jetzt frei zur Mitnahme... #Die gefürchteten Flotten der Khanate-Raider, die wie Phantomblitze einschlugen, ließen einst ganze Zivilisationen fürchten, sich zu weit von ihrer Heimat zu entfernen. Auf Ihrem Höhepunkt nahmen Sie den Reichtum ganzer Zivilisationen und fügten ihn Horden hinzu, die Relikte enthielten, die Hunderte von Welten umspannten. Aber es scheint, dass Ihr Volk durch Dummheit, Arroganz, Gier oder eine Kombination aus beidem schließlich Feinde fand, die sich als mehr erweisen würden, als sie bewältigen konnten. Und als diese Feinde in die Offensive gingen, waren Sie machtlos, das Schicksal zu verhindern, das Sie nun ereilt hat. Das bloße Gerücht einer bevorstehenden Fiershan-Flotte ließ einst ganze Sternensysteme vor Angst erbeben. Jetzt ist Euer Volk aus dieser Galaxie ausgelöscht und nur noch als Geistergeschichte übrig, um die Kinder der Sieger zu erschrecken, damit sie sich besser benehmen. Und Ihre kostbaren Schätze, die Sie von so vielen Welten gestohlen haben, wurden gestohlen und in wohlhabende Häuser und Museen gebracht: jetzt sind sie Relikte der fernen Vergangenheit, genau wie Ihr Volk...
GAME_OVER_MILITARY_WIN2           | Die Schätze dieser Galaxie gehören Ihnen! #In dieser Nacht bricht die gesamte Oberfläche Ihres Heimatplaneten in Jubel aus, um den überlegenen Sieg Ihres Volkes zu feiern. Denn diese Nacht ist die erste des neuen Zeitalters, in dem die Fiershan-Khanate allein die Galaxie beherrschen. Was einst als einfache Raubzüge für Beute und Ruhm begann, wurde schließlich zu einem groß angelegten Feldzug, der sich über Planeten, Sternensysteme und schließlich die gesamte bekannte Galaxie erstreckte. Allen Widrigkeiten zum Trotz und gegen alle Herausforderer ist jedes andere Imperium unter dem Gewicht Ihrer überwältigenden Grausamkeit und Macht zusammengebrochen: Da die schwächeren Rivalen einer nach dem anderen an Sie fielen, sah Ihr Volk keine Notwendigkeit für Verbündete. Unter Umgehung politischer Verwicklungen und der elenden Plackerei der Diplomatie haben Sie die letzten Festungen eingenommen, die sich Ihnen entgegenstellten, und die Beute von tausend Welten gehört nun Ihnen. Und wenn diese Galaxie Ihnen alles gegeben hat, was sie hat, wehe denen, die in den Sternen noch weiter drüben wohnen. Sie werden vor deinem Kommen erzittern, und ihre Beute wird auch dir gehören, mit allen Mitteln...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Die Beute dieser Galaxie für Sie und Ihre Verbündeten...#Ihre Raubzüge haben endlich glitzernde Früchte von unermesslichem Wert getragen. Schon bei Ihren ersten Ausflügen in die Diplomatie wurde klar, dass Ihre stolze Kultur niemals in der Lage sein würde, friedlich mit denjenigen zu koexistieren, die solche wundersamen Schätze besitzen, ohne die Kraft, sie zu verteidigen. Sie wussten, dass die Kriege unvermeidlich sein würden. Doch überraschenderweise fanden Sie in den Tiefen des Alls andere, die nicht nur die Kraft hatten, ihre eigene Beute zu verteidigen, sondern auch ein Interesse daran, ihre eigenen Kassen aufzubessern... Gemeinsam führten Sie und Ihre Verbündeten Kriege, von denen bis ans Ende der Zeit in Legenden gesprochen wird. Ihr habt Eroberungen und Reichtümer geteilt. Während die Körper eurer gebrechlichen Feinde zerbrochen auf dem Weg in die Zukunft liegen, müsst ihr nur noch die Beute aufteilen und im Rausch des Sieges schwelgen. Aber ein Wort der Warnung, Goldener Khan: Egal, wie standhaft Ihre Verbündeten an Ihrer Seite gekämpft haben, diejenigen mit einem Auge für Gold könnten ihren Blick auf ihre Freunde richten, wenn es keine Feinde mehr gibt, deren Schätze reif für die Übernahme sind...
