

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Panzerung
ARMOR_0_ITEM     | Titanium
ARMOR_0_BRIEF    | Trefferpunkte %1
ARMOR_0_DETAIL   | Anfangspanzerung. Keine Boni auf Schiffspanzerung oder Bodenkämpfe.

ARMOR_1_NAME     | Duralloy Panzerung
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Trefferpunkte %1
ARMOR_1_DETAIL   | Verbessertes Panzermaterial. Verbessert Trefferpunkte bei Schiffen und Transportern um 50%. Bodenkampf um 5 verbessert.

ARMOR_2_NAME     | Zortrium Panzerung
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Trefferpunkte %1
ARMOR_2_DETAIL   | Fortgeschrittenes Panzermaterial. Verbessert Trefferpunkte bei Schiffen und Transportern um 100%. Bodenkampf um 10 verbessert.

ARMOR_3_NAME     | Andrium Panzerung
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Trefferpunkte %1
ARMOR_3_DETAIL   | Gutes Panzermaterial. Verbessert Trefferpunkte bei Schiffen und Transportern um 150%. Bodenkampf um 15 verbessert.

ARMOR_4_NAME     | Tritanium Panzerung
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Trefferpunkte %1
ARMOR_4_DETAIL   | Sehr gutes Panzermaterial. Verbessert Trefferpunkte bei Schiffen und Transportern um 200%. Bodenkampf um 20 verbessert.

ARMOR_5_NAME     | Adamantium Panzerung
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Trefferpunkte %1
ARMOR_5_DETAIL   | Hervorragendes Panzermaterial. Verbessert Trefferpunkte bei Schiffen und Transportern um 250%. Bodenkampf um 25 verbessert.

ARMOR_6_NAME     | Neutronium Panzerung
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Trefferpunkte %1
ARMOR_6_DETAIL   | Ultimative Panzerung. Verbessert Trefferpunkte bei Schiffen und Transportern um 300%. Bodenkampf um 30 verbessert.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Atmosphärisches Terraforming
ATMOSPHERE_0_DETAIL    | Wandelt feindselige Umgebung in eine normale Umgebung für 150 BC.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automatisierte Reperatur
