// race-specific variables (must start with _)
_empire                    | Κυριαρχία των Αλκάρι, Κυριαρχία των Αβιάρι, Κυριαρχία των Κλουκάρι 
_race                      | Αλκάρι, Αβιάρι, Κλουκάρι

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1 
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Άρχοντα μου, τα ανιχνευτικά μας σκάφη περιμένουν έτοιμα για την ανακάλυψη ενός νέου κόσμου που το σκάφος αποικισμού μας θα ενσωματώσει ώστε να τον προσθέσουμε στην ένδοξη μας κυριαρχία. 
MAIN_ADVISOR_TRANSPORT     | Ένας νέος κόσμος φέρει το έμβλημα μας, αλλά μεγαλώνει με συγκρατημένο ρυθμό. Άν αποστείλουμε ένα μεταγωγικό στην αποικία θα της επιτρέψει να αναπτυχθεί ταχύτερα. 
MAIN_ADVISOR_DIPLOMACY     | Ένας ακόμη διαστημικός πολιτισμός αποκαλύφθηκε! Οι διπλωμάτες μας θα τηρήσουν τους πρέποντες κανόνες ευπρέπειας στο όνομά σου, και θα καταγράψουν προσεκτικά εάν και αυτοί ανταποκριθούν. 
MAIN_ADVISOR_SHIP_ENGINE   | Οι σπουδαιότεροι νόες μας δημιούργησαν ένα νέο, πιο αποδοτικό σχέδιο κινητήρα. Επιθυμούν να αποφασίσεις πως είναι καλύτερα να θέσουμε σε εφαρμογή τους νέους κινητήρες στους στόλους μας. 
MAIN_ADVISOR_RALLY_POINTS  | Μια αναξιοπρεπής φυλή διεξάγει πόλεμο με την ένδοξη αυτοκρατορία μας. Οι 33 Οίκοι τίθονται ενωμένοι στη διοίκησή σου, και θα συγκεντρώσουν τους στόλους τους όπου τους αποστείλεις. 
MAIN_ADVISOR_MISSILE_BASES | Με τους κυρίαρχους στόλους μας να συμμετέχουν στη μάχη, οι εξωτερικοί μας κόσμοι είναι ευάλωτοι στην επιθετικότητα του εχθρού. Να κατασκευάσουμε πυραυλικές βάσεις σε όποιο κόσμο επιθυμείς.
MAIN_ADVISOR_SHIP_WEAPON   | Οι Ερευνητές μας έφτασαν σε μια σημαντική ανακάλυψη σχετική με τον οπλισμό σκαφών. Οι Στόλοι μας μπορούν να εξοπλιστούν με αυτά τα καταστρεπτικά δείγματα τεχνολογίας ανά πάσα στιγμή.
MAIN_ADVISOR_COUNCIL       | Το Γαλαξιακό Συμβούλιο θα συγκληθεί σύντομα, και η παρουσία μας θα είναι αναμφίβολα πολύ επιθυμητή. Ευκαιρία για να διασφαλίσουμε ότι κάθε απόφαση θα προωθεί τους στόχους της κυριαρχίας.


