// race-specific variables (must start with _)
_empire                    | Αυτοκρατορία των Ταυράθι, Αυτοκρατορία των Αρκουδάθι, Αυτοκρατορία των Αρκτονάθι
_race                      | Ταυράθι, Αρκουδάθι, Αρκτονάθι

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Αφέντη, ετοιμάσαμε και τα δύο ανιχνευτικά και ένα αποικιστικό σκάφος για αποχώρηση. Θα αρχίσουμε να εξευρευνούμε και να αποικίζουμε κοντινά συστήματα μετά απο διαταγή σου.
MAIN_ADVISOR_TRANSPORT     | Ο κόσμος του %1, προστέθηκε στην αυτοκρατορία μας! Δώσε διαταγή Αφέντη, και θα αποστείλλουμε μεταγωγικά άμεσα!
MAIN_ADVISOR_DIPLOMACY     | Μία εξώκοσμη φυλή ήρθε σε επαφή με την αυτοκρατορία μας, Αφέντη. Το άν θα τους συμπεριφερθούμε ως φίλο ή ως εχθρό, το αφήνουμε στην διακριτική σου ευχέρεια.
MAIN_ADVISOR_SHIP_ENGINE   | Οι επιστήμονες μας συνεχίζουν να ωθούν τα όρια της τεχνολογίας, αυτή τη φορά βελτιώνοντας την εμβέλεια των κινητήρων μας. Περιμένουν τις αποφάσεις σου για νέους τύπους σκαφών.
MAIN_ADVISOR_RALLY_POINTS  | Οι ένδοξες μάχες, μας περιμένουν Αφέντη! Κατεύθηνε τα νεοκατασκευασθέντα σκάφη με Σημεία Συγκέντρωσης, ώστε να συνθέσουμε τους στόλους μας όπου επιθυμείς.
MAIN_ADVISOR_MISSILE_BASES | Οι αποικίες μας περιμένουν εντολές σου, Αφέντη, ώστε να αρχίσει η κατασκευή πυραυλικών βάσεων που θα συμβάλλουν στην προστασία τους εναντίον εχθρικών απειλών.
MAIN_ADVISOR_SHIP_WEAPON   | Οι Ερευνητές μας δημιούργησαν νέο, καταστρεπτικό οπλισμό για τους στόλους μας! Επισκέψου το σχεδιαστήριο αποφασίζοντας πως οι εχθροί θα πέσουν εμπρός στην εντυπωσιακή μας δύναμη.
MAIN_ADVISOR_COUNCIL       | Αντιπρόσωποι του πρώτου Γαλαξιακού Συμβουλίου θα συγκεντρωθουν σύντομα. Οι διπλωμάτες μας θα ακολουθήσουν οδηγίες για να εξασφαλίσουν αποφάσεις εναρμονισμένες με τη θέληση σου. 
