// race-specific variables (must start with _)
_empire                    | Σκιώκ, Σαΰλώκ, Σκοτιώκ
_race                      | Σκιώκ, Σαΰλώκ, Σκοτιώκ

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Ολοκληρώσαμε την κατασκευή ενός ζεύγους ανιχνευτικών και ενός αποικιστικού σκάφους. Ας ελπίσουμε ότι οι απαντήσεις που αναζητούμε θα εμφανιστουν σε έναν κοντινό κόσμο…
MAIN_ADVISOR_TRANSPORT     | Δεν βρέθηκαν απαντήσεις στον πλανήτη %1. Παραταύτα καλό θα ήταν να αυξήσουμε τους αριθμούς μας εκεί στέλνοντας ότι μεταγωγικά μπορούμε να διαθέσουμε…
MAIN_ADVISOR_DIPLOMACY     | Αντιπρόσωποι ενός λαού, ιθαγενούς σε αυτό το επίπεδο ανείγγειλαν την ύπαρξη τους. Πρέπει να κάνουμε ότι είναι δυνατόν ώστε να μάθουμε όλες τις απαντήσεις που κατέχουν…
MAIN_ADVISOR_SHIP_ENGINE   | Αποκαλύψαμε τρόπο να παράγουμε πιο αποδοτικές μηχανές. Πρέπει να αποφασίσουμε κοινή συναινέση για το πως θα αναβαθμίσουμε τα σχέδια σκαφών μας στη νέα τεχνολογία…
MAIN_ADVISOR_RALLY_POINTS  | Οι συγκρούσεις ξεκίνησαν! Οιεγκαταστάσεις μας έχουν τη δυνατότητα να συγκεντρώνουν τα παραγόμενα σκάφη και να δημιουργούν στόλους εκεί προστατεύοντας από επιτιθέμενους…
MAIN_ADVISOR_MISSILE_BASES | Χάσαμε πολλά ερχόμενοι σε αυτό το Σύμπαν για να απωλέσουμε και άλλα: διέταξε τις αποικίες να προστατευτούν κατασκευάζοντας όσες περισσότερες πυραυλικές βάσεις είναι δυνατόν…
MAIN_ADVISOR_SHIP_WEAPON   | Ανακαλύψαμε μια νέα τεχνολογία που βελτιώνει τις επιθετικές δυνατότητες των αστροσκαφών μας. Πρέπει τώρα να αποφασίσουμε πως θα εκσυγχρονίσουμε τα σχέδια των σκαφών μας …
MAIN_ADVISOR_COUNCIL       | Προέκυψαν φήμες για μια σύναξη γνωστή ώς το Γαλαξιακό Συμβούλιο. Κατάσκοποι μας ελπίζουν να συγκεντρώσουν πληθώρα πληροφοριών. Το μέλλον της φυλής μας εξαρτάται απο αυτό!
