// race-specific variables (must start with _)
_empire                           | Τριανδρία Άνθρωπων, Τριανδρία Γήινων, Τριανδρία Τέλλαν, Τριανδρία Πρώιμων, Τριανδρία Μεσογαίων
_race                             | Άνθρωποι, Γήινοι, Τέλλαν, Πρώιμοι, Μεσογαίοι
_race_plural                      | Άνθρωπων, Γήινων, Τέλλαν, Πρώιμων, Μεσογαίων
_title                            | Τρίαρχος
_nameTitle                        | Τρίαρχος

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// Αλλαγές κειμένου/νοημάτων για την Ελληνική Μετάφραση: Βαγγέλης Σκούπρας

// Advisor text
MAIN_ADVISOR_TITLE                | Σύμβουλος [race_plural]
MAIN_ADVISOR_BUTTON_OK            | Κλείσιμο
MAIN_ADVISOR_SCOUT                | Το τμήμα αποικισμού αναφέρει ότι ένα ζευγάρι ανιχνευτικών και ένα αποικιστικό είναι αξιόπλοα. Προτείνω να εντοπίσουμε και να αποικίσουμε έναν κοντινό πλανήτη το συντομότερο δυνατό.
MAIN_ADVISOR_TRANSPORT            | Η δημιουργία αποικίας στο σύστημα %1 ήταν επιτυχής. Όσο περισσότερα μεταγωγικά αποστείλουμε, τόσο πιο γρήγορα θα εξελιχθεί σε ακρογωνιαίο λίθο της διαστρικής αυτοκρατορίας μας.
MAIN_ADVISOR_DIPLOMACY            | Τρίαρχε, είμαι ενθουσιασμένος που επιβεβαιώνω την πρώτη μας επαφή με έναν εξωγήινο πολιτισμό! Παρακαλώ, ελέγξτε τον τρόπο προσέγγισης μας, ώστε να μπορέσουμε να αρχίσουμε να χειριζόμαστε αυτούς τους εξωγήινους εξυπηρετώντας καλύτερα τους σκοπούς μας.
MAIN_ADVISOR_SHIP_ENGINE          | Η έρευνα πρόωσης μας απέδωσε έναν πιο προηγμένο σχεδιασμό πλοίων. Ενσωματώστε αυτήν την ανακάλυψη σε όλα τα μελλοντικά πλοία. Αυτά προς το παρόν.
MAIN_ADVISOR_RALLY_POINTS         | Οι στρατιωτικές μας δυνάμεις προετοιμάζονται για πόλεμο, αλλά θα πρέπει να κινητοποιήσουμε τις δυνάμεις μας γρήγορα. Συνιστώ τη χρήση σημείων συγκέντρωσης για να ενσωματώσετε τα σκάφη μας σε στόλους, το συντομότερο δυνατό.
MAIN_ADVISOR_MISSILE_BASES        | Οι στρατηγικοί μας αναλυτές ανησυχούν για τις δυνατότητες υπεράσπισης των κόσμων στην άκρη της επικράτειάς μας. Συνιστούν τη δημιουργία πυραυλικών βάσεων για την ενίσχυση των πλανητικών αμυνών και συμφωνώ με την εκτίμησή τους.
MAIN_ADVISOR_SHIP_WEAPON          | Η νεότερη έρευνά μας οδήγησε σε πρόοδο στην τεχνολογία όπλων. Μπορείτε να τροποποιήσετε νέα σχέδια πλοίων για να συμπεριλάβετε αυτά τα όπλα ανά πάσα στιγμή στο εξής.
MAIN_ADVISOR_COUNCIL              | Τρίαρχε! Μια συνάντηση όλων των διαστρικών αυτοκρατοριών θα πραγματοποιηθεί σύντομα, σε μόλις 5 χρόνια. Δώστε κατευθύνσεις στους διπλωμάτες μας στο πώς να βελτιώσουν τον τρόπο που σκέφτονται οι άλλες φυλές για μας ώστε να αξιοποιήσουμε τα πλεονεκτήματά μας και να οδηγήσουμε αυτό το Γαλαξιακό Συμβούλιο στους σκοπούς μας.
MAIN_ADVISOR_REBELLION            | Έχω ακούσει αναφορές ότι υπάρχει μια εξέγερση στο %1. Εξέγερση! Από όλα τα πράγματα! Ας βάλουμε μερικές μπότες στο έδαφος και ας θέσουμε αυτή την αποικία υπό έλεγχο.
