// race-specific variables (must start with _)
_empire                    | Συντεχνία των Μηχανάρ, Συντεχνία των Κηβερνάρ, Συντεχνία των Μηχλάρ
_race                      | Μηχανάρ, Κηβερνάρ, Μηχλάρ

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Στόλος έτοιμος για εξερεύνηση και αποίκιση. Αναμένουμε οδηγίες για την έναρξη επιχειρήσεων.
MAIN_ADVISOR_TRANSPORT     | Η Πρώτη Αποικία ιδρύθηκε σε κοντινό κόσμο. Δηλώθηκε ως “%1.” Χωρητικότητα %2 επιπλέον μονάδων. Δυνατότητα μεταφοράς από %3 για ενίσχυση.
MAIN_ADVISOR_DIPLOMACY     | Νέο είδος εντοπίστηκε. Δηλωμένο ως “%1”. Αναμένονται περαιτέρω οδηγίες από Κεντρική Μονάδα.
MAIN_ADVISOR_SHIP_ENGINE   | Έρευνα βελτιωμένων συστημάτων πρόωσης επιτυχής. Συνίσταται σύσκεψη με μονάδες μηχανικού για την καλύτερη ενσωμάτωση των νέων σχεδίων.
MAIN_ADVISOR_RALLY_POINTS  | Το είδος “%1” προσπάθησε να καθυστερήσει την ανακάλυψη του πρωτοκόλλου αθανασίας. Δημιουργήστε σημεία συγκέντρωσης ώστε να συσσωρευτεί ο στόλος και να πληγούν.
MAIN_ADVISOR_MISSILE_BASES | Αίτηση από στρατιωτικό τμήμα: κατασκευάστε αμυντικές πυραυλικές βάσεις στην επιφάνεια  απομακρυσμένων κόσμων. Θα ισχυροποιήσει άμυνα εναντίον εξωτερικών απειλών.
MAIN_ADVISOR_SHIP_WEAPON   | Έρευνα οπλισμού υψηλής ισχύος ολοκληρώθηκε. Συμβουλευτείτε μονάδες μηχανικού για την καλύτερη ενσωμάτωση των νέων σχεδίων στα σκάφη.
MAIN_ADVISOR_COUNCIL       | Επισήμανση  σύγκλισης διαστρικών αυτοκρατοριών. Έχει δηλωθεί ως “Γαλαξιακό Συμβούλιο”. Αποστέλουμε αντιπροσωπεία για εξασφάλιση κατανόησης της βούλησης Κεντρικής Μονάδας. 


