// race-specific variables (must start with _)
_empire                           | Φατρία Νιαράαν, Φατρία Μρρσάν, Φατρία Νιρρσάν, Φατρία Νιαουσάν, Φατρία Νυχσάν, Φατρία Γουρσάχ
_race                             | Νιαράαν, Μρρσάν, Νιρρσάν, Νιαουσάν, Νυχσάν, Γουρσάχ
_race_plural                      | Νιαράαν, Μρρσάν, Νιρρσάν, Νιαουσάν, Νυχσάν, Γουρσάχ
_title                            | Χάν
_nameTitle                        | Χάν

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// Αλλαγές κειμένου/νοημάτων για την Ελληνική Μετάφραση: Βαγγέλης Σκούπρας

// Advisor text
MAIN_ADVISOR_TITLE                | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK            | Κλείσιμο
MAIN_ADVISOR_SCOUT                | Αχ-χα! Ο πρώτος στόλος μας είναι έτοιμος! Ας τον χρησιμοποιήσουμε για να βρούμε έναν κόσμο με εχθρούς που έχουν πολύ μεγάλο θησαυρό.
MAIN_ADVISOR_TRANSPORT            | Κατακτήσαμε νέα περιοχή στο σύστημα %1. Όσο περισσότερους από εμάς μεταφέρουμε από το %3, τόσο πιο γρήγορα θα βρούμε οποιαδήποτε λάφυρα έχει αυτός ο κόσμος.
MAIN_ADVISOR_DIPLOMACY            | Έχουμε κάνει επαφή με μία νέα φυλή εξαλούρεων! Νομίζετε ότι θα αποδειχθούν ισχυροί εχθροί, ή οι θησαυροί τους θα είναι εύκολοι στόχοι;
MAIN_ADVISOR_SHIP_ENGINE          | Βρήκαμε έναν τρόπο να βελτιώσουμε τους κινητήρες μας και να κάνουμε τα πλοία μας ακόμα πιο γρήγορα! Εάν τα ενσωματώσουμε στα σχέδια των πλοίων μας, οι επιδρομές μας σε εχθρικούς κόσμους θα γίνουν ακόμη πιο αποτελεσματικές!
MAIN_ADVISOR_RALLY_POINTS         | Χάν! Ο πόλεμος είναι πάνω μας! Τα Χανάτα θα τιμήσουν τη δέσμευσή τους να ενωθούν μαζί σας αυτή τη στιγμή, οπότε θέστε ένα σημείο συγκέντρωσης για να τους πείτε πού να στείλουν τους στόλους τους!
MAIN_ADVISOR_MISSILE_BASES        | Οι κόσμοι του χείλους υπό τον έλεγχό μας είναι ευάλωτοι σε επίθεση εχθρού! Ας κατασκευάσουμε βάσεις πυραύλων για να αποτρέψουμε να πέσουν στα χέρια του εχθρού.
MAIN_ADVISOR_SHIP_WEAPON          | Καταφέραμε να αναπτύξουμε ισχυρά νέα όπλα για χρήση στα πλοία μας. Αυτά είναι βέβαιο ότι θα προκαλέσουν ρήξη μεταξύ των δυνάμεων των εχθρών μας μόλις τα συμπεριλάβουμε στα σχέδια των πλοίων μας.
MAIN_ADVISOR_COUNCIL              |Μια συνάντηση λαών θα είναι σύντομα κοντά μας, αλλά λένε ότι πρόκειται για διπλωματία αντί για πόλεμο. Παράξενο, έτσι δεν είναι; Ακόμα, πρέπει να παρευρεθούμε σε αυτό το «Γαλαξιακό Συμβούλιο», αν όχι για τίποτα άλλο παρά για να ηρεμήσουμε τις πιο ευπτόητες αυτοκρατορίες.
MAIN_ADVISOR_REBELLION            | Νιώθεις αδιαθεσία, Χαν; Υπάρχει μια εξέγερση στο σύστημα %1 και δεν έχεις δώσει εντολή να τους "κοιμήσουμε".
MAIN_ADVISOR_RESIST_COUNCIL       | Σκέφτηκαν ότι απλά θα ξαπλώσουμε και θα τους αφήσουμε την ειρήνη της δειλίας πάνω από τον γαλαξία; Ας ξεκινήσουμε τις επιδρομές, Χαν: οι αίλουροι μας ξύνονται για κάποιο θησαυρό! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Αυτοί οι επαναστάτες ανόητοι αρνούνται την απόφαση μας! Ας τους δείξουμε τι σημαίνει το γνωμικό μας: "οι ισχυροί παίρνουν, οι αδύναμοι δίνουν"!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Οι αγαπημένοι σας θησαυροί είναι τώρα ελεύθεροι για να ληφθούν από άλλους...#Οι τρομεροί στόλοι των επιδρομέων του Χανάτου που χτυπούσαν σαν φανταστική αστραπή, κάποτε έκαναν ολόκληρους πολιτισμούς να φοβούνται να ταξιδέψουν πολύ μακριά από το κόσμο τους. Στο αποκορύφωμά σας, πήρατε τον πλούτο ολόκληρων πολιτισμών και τον προσθέσατε σε ορδές που περιείχαν λείψανα που εκτείνονταν σε εκατοντάδες κόσμους. Φαίνεται, όμως, ότι μέσω της ανοησίας, της αλαζονείας, της απληστίας ή κάποιου συνδυασμού τους, οι αίλουροι σας βρήκαν επιτέλους εχθρούς που θα αποδυκνύονταν ότι είναι πιό δυνατοί από ότι μπορούσαν να χειριστούν. Και όταν αυτοί οι εχθροί αποφάσισαν να επιτεθούν, ήσασταν αδύναμοι να αποτρέψετε τη μοίρα που σας έχει συμβεί τώρα.#Η απλή φήμη ενός επικείμενου στόλου [race] κάποτε προκαλούσε τον τρόμο σε ολόκληρα αστρικά συστήματα. Τώρα οι αίλουροι σας έχουν διαγραφεί από αυτόν τον γαλαξία, παραμένοντας μόνο ως ιστορίες φαντασμάτων για να τρομάξουν τα παιδιά των νικητών ώστε να συμπεριφέρονται καλύτερα. Και οι πολύτιμοι θησαυροί σας, που έχουν ληφθεί από τόσους πολλούς κόσμους, έχουν κλαπεί και τοποθετηθεί σε πλούσια σπίτια και μουσεία: τώρα λείψανα του μακρινού παρελθόντος, όπως και ο λαός σας...
GAME_OVER_MILITARY_WIN2           | Οι θησαυροί αυτού του γαλαξία είναι δικοί σας για να τους πάρετε!#Αυτή τη νύχτα, ολόκληρη η επιφάνεια του αρχικού κόσμου σας ξεσπάει με βρυχηθμούς γιορτάζοντας την υπέρτατη νίκη των αίλουρων σας. Γιατί αυτό το βράδυ είναι το πρώτο της νέας εποχής, όπου ο Χρυσός Χάν κυριαρχεί μόνος του στον γαλαξία. Αυτό που κάποτε ξεκίνησε ως απλές επιδρομές για λάφυρα και φήμη έγινε τελικά μια εκστρατεία πλήρους κλίμακας που κάλυπτε πλανήτες, αστέρια και τελικά το σύνολο του γνωστού γαλαξία. Ενάντια σε όλες τις πιθανότητες και ενάντια σε όλους τους αμφισβητίες, κάθε άλλη αυτοκρατορία έχει πέσει κάτω από το βάρος της συντριπτικής σας αγριότητας και δύναμης.#Με τους πιο αδύναμους αντιπάλους να πέφτουν ένας μετά τον άλλο στα χέρια σας, οι αίλουροι σας σας δεν είδαν καμία ανάγκη για συμμάχους. Αποφεύγοντας τις πολιτικές εμπλοκές και τη φοβερή δουλειά της διπλωματίας, έχετε πάρει το τελευταίο από τα προπύργια που στάθηκαν εναντίον σας και η λεηλασία χιλιάδων κόσμων είναι τώρα δική σας. Και όταν αυτός ο γαλαξίας σας έχει δώσει όλα όσα έχει, δυστυχία σε αυτούς που κατοικούν στα αστέρια ακόμη πιο πέρα. Θα ταρακουνηθούν κατά τον ερχομό σας, και η λεηλασία τους θα είναι επίσης δική σας, με οποιοδήποτε μέσο απαιτείται...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Τα λάφυρα αυτού του γαλαξία για εσάς και τους συμμάχους σας...#Οι επιδρομές σας έφεραν τελικά λαμπερούς καρπούς αξίας πέραν του μέτρου. Από τις πρώτες σας επιδρομές στη διπλωματία, έγινε φανερό ότι η υπερήφανη κουλτούρα σας δεν θα μπορούσε ποτέ να συνυπάρχει ειρηνικά με εκείνους που είχαν τέτοιους θαυμάσιους θησαυρούς χωρίς τη δύναμη να τους υπερασπιστούν. Γνωρίζατε ότι οι πόλεμοι θα ήταν αναπόφευκτοι. Αλλά εκπληκτικά βρήκατε άλλους στα βάθη του χώρου που όχι μόνο είχαν τη δύναμη να υπερασπιστούν τα λάφυρά τους, αλλά και ένα ενδιαφέρον να προσθέσουν και στα δικά τους ταμεία.#Μαζί εσείς και οι σύμμαχοί σας πολεμήσατε πολέμους, για τους οποίους θα μιλήσετε στο μύθο μέχρι το τέλος του χρόνου. Μοιραστήκατε τις κατακτήσεις και τα πλούτη. Καθώς τα σώματα των αδύναμων εχθρών σας βρίσκονται σε κομμάτια κατά μήκος του δρόμου προς το μέλλον, πρέπει μόνο να χωρίσετε τα λάφυρα και να απολαύσετε τη συγκίνηση της νίκης. Αλλά μια λέξη προειδοποίησης, Χρυσέ Χαν: ανεξάρτητα από το πόσο σκληρά πολεμούν οι σύμμαχοί σας, όσοι έχουν μάτι για το χρυσό μπορεί να στρέψουν το βλέμμα τους στους φίλους τους όταν δεν υπάρχουν άλλοι εχθροί με ώριμο θησαυρό για να λάβουν...
