// race-specific variables (must start with _)
_empire                    | Αυτοκράτεια των Λιθοβώρ, Αυτοκράτεια των Σιλικίδωρ, Αυτοκράτεια των Πέτριδωρ
_race                      | Λιθοβώρ, Σιλικίδωρ, Πέτριδωρ

// Advisor text
MAIN_ADVISOR_TITLE         | Σύμβουλος %1
MAIN_ADVISOR_BUTTON_OK     | Κλείσιμο
MAIN_ADVISOR_SCOUT         | Ω, Αυτοκράτορα-Θεέ, τα ανιχνευτικά σου περιμένουν να συνοδεύσουν το πρώτο αποικιστικό σκάφος σε όποιον κόσμο επιθυμείς! Δώσε διαταγή και δες τη θέληση σου σε πράξη!
MAIN_ADVISOR_TRANSPORT     | Η Αποικία στον %1 ιδρύθηκε στο όνομα σου, ισχυρέ Αυτοκράτωρα! Εαν επιθυμείς να αποστείλουμε μεταγωγικά να υποστηρίξουν τη νέα σου επικράτεια, πες το και θα γίνει!
MAIN_ADVISOR_DIPLOMACY     | Θεέ-Αυτοκράτωρ! Αντιπρόσωπος εξωκοσμικής αυτοκρατορίας θα παρουσιαστεί ενώπιον σου! Θα μπορούσε να είναι και εχθρικός! Να προχωρήσουμε με κάθε επιφύλαξη!
MAIN_ADVISOR_SHIP_ENGINE   | Οι επιστήμονες σου τελειοποίησαν νέα σχέδια κινητήρων! Θα τροποποιήσουν τους στόλους σου μόλις καταδεχτείς να τους ορίσεις να το πράξουν!
MAIN_ADVISOR_RALLY_POINTS  | Επιτέλους! Ο Ιερός μας πόλεμος ξεκίνησε, Θεέ-Αυτοκράτωρ! Διάταξε τους στόλους σου να συγκεντρωθούν σε κόσμο που ελέγχεις και θα φέρουν γρήγορο θάνατο στον εχθρό!
MAIN_ADVISOR_MISSILE_BASES | Οι Στρατηγοί σου πιστεύουν πως να χτίσεις αμυντικές πυραυλικές βάσεις στις πιο τρωτές αποικίες θα ήταν συνετό τόλμημα! Εάν συμφωνείς, Θεέ-Αυτοκράτωρ, θα αρχίσουν αμέσως!
MAIN_ADVISOR_SHIP_WEAPON   | Θεέ-Αυτοκράτωρ! Οι επιστήμονες σου παρουσίασαν όλες τις εξελίξεις στην οπλική τεχνολογία! Θα οπλίσουμε τους στόλους μας με αυτά τα εργαλεία πολέμου, με ένα σου νεύμα!
MAIN_ADVISOR_COUNCIL       | Μια συνάντηση ευγενών γνωστή ως Γαλαξιακό Συμβούλιο θα επέλθει σύντομα! Ο αρχαίος εχθρός μάλλον θα είναι εκεί! Πρέπει να εντοπιστεί ώστε η σταυροφορία μας να αρχίσει!


