// race-specific variables (must start with _)
_empire                           | Ursinathi Empire, Bearathi Empire, Burlathi Empire, Pawrathi Empire, Grizzlathi Empire
_race                             | Ursinathi, Bearathi, Burlathi, Pawrathi, Grizzlathi
_race_plural                      | Ursinathis, Bearathis, Burlathis, Pawrathis, Grizzlathis
_title                            | Grand Hierarch
_nameTitle                        | Grand Hierarch


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Ursinathi Advisor
MAIN_ADVISOR_BUTTON_OK            | Dismiss
MAIN_ADVISOR_SCOUT                | Master, we've prepared both scouts and a colony ship for departure. We'll begin exploring and colonizing a nearby system at your command.
MAIN_ADVISOR_TRANSPORT            | The world of %1, added to our empire! Give the order and we shall begin sending transports immediately!
MAIN_ADVISOR_DIPLOMACY            | An alien race has made contact with our empire, Master. Whether we treat them as friend or foe is a decision solely left to your discretion.
MAIN_ADVISOR_SHIP_ENGINE          | Our scientists continue to push the limits of technology, this time by improving the speed of our engines. They await your decision on updated ship designs.
MAIN_ADVISOR_RALLY_POINTS         | A glorious battle is upon us! Direct our newly crafted ships with Rally Points to assemble our fleets wherever you desire.
MAIN_ADVISOR_MISSILE_BASES        | Our colonies await your word, Master, to begin the construction of missile bases to aid in their defense against enemy attacks.
MAIN_ADVISOR_SHIP_WEAPON          | Our researchers have conceived devastating new weaponry for our fleets! Revisit our ship designs at your leisure, Master, to decide how our enemies will fall before our overwhelming might.
MAIN_ADVISOR_COUNCIL              | Representatives for the first Galactic Council will soon gather, Master. Our diplomats shall follow your direction to ensure the decisions of the council align with your will. 
MAIN_ADVISOR_REBELLION            | It would seem the people of %1 have decided to defy you openly, Master. It’s time to remind them why you are the one chosen to lead the Empire!
MAIN_ADVISOR_RESIST_COUNCIL       | Only you may sit on the throne of the galaxy! We will not quash our bloodlust until you take your rightful place, Master!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ha ha! I wonder what it's like to be so foolish as to stand against our rule. No matter, these tiny rebels will be crushed beneath our heel!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | The rage of your empire has been quashed.#The fury of your people was not enough to stem the growing tide of alien military powers. Though you fiercely fought to the very last soldier, the Ursinathi chapter in history has now come to an end. Once you were the Grand Hierarch of a mighty empire, the leader of a proud race of warrior philosophers who set their sights on the stars to find their place in the universe and test their mettle against those who dared to oppose them. Now you are only a name in the chronicles of this galaxy's past, and only then if the victors deign to remember you.#Perhaps, had you known of the end that awaited your people in their journey, you would not have charged forth into space so eagerly. Now all that remains of you and your people is the dust of your ill-fated ambitions and ill-executed plans...
