// race-specific variables (must start with _)
_empire                           | Klackon Hive, Insecton Hive, Termitton Hive, Arthropon Hive, Coleopteron Hive
_race                             | Klackon, Insecton, Termitton, Arthropon, Coleopteron
_race_plural                      | Klackons, Insectons, Termittons, Arthropon, Coleopteron
_title                            | ruler
_nameTitle                        |

GOVT_EMPIRE                       | %1 Hive

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Dismiss
MAIN_ADVISOR_SCOUT                | At last my ships have reached completion. I must use my scouts to find new worlds for my colony vessel to land upon.
MAIN_ADVISOR_TRANSPORT            | I've established myself on this new world and must send more from my home to expand upon it. There is no new life here, and so my search continues.
MAIN_ADVISOR_DIPLOMACY            | New life at last! What a strange life form it is to communicate by noises and gestures. I must contemplate the diplomacy and intelligence information I know about them before making my next move.
MAIN_ADVISOR_SHIP_ENGINE          | I continue to improve with this refinement of my spacecraft engines. I must re-visit my ship designs to integrate them into my fleet.
MAIN_ADVISOR_RALLY_POINTS         | Why do they attack me? I don't understand. I must choose a rally point for my ships to go to defend myself while I try to understand why this has occurred.
MAIN_ADVISOR_MISSILE_BASES        | I see now that not all life has learned the boon of cooperation. I must fortify my outer worlds with missile bases to keep my acquisitions safe.
MAIN_ADVISOR_SHIP_WEAPON          | I continue to advance, and my new weapon technology will grant me more power as soon as I integrate them into my ship designs.
MAIN_ADVISOR_COUNCIL              | Excitement! A meeting of many species will soon take place. What lifeforms will be gathered there? If I put myself in a better light among those I know, perhaps they'll ease my introduction to any new species.
MAIN_ADVISOR_REBELLION            | What is this? I've lost control of myself on %1. No matter, I must simply go there and show them that I'm the one in charge.
MAIN_ADVISOR_RESIST_COUNCIL       | Impossible! That another was chosen to rule these simpering dolts while my wisdom remains ignored! But no matter: I will put an end to all of them immediately! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Why do these fools persist in being so disagreeable? The council is mine, the galaxy is mine, and now they will learn their place in my dominion! 

MAIN_SCOUT_TITLE                  | I Explore A New Star System
MAIN_COLONIZE_TITLE               | I am orbiting %1, an uncolonized system.
MAIN_COLONIZE_ANIMATION_TITLE     | In the year %1, I form a new colony.
MAIN_ALERT_SPY_CAPTURED           | I have captured a spy from the %1, forcing a confession of their %2 activities.
MAIN_ALERT_TRANSPORTS_KILLED      | My attempts to reach %2 have been stopped by defending %1 forces.
MAIN_ALERT_INVADERS_KILLED        | %1 transports attempting to invade %2 have been completely destroyed by me.
MAIN_BOMBARD_TITLE                | I am orbiting an enemy %2 colony.

TECH_RESEARCH_COMPUTER            | I must select the next computer technology to focus on.
TECH_RESEARCH_CONSTRUCTION        | I must select the next construction technology to focus on.
TECH_RESEARCH_FORCE_FIELD         | I must select the next force field technology to focus on.
TECH_RESEARCH_PLANETOLOGY         | I must select the next planetology technology to focus on.
TECH_RESEARCH_PROPULSION          | I must select the next propulsion technology to focus on.
TECH_RESEARCH_WEAPON              | I must select the next weapon technology to focus on.
TECH_DISCOVERY_TITLE              | I Achieve a %2 Breakthrough
TECH_SCOUTED_TITLE                | While Exploring the Ruins of %1, I discover a new Technology
TECH_STOLEN_TITLE                 | I have infiltrated the %1 research center at %2.
TECH_TRADED_TITLE                 | I Acquire Technology from %2 Scientists
TECH_PLUNDERED_TITLE              | While Plundering the Ruins of %1, I discover a new Technology
TECH_ALLOCATE_SHIELD              | Should I increase the defense ratios of all of my colonies to build the new planetary shields?
TECH_ALLOCATE_MISSILE_BASES       | Should I increase the defense ratios of all of my colonies to upgrade my missile bases?
TECH_ALLOCATE_FACTORIES           | Should I increase the industry ratios of all of my colonies to upgrade my factory controls?
TECH_ALLOCATE_CLEAN_WASTE         | Should I reduce the ecology ratios of all of my colonies to the minimum amount necessary to keep them clean?
TECH_ALLOCATE_ENRICH_SOIL         | Should I increase the ecology ratios of my colonies with standard environments in order to begin terraforming my planets?
TECH_ALLOCATE_ATMOSPHERE          | Should I increase the ecology ratios of my colonies with hostile environments in order to begin terraforming my planets?
TECH_ALLOCATE_TERRAFORM           | Should I increase the ecology ratios of all of my colonies in order to begin terraforming my planets?

