// race-specific variables (must start with _)
_empire                           | Fiershan Clan, Prrshan Clan, Mewshan Clan, Clawshan Clan, Hisshan Clan
_race                             | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_race_plural                      | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_title                            | Khan
_nameTitle                        | Khan

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Fiershan Advisor
MAIN_ADVISOR_BUTTON_OK            | Dismiss
MAIN_ADVISOR_SCOUT                | Ah-ha! Our first fleet is ready! Let's use it to find a world with enemies who've much treasure for the taking.
MAIN_ADVISOR_TRANSPORT            | We've taken new territory on %1. The more of us we transport from %3, the faster we'll find any loot this world has.
MAIN_ADVISOR_DIPLOMACY            | We've made contact with a new alien race! Think they'll prove to be strong enemies, or will their treasures be easy pickings?
MAIN_ADVISOR_SHIP_ENGINE          | We've found a way to improve our engines and make our ships even faster! If we incorporate them into our ship designs, our raids on enemy worlds will become even more efficient!
MAIN_ADVISOR_RALLY_POINTS         | Khan! War is upon us! The Khanates will honor their pledge to unite with you at this time, so set a rally point to tell 'em where to send their fleets!
MAIN_ADVISOR_MISSILE_BASES        | The rim worlds under our control are vulnerable to enemy attack! Let's construct missile bases to prevent 'em from falling into enemy hands.
MAIN_ADVISOR_SHIP_WEAPON          | We've managed to develop powerful new weapons for use on our ships. These are sure to cause a rout among the forces of our enemies once we include 'em on our ship designs.
MAIN_ADVISOR_COUNCIL              | A meeting of peoples will soon be upon us, but they say it's for diplomacy instead of war. Strange isn't it? Still, we should attend this "Galactic Council", if for nothing else then to placate the more skittish empires.
MAIN_ADVISOR_REBELLION            | Are you feeling unwell, Khan? There's a rebellion on %1 and you haven't given orders to put 'em down.
MAIN_ADVISOR_RESIST_COUNCIL       | Did they think we'd just lay down and let 'em put a coward's peace over the galaxy like that? Let's start the raids, Khan: our people are itching for some treasure! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Those rebel fools refuse our ruling! Let's show 'em our dictum: the strong take, the weak give! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Your cherished treasures now free for the taking...#The dread fleets of Khanate raiders that struck like phantom lightning once caused entire civilizations to fear journeying too far from home. At your peak, you took the wealth of entire civilizations and added them to hoards that contained relics spanning hundreds of worlds. But it seems that through folly, arrogance, greed, or some combination thereof, your people finally found enemies who would prove to be more than they could handle. And when these enemies took the offensive, you were powerless to prevent the fate that has now befallen you.#The mere rumor of an impending Fiershan fleet once caused whole star systems to quake in fear. Now your people have been erased from this galaxy, remaining only as ghost stories to scare the children of the victors into being more well behaved. And your precious treasures, taken from so many worlds, have been stolen away and placed into wealthy homes and museums: now relics of the distant past, just like your people...
GAME_OVER_MILITARY_WIN2           | The treasures of this galaxy are yours for the taking!#On this night, the entire surface of your homeworld erupts in roars celebrating your people's supreme victory. For this night is the first of the new age, where the Fiershan Khanates alone dominate the galaxy. What once began as simple raids for spoils and renown eventually became a full scale campaign that spanned planets, star systems, and eventually the entirety of the known galaxy. Against all odds, and against all challengers, every other empire has fallen beneath the weight of your overwhelming ferocity and power.#With weaker rivals falling to you one by one, your people saw no need for allies. Eschewing political entanglements and diplomacy's woeful drudgery, you have taken the last of the strongholds that stood against you, and the loot of a thousand worlds is now yours for the taking. And when this galaxy has given to you all that has, woe to those who dwell in the stars even further beyond. They shall quake at your coming, and their loot shall also be yours, by any means necessary...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | The spoils of this galaxy for you and your allies...#Your raids have finally bore glittering fruits of value beyond measure. From your first forays into diplomacy, it became evident that your proud culture would never be able to coexist peacefully with those who held such wondrous treasures without the strength to defend them. You knew the wars would be inevitable. But surprisingly you found others in the depths of space who not only had the strength to defend their own spoils, but an interest in adding to their own coffers as well.#Together you and your allies waged wars the likes of which will be spoken of in legend until the very end of time. You shared in conquests and riches alike. As the bodies of your frail enemies lie broken along the path to the future, you have only to divide up the spoils and revel in the thrill of victory. But a word of warning, Golden Khan: no matter how staunchly your allies fought alongside you, those with an eye for gold may land their gaze upon their friends when there are no more enemies with treasure ripe for the taking...
GAME_OVER_COUNCIL_LOSS2           | Your raids, and your way of life, have come to an abrupt end...#The greatest threat to the culture of your people has finally been realized. After countless years of exploring space and conquering the stars, the various empires that comprise this galaxy have decided to forgo the feuds of the past and join together in a united co-existence they call the New Republic. And as all new ages deserve new leaders, the Galactic Council has chosen one to guide them into this new age. Suffice it to say, they did not choose you.#Though you tried your best hand at diplomacy, harmonious co-existence has never been the forte of your people. The distrust that came from your constant raids and the old wounds inflicted those subject to them caused your diplomatic standing among the council to become irrevocably tarnished. With the unity of the galaxy now a certainty that you cannot hope to circumvent, your raids for treasure and glory have now come to a permanent end. Your people must adapt to this new age, or die trying to do so...
GAME_OVER_REBELLION_LOSS2         | Your cherished treasures now free for the taking...#The days of your people plundering this galaxy of its most wondrous of treasures have come to an end. With the formation of the New Republic and the unifying of the galaxy under the banner of the [leader_race] race, you knew that the sacred rites of your people's culture would be doomed if you did not rebel against the coming of this misguided new age. But, whether in blind obedience to their new master or the fear of your people and the reputation they have earned throughout the galaxy, you fought this rebellion alone.#Your rivals knew they could not battle the armies of the Fiershan alone and walk away victorious and so instead pooled their resources and their fleets as they stood shoulder to shoulder against your rebellion. Though your people fought with the legendary tenacity that has inspired fear throughout the galaxy, neither they nor you could hope to outmatch the combined forces of the New Republic. Now your rebellion comes to a most unfortunate end, and all that is left for the victors is to claim your spoils for themselves...
GAME_OVER_REBELLION_WIN2          | The treasures of this galaxy are yours for the taking!#The time of the Khanates has at last begun. From the very beginning of your foray into the uncharted galaxy, you encountered space-faring civilizations who sought their own goals among the sea of stars. Yet despite their advanced cultures and technological innovations, all have now fallen before you and your unmatched ferocity. Initially you had been more than content to let these civilizations continue on as they had been, giving your people endless sources of breathtaking treasure to win for their own in your raids. But when they decided to form a new union in what was doubtlessly an attempt to prevent your people to continue their way of life, you took the only response fitting to those who would dare oppose you.#With your cunning, skill, and tenacity on the battlefield brought against the fleets of your rival empires, your rebellion against the new galactic order has ended in complete and total victory. The loot of thousands of worlds lies open and undefended, for those who had guarded it have been removed from your path with your own hands. Take them, Golden Khan! Add to your trove, and prepare your people for the loot that lies in galaxies beyond...
GAME_OVER_REBEL_ALLIANCE_WIN2     | The spoils of this galaxy for you and your allies...#It was an easy decision to raise your banner in rebellion against the New Republic. You knew the galaxy thought little of your people and of their way of life. As stories of your martial prowess and the terrifying raids you executed on rival empires spread throughout the galaxy, you knew that a united galactic order would pose an insurmountable threat to you once it had been formed. Like a true leader from the legends of your ancient people, you acted faster than others could anticipate and struck against this order in open war. And when you did, you prevented your enemies from finding the footing they would need to overwhelm the fleets of the Khanate.#To your great pleasure, you found others dissatisfied with the shape the future was beginning to take, and in an exchange for a small share of the spoils, you forged a new alliance that helped you assert dominance over the woefully ill-prepared forces that assembled themselves against you. Your rivals have been obliterated entirely, and the allies you made will stand no chance against your might should they ever cease to be useful to you. All that's left now is for you to take what you have fought so hard for...
