

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Armor
ARMOR_0_ITEM     | Titanium
ARMOR_0_BRIEF    | Hit Points %1
ARMOR_0_DETAIL   | Beginning armor technology. No bonuses to ship armor or ground attacks.

ARMOR_1_NAME     | Duralloy Armor
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Hit Points %1
ARMOR_1_DETAIL   | Increases the hit points of ships and transports by 50%. Personal combat armor is also enhanced, adding 5 to all ground attacks.

ARMOR_2_NAME     | Zortrium Armor
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Hit Points %1
ARMOR_2_DETAIL   | Increases the hit points of ships and transports by 100%. Personal combat armor is also enhanced, adding 10 to all ground attacks.

ARMOR_3_NAME     | Andrium Armor
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Hit Points %1
ARMOR_3_DETAIL   | Increases the hit points of ships and transports by 150%. Personal combat armor is also enhanced, adding 15 to all ground attacks.

ARMOR_4_NAME     | Tritanium Armor
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Hit Points %1
ARMOR_4_DETAIL   | Increases the hit points of ships and transports by 200%. Personal combat armor is also enhanced, adding 20 to all ground attacks.

ARMOR_5_NAME     | Adamantium Armor
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Hit Points %1
ARMOR_5_DETAIL   | Increases the hit points of ships and transports by 250%. Personal combat armor is also enhanced, adding 25 to all ground attacks.

ARMOR_6_NAME     | Neutronium Armor
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Hit Points %1
ARMOR_6_DETAIL   | Increases the hit points of ships and transports by 300%. Personal combat armor is also enhanced, adding 30 to all ground attacks.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Atmospheric Terraforming
ATMOSPHERE_0_DETAIL    | Converts Hostile environments to Normal environments for a cost of 150 BCs.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automated Repair System
AUTOREPAIR_0_BRIEF     | Heals 15% of ship's hits a turn
AUTOREPAIR_0_DETAIL    | Undestroyed ships can repair up to 15% of their total hit points at the end of each turn.

AUTOREPAIR_1_NAME      | Advanced Damage Control
AUTOREPAIR_1_BRIEF     | Heals 30% of ship's hits a turn
AUTOREPAIR_1_DETAIL    | Undestroyed ships can repair up to 30% of their total hit points at the end of each turn.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Attack Level 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Battle Computer Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Attack Level I
COMPUTER_1_DETAIL  | Increases weapon accuracy to Level 1.

COMPUTER_2_NAME    | Battle Computer Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Attack Level II
COMPUTER_2_DETAIL  | Increases weapon accuracy to Level 2.

COMPUTER_3_NAME    | Battle Computer Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Attack Level III
COMPUTER_3_DETAIL  | Increases weapon accuracy to Level 3.

COMPUTER_4_NAME    | Battle Computer Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Attack Level IV
COMPUTER_4_DETAIL  | Increases weapon accuracy to Level 4.

COMPUTER_5_NAME    | Battle Computer Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Attack Level V
COMPUTER_5_DETAIL  | Increases weapon accuracy to Level 5.

COMPUTER_6_NAME    | Battle Computer Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Attack Level VI
COMPUTER_6_DETAIL  | Increases weapon accuracy to Level 6.

COMPUTER_7_NAME    | Battle Computer Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Attack Level VII
COMPUTER_7_DETAIL  | Increases weapon accuracy to Level 7.

COMPUTER_8_NAME    | Battle Computer Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Attack Level VIII
COMPUTER_8_DETAIL  | Increases weapon accuracy to Level 8.

COMPUTER_9_NAME    | Battle Computer Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Attack Level IX
COMPUTER_9_DETAIL  | Increases weapon accuracy to Level 9.

COMPUTER_10_NAME   | Battle Computer Mark X
