// race-specific variables (must start with _)
_empire                           | Nazlok, Sarloks, Spyloks, Shadeloks, Nazloks
_empireof                         | du Nazlok, des Sarlols, des Spylols, des Shadeloks, des Nazloks
_raceadjec                        | Nazlokien, Sarlokien, Spylokien, Shadelokien, Nazlokien
_raceadjecF                       | Nazlokienne, Sarlokienne, Spylokienne, Shadelokienne, Nazlokienne
_race_pluralnoun                  | les Nazlokiens, les Sarlokiens, les Spylokiens, les Shadelokiens, les Nazlokiens
_race_pluralnounof                | des Nazlokiens, des Sarlokiens, des Spylokiens, des Shadelokiens, des Nazlokiens
_race_pluralnounto                | aux Nazlokiens, aux Sarlokiens, aux Spylokiens, aux Shadelokiens, aux Nazlokiens
_race_pluraladjec                 | Nazlokiens, Sarlokiens, Spylokiens, Shadelokiens, Nazlokiens
_race_pluraladjecF                | Nazlokiennes, Sarlokiennes, Spylokiennes, Shadelokiennes, Nazlokiennes

_title                            | l'Empereur
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Conseiller Nazlokien
MAIN_ADVISOR_BUTTON_OK            | Rejeter
MAIN_ADVISOR_SCOUT                | Nous avons terminé la construction d'une paire d'éclaireurs et d'un navire de colonie. Espérons que les réponses que nous cherchons se présentent sur un monde proche.
MAIN_ADVISOR_TRANSPORT            | Aucune réponse trouvée sur la planète %1. Nous devrions encore augmenter notre nombre là-bas en envoyant tous les transports dont nous pouvons disposer.
MAIN_ADVISOR_DIPLOMACY            | Des représentants d'un peuple originaire de ce plan se sont fait connaître. Nous devons faire tout notre possible pour apprendre toutes les réponses qu'ils possèdent.
MAIN_ADVISOR_SHIP_ENGIN	E         | Nous avons découvert un moyen de produire des moteurs plus efficaces. Nous devons parvenir à un consensus sur la meilleure façon de mettre à jour nos conceptions de navires pour utiliser cette nouvelle technologie.
MAIN_ADVISOR_RALLY_POINTS         | Un conflit inévitable a commencé ! Nos installations de production peuvent diriger leurs navires nouvellement construits pour se rallier à un seul monde et y former une flotte pour nous défendre des agresseurs.
MAIN_ADVISOR_MISSILE_BASES        | Nous avons trop perdu en venant dans cet univers pour en perdre plus maintenant : faites en sorte que nos colonies se protègent des ennemis en construisant autant de bases de missiles défensifs que possible.
MAIN_ADVISOR_SHIP_WEAPON          | Nous avons découvert une nouvelle technologie qui améliore les capacités offensives de nos navires spatiaux. Nous devons à nouveau décider comment mettre à jour nos conceptions de navires pour en profiter le plus rapidement possible.
MAIN_ADVISOR_COUNCIL              | Il y a des rumeurs d'un rassemblement connu sous le nom de Conseil Galactique qui se produira bientôt. Nos espions espèrent l'utiliser comme une opportunité de recueillir toutes les informations qu'ils peuvent. L'avenir de notre race en dépend !
MAIN_ADVISOR_REBELLION            | Les habitants de %1 ont-ils perdu la tête ?! Ils oublient que ce n'est qu'ensemble que nous pouvons triompher dans cet univers ! Il faut faire un exemple de cette rébellion immédiatement !
MAIN_ADVISOR_RESIST_COUNCIL       | Nos chances de succès ici ont toujours été minces. Lutter contre le Conseil Galactique et ses alliés n'entrave pas nos chances.
MAIN_ADVISOR_COUNCIL_RESISTED     | Nous avons travaillé trop longtemps pour plier ces imbéciles à notre volonté ! La rébellion contre nos dirigeants ne peut être tolérée ! Détruisez-les immédiatement !

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | La fin de votre quête, la fin de votre peuple...#Une tragédie inimaginable s'est abattue sur votre empire. Autrefois une race désespérée de découvrir les secrets de l'événement qui a précipité vos ancêtres de leur univers mourant dans cette dimension extraterrestre, votre civilisation est en ruine totale aux pieds d'habitants bien plus puissants que vous ne pourriez espérer vous opposer. S'ils avaient connu votre sort, ils auraient peut-être été plus miséricordieux, peut-être même vous aidant, ou du moins plus tolérants envers les moyens que vous avez utilisés pour parvenir à vos fins. Au lieu de cela, vous n'avez atteint que la mort prématurée de votre espèce alors que d'autres puissances continuent leur marche vers tout ce que l'avenir leur réserve.#Hélas que les Nazlokiens devraient rencontrer ce malheur ! Si vous aviez joué votre main différemment, votre peuple serait peut-être encore en vie et aurait peut-être même trouvé la clé qui vous permettrait d'amener le reste de votre race dans ce nouveau plan plus stable. Peut-être, cependant, vos cartes n'auraient-elles pas pu être mieux jouées : peut-être le destin avait-il simplement décidé de vous donner la main la plus malheureuse...
GAME_OVER_MILITARY_WIN2           | La première phase terminée, le vrai test commence...#Cette galaxie est à vous ! Tout comme votre peuple dominait l'univers d'où il venait, vous avez également écrasé la faible opposition de cette galaxie et revendiqué tout ce qu'elle contient comme étant le vôtre. Les tactiques que vous avez employées se sont avérées trop difficiles à vaincre pour vos ennemis, et la furtivité et le secret que vous avez employés pour obtenir leurs secrets l'ont été encore plus. Maintenant, alors que les dernières forteresses de vos ennemis tombent sous votre puissance, vous regardez les étoiles qui jonchent ce qui deviendra la résidence permanente des Nazlokiens.#Mais votre travail n'est pas encore près d'être terminé. Vous avez appris à vivre dans cette dimension extraterrestre et avez rendu toute une galaxie sûre pour que votre peuple puisse y habiter et prospérer. Cependant, les secrets de la faille interdimensionnelle qui a amené votre race ici en premier lieu n'ont pas encore été découverts, et chaque jour qui passe ici signifie que votre univers d'origine se rapproche de son effondrement inévitable. Et si l'un des empires que vous avez détruits avait déjà eu le secret, votre conquête militaire aurait pu s'avérer être votre ruine...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | La première phase terminée, le vrai test commence...#C'est maintenant l'heure de votre première vraie victoire ! Lorsque votre peuple a été jeté dans cette dimension, il l'a trouvée effrayante, étrangère et dangereuse. Mais plutôt que de se recroqueviller et de gagner leur vie du mieux qu'ils pouvaient, ils sont allés de l'avant avec audace, jurant de maîtriser les secrets de cette galaxie et de faire en sorte qu'ils puissent ramener le reste de votre peuple de leur plan mourant. En cours de route, des ennemis et des amis se sont faits, et le décor était planté pour le plus grand défi que votre peuple ait jamais connu.#Avec vos alliés, vous avez réussi à démanteler ceux qui s'opposeraient à vos objectifs et à les briser sur vos flottes comme la marée se brise contre le rivage. Désormais, seuls vous et vos amis proches restez, et grâce à la parenté qui ne peut être acquise qu'en partageant la victoire de la guerre, vous serez heureux d'aider vos alliés dans leurs fardeaux comme ils vous aideront dans les vôtres. Et une fois que votre peuple aura traversé les dimensions en toute sécurité et que votre véritable empire renaîtra, seuls ceux qui se sont montrés fidèles à votre cause pourront vivre dans un univers qui deviendra sans aucun doute le vôtre...
