// race-specific variables (must start with _)
_empire                    | La Corporation meklar, La Corporation mechanar, La Corporation cybernar
_race                      | Meklar, Mechanar, Cybernar

// Advisor text
MAIN_ADVISOR_TITLE         | Conseiller %1
MAIN_ADVISOR_BUTTON_OK     | Remercier
MAIN_ADVISOR_SCOUT         | Flotte prête pour l'exploration et la colonisation. En attente de l'ordre d'enclencher les opérations.
MAIN_ADVISOR_TRANSPORT     | Première colonie fondée sur un monde à proximité. Appellation: « 1% ». Possibilité d'accueil: %2 millions de population additionnelle. Possibilité d'y transférer de la population à partir de %3.
MAIN_ADVISOR_DIPLOMACY     | Nouvelle espèce détectée. Appellation: « 1% ». En attente des instructions de l'Unité Centrale.
MAIN_ADVISOR_SHIP_ENGINE   | Recherche en moyens de propulsion terminée. Consultez les ingénieurs des meilleurs nouveaux modèles à réaliser.
MAIN_ADVISOR_RALLY_POINTS  | Espèce « 1% » a agit de façon à entraver notre recherche du protocole d'immortalité. Créez un point de rassemblement pour centraliser la flotte et attaquez-les.
MAIN_ADVISOR_MISSILE_BASES | Demande de la section militaire: construisez des bases de missiles défensives sur la surface de mondes extérieurs. Permettra la défense des mondes d'agressions externes.
MAIN_ADVISOR_SHIP_WEAPON   | Recherche en armement à haute-puissance terminée. Consultez les ingénieurs des meilleurs nouveaux modèles à réaliser.
MAIN_ADVISOR_COUNCIL       | Annonce d'une convergence des empires interstellaires. Appellation: « Conseil Galactique ». Envoi d'une délégation pour affirmer la volonté de l'Unité Centrale. 


