// race-specific variables (must start with _)
_empire                           | Le Clan Fiershan, Le Clan Prrshan, Le Clan Mewshan, Le Clan Clawshan, Le Clan Hisshan
_empireof                         | du Clan Fiershan, du Clan Prrshan, du Clan Mewshan, du Clan Clawshan, du Clan Hisshan
_raceadjec                        | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_raceadjecF                       | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_race_pluralnoun                  | les Fiershan, les Prrshan, les Mewshan, les Clawshan, les Hisshan
_race_pluralnounof                | des Fiershan, des Prrshan, des Mewshan, des Clawshan, des Hisshan
_race_pluralnounto                | aux Fiershan, aux Prrshan, aux Mewshan, aux Clawshan, aux Hisshan
_race_pluraladjec                 | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_race_pluraladjecF                | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan

_title                            | le Khan
_nameTitle                        | le Khan



//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Conseiller Fiershan
MAIN_ADVISOR_BUTTON_OK            | Rejeter
MAIN_ADVISOR_SCOUT                | Ah-ha! Notre première flotte est prête ! Utilisons-la pour trouver un monde avec des ennemis qui ont beaucoup de trésors à prendre.
MAIN_ADVISOR_TRANSPORT            | Nous avons pris un nouveau territoire sur %1. Plus nous transporterons de %3, plus vite nous trouverons le butin de ce monde.
MAIN_ADVISOR_DIPLOMACY            | Nous avons pris contact avec une nouvelle race extraterrestre ! Vous pensez qu'ils se révéleront être de puissants ennemis, ou leurs trésors seront-ils faciles à cueillir ?
MAIN_ADVISOR_SHIP_ENGINE          | Nous avons trouvé un moyen d'améliorer nos moteurs et de rendre nos navires encore plus rapides ! Si nous les intégrons dans nos conceptions de navires, nos raids sur les mondes ennemis deviendront encore plus efficaces !
MAIN_ADVISOR_RALLY_POINTS         | Khan! La guerre est à nos portes ! Les Khanats honoreront leur engagement de s'unir à vous à ce moment-là, alors établissez un point de ralliement pour leur dire où envoyer leurs flottes !
MAIN_ADVISOR_MISSILE_BASES        | Les mondes périphériques sous notre contrôle sont vulnérables aux attaques ennemies ! Construisons des bases de missiles pour les empêcher de tomber entre les mains de l'ennemi.
MAIN_ADVISOR_SHIP_WEAPON          | Nous avons réussi à développer de nouvelles armes puissantes à utiliser sur nos navires. Ceux-ci provoqueront certainement une déroute parmi les forces de nos ennemis une fois que nous les aurons inclus dans nos conceptions de navires.
MAIN_ADVISOR_COUNCIL              | Une réunion de peuples sera bientôt à nos portes, mais ils disent que c'est pour la diplomatie au lieu de la guerre. Étrange, n'est-ce pas ? Pourtant, nous devrions assister à ce "Conseil Galactique", ne serait-ce que pour apaiser les empires les plus craintifs.
MAIN_ADVISOR_REBELLION            | Vous ne vous sentez pas bien, Khan ? Il y a une rébellion sur %1 et vous n'avez pas donné d'ordre pour les abattre.
MAIN_ADVISOR_RESIST_COUNCIL       | Pensaient-ils que nous allions simplement nous allonger et les laisser mettre la paix d'un lâche sur la galaxie comme ça ? Commençons les pillages, Khan : notre peuple a hâte de trouver un trésor ! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Those rebel fools refuse our ruling! Let's show 'em our dictum: the strong take, the weak give! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
