

//
// Armor techs
// 
ARMOR_0_NAME     | Armure en Titane
ARMOR_0_ITEM     | Titane
ARMOR_0_BRIEF    | Point de Vie %1
ARMOR_0_DETAIL   | Technologie d'armure débutante. Aucun bonus au blindage du navire ou aux attaques au sol.

ARMOR_1_NAME     | Armure en Duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Point de Vie %1
ARMOR_1_DETAIL   | Augmente les points de vie des navires et des transports de 50 %. L'armure de combat personnelle est également améliorée, ajoutant 5 à toutes les attaques au sol.

ARMOR_2_NAME     | Armure en Zortrium
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Point de Vie %1
ARMOR_2_DETAIL   | Augmente les points de vie des navires et des transports de 100 %. L'armure de combat personnelle est également améliorée, ajoutant 10 à toutes les attaques au sol.

ARMOR_3_NAME     | Armure en Andrium
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Point de Vie %1
ARMOR_3_DETAIL   | Augmente les points de vie des navires et des transports de 150 %. L'armure de combat personnelle est également améliorée, ajoutant 15 à toutes les attaques au sol.

ARMOR_4_NAME     | Armure en Tritane
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Point de Vie %1
ARMOR_4_DETAIL   | Augmente les points de vie des navires et des transports de 200%.  L'armure de combat personnelle est également améliorée, ajoutant 20 à toutes les attaques au sol.

ARMOR_5_NAME     | Armure en Adamantium
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Point de Vie %1
ARMOR_5_DETAIL   | Augmente les points de vie des navires et des transports de 250%. L'armure de combat personnelle est également améliorée, ajoutant 25 à toutes les attaques au sol.

ARMOR_6_NAME     | Armure en Neutronium
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Point de Vie %1
ARMOR_6_DETAIL   | Augmente les points de vie des navires et des transports de 300%. L'armure de combat personnelle est également améliorée, ajoutant 30 à toutes les attaques au sol.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformation atmosphérique
ATMOSPHERE_0_DETAIL    | Convertit les environnements hostiles en environnements normaux pour un coût de 150 BC.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Système de réparation automatisé
AUTOREPAIR_0_BRIEF     | Soigne 15 % des coups du navire par tour
AUTOREPAIR_0_DETAIL    | Les navires non détruits peuvent réparer jusqu'à 15 % de leurs points de vie totaux à la fin de chaque tour.

AUTOREPAIR_1_NAME      | Contrôle avancé des dommages
AUTOREPAIR_1_BRIEF     | Soigne 30 % des coups du navire par tour
AUTOREPAIR_1_DETAIL    | Les navires non détruits peuvent réparer jusqu'à 30 % de leurs points de vie totaux à la fin de chaque tour.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Niveau d'attaque 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Ordinateur de Combat Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Niveau d'attaque I
COMPUTER_1_DETAIL  | Augmente la précision de l'arme au niveau 1.

COMPUTER_2_NAME    | Ordinateur de Combat Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Niveau d'attaque II
COMPUTER_2_DETAIL  | Augmente la précision de l'arme au niveau 2.

COMPUTER_3_NAME    | Ordinateur de Combat Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Niveau d'attaque III
COMPUTER_3_DETAIL  | Augmente la précision de l'arme au niveau 3.

COMPUTER_4_NAME    | Ordinateur de Combat Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Niveau d'attaque IV
COMPUTER_4_DETAIL  | Augmente la précision de l'arme au niveau 4.

COMPUTER_5_NAME    | Ordinateur de Combat Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Niveau d'attaque V
COMPUTER_5_DETAIL  | Augmente la précision de l'arme au niveau 5.

COMPUTER_6_NAME    | Ordinateur de Combat Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Niveau d'attaque VI
COMPUTER_6_DETAIL  | Augmente la précision de l'arme au niveau 6.

COMPUTER_7_NAME    | Ordinateur de Combat Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Niveau d'attaque VII
COMPUTER_7_DETAIL  | Augmente la précision de l'arme au niveau 7.

COMPUTER_8_NAME    | Ordinateur de Combat Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Niveau d'attaque VIII
COMPUTER_8_DETAIL  | Augmente la précision de l'arme au niveau 8.

COMPUTER_9_NAME    | Ordinateur de Combat Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Niveau d'attaque IX
