//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Milyen típusú technológiák érdekelnek?
DIPLO_TECH_COUNTER_MENU_01   | Mit kínáltok cserébe?
DIPLO_TRADE_MENU_01          | Kereskedelmi megállapodást javaslsz a következőért:
DIPLO_TREATY_MENU_01         | Mit szeretnél csinálni?
DIPLO_THREATEN_MENU_01       | Mit fenyegetsz?
DIPLO_DECLARE_WAR_MENU_01    | Biztosan szeretnél háborút indítani?
DIPLO_JOINT_WAR_MENU_01      | Kinek hirdessünk háborút?
DIPLO_BREAK_ALLIANCE_MENU_01 | Melyik szövetségnek vessünk véget?
DIPLO_OFFER_AID_MENU_01      | Mit szeretnél adományozni?
DIPLO_OFFER_TECH_MENU_01     | Mit szeretnél ajándékozni?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] visszautasítja az ajánlatot.
DECLINE_OFFER_02           | [my_race_possessive_prefix_uppercase] megfontolták az ajánlatot, és elutasították.
DECLINE_OFFER_03           | Tisztelettel utasítjuk vissza az ajánlatot.
DECLINE_OFFER_04           | Jelen pillanatban nem tartunk erre igényt.
DECLINE_OFFER_05           | [my_race_possessive_prefix_uppercase] nem tartják tisztességesnek az ajánlatot.
DECLINE_OFFER_06           | Nem a legjobb érdekünket szolgálná, ha elfogadnánk e ajánlatot.
DECLINE_OFFER_07           | Talán hiszékeny bolondoknak néztek minket? Az ajánlatot elutasítjuk.
DECLINE_OFFER_08           | Eme ajánlat nem tűnik tisztességesnek számunkra.
DECLINE_OFFER_09           | Attól tartunk, hogy az ajánlatot vissza kell utasítanunk.

DECLINE_ENEMY_ALLY_01      | [my__race_possessive_prefix_uppercase] soha nem alkudoznának a gyűlölt [other_race_possessive] szövetségeseivel!
DECLINE_ALREADY_ALLIED_01  | [my_race_possessive_prefix_uppercase] és a szövetségeseink nem vehetjük figyelembe e kérést mindaddig, amíg ti más birodalmakkal vagytok szövetségben.
DECLINE_NO_WAR_ON_ALLY_01  | Nem fogunk hadat üzenni a szövetségeseinknek.
DECLINE_PEACE_TREATY_01    | Nem fogjuk megtörni [other_race_relational_prefix_lowercase] kötött békeszerződésünket.

DECLINE_ANNOYED_01         | [your_race_prefix_uppercase] lények tettei nem érnek fel hencegésükkel. Elegünk van a csacsogásotokból.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], ön próbára teszi a türelmünket. Talán csak később kellene újra megszólalnia.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] császár eleget hallott. Később újra beszélünk.
DECLINE_ANNOYED_02         | Belefáradtunk a diplomáciai tárgyalásokba. A megbeszéléseket folytathatjuk később.
DECLINE_ANNOYED_02         | Sehová sem jutunk ezekkel a beszélgetésekkel. Most el kell búcsúznunk.
DECLINE_ANNOYED_02         | Mi most elmegyünk.
