// race-specific variables (must start with _)
_empire                           | Ursinati Birodalom, Medve Birodalom, Burlati Birodalom, Nagymancs Birodalom, Grizzlati Birodalom
_empire_prefix_lowercase                           | az Ursinati Birodalom, a Medve Birodalom, a Burlati Birodalom, a Nagymancs Birodalom, a Grizzlati Birodalom
_empire_prefix_uppercase                           | Az Ursinati Birodalom, A Medve Birodalom, A Burlati Birodalom, A Nagymancs Birodalom, A Grizzlati Birodalom
_empire_originating_prefix_lowercase                           | az Ursinati Birodalomból, a Medve Birodalomból, a Burlati Birodalomból, a Nagymancs Birodalomból, a Grizzlati Birodalomból
_empire_taking_prefix_lowercase                           | az Ursinati Birodalomtól, a Medve Birodalomtól, a Burlati Birodalomtól, a Nagymancs Birodalomtól, a Grizzlati Birodalomtól
_empire_relational                           | Ursinati Birodalommal, Medve Birodalommal, Burlati Birodalommal, Nagymancs Birodalommal, Grizzlati Birodalommal
_empire_relational_prefix_lowercase                           | az Ursinati Birodalommal, a Medve Birodalommal, a Burlati Birodalommal, a Nagymancs Birodalommal, a Grizzlati Birodalommal
_empire_giving_prefix_lowercase                           | az Ursinati Birodalomnak, a Medve Birodalomnak, a Burlati Birodalomnak, a Nagymancs Birodalomnak, a Grizzlati Birodalomnak
_empire_giving_prefix_uppercase                           | Az Ursinati Birodalomnak, A Medve Birodalomnak, A Burlati Birodalomnak, A Nagymancs Birodalomnak, A Grizzlati Birodalomnak
_empire_addressing_prefix_lowercase                           | az Ursinati Birodalmat, a Medve Birodalmat, a Burlati Birodalmat, a Nagymancs Birodalmat, a Grizzlati Birodalmat
_empire_approaching_prefix_lowercase                           | az Ursinati Birodalomhoz, a Medve Birodalomhoz, a Burlati Birodalomhoz, a Nagymancs Birodalomhoz, a Grizzlati Birodalomhoz
_empire_lean_prefix_lowercase                           | az Ursinati Birodalomra, a Medve Birodalomra, a Burlati Birodalomra, a Nagymancs Birodalomra, a Grizzlati Birodalomra
_empire_containing_prefix_lowercase                           | az Ursinati Birodalomban, a Medve Birodalomban, a Burlati Birodalomban, a Nagymancs Birodalomban, a Grizzlati Birodalomban
_empire_within_prefix_lowercase                           | az Ursinati Birodalmon, a Medve Birodalmon, a Burlati Birodalmon, a Nagymancs Birodalmon, a Grizzlati Birodalmon

_race                           | Ursinati, Medve, Burlati, Nagymancs, Grizzlati
_race_prefix_lowercase                           | az Ursinati, a Medve, a Burlati, a Nagymancs, a Grizzlati
_race_prefix_uppercase                           | Az Ursinati, A Medve, A Burlati, A Nagymancs, A Grizzlati
_race_whose_lowercase                           | ursinati, medvei, burlati, nagymancsi, grizzlati
_race_whose_uppercase                           | Ursinati, Medvei, Burlati, Nagymancsi, Grizzlati
_race_whose_prefix_lowercase                           | az ursinati, a medvei, a burlati, a nagymancsi, a grizzlati
_race_whose_prefix_uppercase                           | Az ursinati, A medvei, A burlati, A nagymancsi, A grizzlati
_race_possessive                           | Ursinatik, Medvék, Burlatik, Nagymancsok, Grizzlatik
_race_possessive_prefix_lowercase                           | az Ursinatik, a Medvék, a Burlatik, a Nagymancsok, a Grizzlatik
_race_possessive_prefix_uppercase                           | Az Ursinatik, A Medvék, A Burlatik, A Nagymancsok, A Grizzlatik
_race_relational                           | Ursinatikkal, Medvékkel, Burlatikkal, Nagymancsokkal, Grizzlatikkal
_race_relational_prefix_lowercase                           | az Ursinatikkal, a Medvékkel, a Burlatikkal, a Nagymancsokkal, a Grizzlatikkal
_race_giving                           | Ursinatiknak, Medvéknek, Burlatiknak, Nagymancsoknak, Grizzlatiknak
_race_giving_prefix_lowercase                           | az Ursinatiknak, a Medvéknek, a Burlatiknak, a Nagymancsoknak, a Grizzlatiknak
_race_regarding                           | Ursinatikat, Medvéket, Burlatikat, Nagymancsokat, Grizzlatikat
_race_regarding_prefix_lowercase                           | az Ursinatikat, a Medvéket, a Burlatikat, a Nagymancsokat, a Grizzlatikat
_race_taking_prefix_lowercase                           | az Ursinatiktól, a Medvéktől, a Burlatiktól, a Nagymancsoktól, a Grizzlatiktól
_race_approaching_prefix_lowercase                           | az Ursinatikhoz, a Medvékhez, a Burlatikhoz, a Nagymancsokhoz, a Grizzlatikhoz

_title                            | Nagy Hierarcha
_nameTitle                        | Nagy Hierarcha


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Ursinati Tanácsadó
MAIN_ADVISOR_BUTTON_OK            | Rendben
MAIN_ADVISOR_SCOUT                | 
