// race-specific variables (must start with _)
_empire                           | Nazlok, Sarlok, Siplok, Sadelok, Dralok
_empire_prefix_lowercase                           | a Nazlok, a Sarlok, a Siplok, a Sadelok, a Dralok
_empire_prefix_uppercase                           | A Nazlok, A Sarlok, ASiplok, A Sadelok, A Dralok
_empire_originating_prefix_lowercase                           | a Nazlokból, a Sarlokból, a Siplokból, a Sadelokból, a Dralokból
_empire_taking_prefix_lowercase                           | a Nazloktól, a Sarloktól, a Siploktól, a Sadeloktól, a Draloktól
_empire_relational                           | Nazlokkal, Sarlokkal, Siplokkal, Sadelokkal, Dralokkal
_empire_relational_prefix_lowercase                           | a Nazlokkal, a Sarlokkal, a Siplokkal, a Sadelokkal, a Dralokkal
_empire_giving_prefix_lowercase                           | a Nazloknak, a Sarloknak, a Siploknak, a Sadeloknak, a Draloknak
_empire_giving_prefix_uppercase                           | A Nazloknak, A Sarloknak, A Siploknak, A Sadeloknak, A Draloknak
_empire_addressing_prefix_lowercase                           | a Nazlokot, a Sarlokot, a Siplokot, a Sadelokot, a Dralokot
_empire_approaching_prefix_lowercase                           | a Nazlokhoz, a Sarlokhoz, a Siplokhoz a Sadelokhoz, a Dralokhoz
_empire_lean_prefix_lowercase                           | a Nazlokra, a Sarlokra, a Siplokra a Sadelokra, a Dralokra
_empire_containing_prefix_lowercase                           | a Nazlokban, a Sarlokban, a Siplokban a Sadelokban, a Dralokban
_empire_within_prefix_lowercase                           | a Nazlokon, a Sarlokonn, a Siplokon a Sadelokon, a Dralokon

_race                           | Nazlok, Sarlok, Siplok, Sadelok, Dralok
_race_prefix_lowercase                           | a Nazlok, a Sarlok, a Siplok, a Sadelok, a Dralok
_race_prefix_uppercase                           | A Nazlok, A Sarlok, ASiplok, A Sadelok, A Dralok
_race_whose_lowercase                           | nazloki, sarloki, siploki, sadeloki, draloki
_race_whose_uppercase                           | Nazloki, Sarloki, Siploki, Sadeloki, Draloki
_race_whose_prefix_lowercase                           | a nazloki, a sarloki, a siploki, a sadeloki, a draloki
_race_whose_prefix_uppercase                           | A nazloki, A sarloki, A siploki, A sadeloki, A draloki
_race_possessive                           | Nazlokok, Sarlokok, Siplokok, Sadelokok, Dralokok
_race_possessive_prefix_lowercase                           | a Nazlokok, a Sarlokok, a Siplokok, a Sadelokok, a Dralokok
_race_possessive_prefix_uppercase                           | A Nazlokok, A Sarlokok, A Siplokok, A Sadelokok, A Dralokok
_race_relational                           | Nazlokokkal, Sarlokokkal, Siplokokkal, Sadelokokkal, Dralokokkal
_race_relational_prefix_lowercase                           | a Nazlokokkal, a Sarlokokkal, a Siplokokkal, a Sadelokokkal, a Dralokokkal
_race_giving                           | Nazlokoknak, Sarlokoknak, Siplokoknak, Sadelokoknak, Dralokoknak
_race_giving_prefix_lowercase                           | a Nazlokoknak, a Sarlokoknak, a Siplokoknak, a Sadelokoknak, a Dralokoknak
_race_regarding                           | Nazlokokat, Sarlokokat, Siplokokat, Sadelokokat, Dralokokat
_race_regarding_prefix_lowercase                           | a Nazlokokat, a Sarlokokat, a Siplokokat, a Sadelokokat, a Dralokokat
_race_taking_prefix_lowercase                           | a Nazlokoktól, a Sarlokoktól, a Siplokoktól, a Sadelokoktól, a Dralokoktól
_race_approaching_prefix_lowercase                           | a Nazlokokhoz, a Sarlokokhoz, a Siplokokhoz, a Sadelokokhoz, a Dralokokhoz

_title                            | uralkodó
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Nazlok Tanácsadó
MAIN_ADVISOR_BUTTON_OK            | Rendben
MAIN_ADVISOR_SCOUT                | 
