// race-specific variables (must start with _)
_empire                           | Koldan Kaptár, Klakant Kaptár, Klokan Kaptár, Artropon Kaptár, Koleopteron Kaptár
_empire_prefix_lowercase                           | a Koldan Kaptár, a Klakant Kaptár, a Klokan Kaptár, az Artropon Kaptár, a Koleopteron Kaptár
_empire_prefix_uppercase                           | A Koldan Kaptár, A Klakant Kaptár, A Klokan Kaptár, Az Artropon Kaptár, A Koleopteron Kaptár
_empire_originating_prefix_lowercase                           | a Koldan Kaptárból, a Klakant Kaptárból, a Klokan Kaptárból, az Artropon Kaptárból, a Koleopteron Kaptárból
_empire_taking_prefix_lowercase                           | a Koldan Kaptártól, a Klakant Kaptártól, a Klokan Kaptártól, az Artropon Kaptártól, a Koleopteron Kaptártól
_empire_relational                           | Koldan Kaptárral, Klakant Kaptárral, Klokan Kaptárral, Artropon Kaptárral, Koleopteron Kaptárral
_empire_relational_prefix_lowercase                           | a Koldan Kaptárral, a Klakant Kaptárral, a Klokan Kaptárral, az Artropon Kaptárral, a Koleopteron Kaptárral
_empire_giving_prefix_lowercase                           | a Koldan Kaptárnak, a Klakant Kaptárnak, a Klokan Kaptárnak, az Artropon Kaptárnak, a Koleopteron Kaptárnak
_empire_giving_prefix_uppercase                           | A Koldan Kaptárnak, A Klakant Kaptárnak, A Klokan Kaptárnak, Az Artropon Kaptárnak, A Koleopteron Kaptárnak
_empire_addressing_prefix_lowercase                           | a Koldan Kaptárt, a Klakant Kaptárt, a Klokan Kaptárt, az Artropon Kaptárt, a Koleopteron Kaptárt
_empire_approaching_prefix_lowercase                           | a Koldan Kaptárhoz, a Klakant Kaptárhoz, a Klokan Kaptárhoz, az Artropon Kaptárhoz, a Koleopteron Kaptárhoz
_empire_lean_prefix_lowercase                           | a Koldan Kaptárra, a Klakant Kaptárra, a Klokan Kaptárra, az Artropon Kaptárra, a Koleopteron Kaptárra
_empire_containing_prefix_lowercase                           | a Koldan Kaptárban, a Klakant Kaptárban, a Klokan Kaptárban, az Artropon Kaptárban, a Koleopteron Kaptárban
_empire_within_prefix_lowercase                           | a Koldan Kaptáron, a Klakant Kaptáron, a Klokan Kaptáron, az Artropon Kaptáron, a Koleopteron Kaptáron

_race                           | Koldan, Klakant, Klokan, Artropon, Koleopteron
_race_prefix_lowercase                           | a Koldan, a Klakant, a Klokan, az Artropon, a Koleopteron
_race_prefix_uppercase                           | A Koldan, Aa Klakant, A Klokan, Az Artropon, A Koleopteron
_race_whose_lowercase                           | koldani, klakanti, klokani, artroponi, koleopteroni
_race_whose_uppercase                           | Koldani, Klakanti, Klokani, Artroponi, Koleopteroni
_race_whose_prefix_lowercase                           | a koldani, a klakanti, a klokani, az artroponi, a koleopteroni
_race_whose_prefix_uppercase                           | A koldani, A klakanti, A klokani, Az artroponi, A koleopteroni
_race_possessive                           | Koldanok, Klakantok, Klokanok, Artroponok, Koleopteronok
_race_possessive_prefix_lowercase                           | a  Koldanok, a Klakantok, a Klokanok, az Artroponok, a Koleopteronok
_race_possessive_prefix_uppercase                           | A  Koldanok, A Klakantok, A Klokanok, Az Artroponok, A Koleopteronok
_race_relational                           | Koldanokkal, Klakantokkal, Klokanokkal, Artroponokkal, Koleopteronokkal
_race_relational_prefix_lowercase                           | a Koldanokkal, a Klakantokkal, a Klokanokkal, az Artroponokkal, a Koleopteronokkal
_race_giving                           | Koldanoknak, Klakantoknak, Klokanoknak, Artroponoknak, Koleopteronoknak
_race_giving_prefix_lowercase                           | a Koldanoknak, a Klakantoknak, a Klokanoknak, az Artroponoknak, a Koleopteronoknak
_race_regarding                           | Koldanokat, Klakantokat, Klokanokat, Artroponokat, Koleopteronokat
_race_regarding_prefix_lowercase                           | a Koldanokat, a Klakantokat, a Klokanokat, az Artroponokat, a Koleopteronokat
_race_taking_prefix_lowercase                           | a Koldanoktól, a Klakantoktól, a Klokanoktól, az Artroponoktól, a Koleopteronoktól
_race_approaching_prefix_lowercase                           | a Koldanokhoz, a Klakantokhoz, a Klokanokhoz, az Artroponokhoz, a Koleopteronokhoz

_title                            | uralkodó
_nameTitle                        | 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
