// race-specific variables (must start with _)
_empire                           | Meklonár Domínium, Mechanár Domínium, Kibernár Domínium, Digitár Domínium, Technár Domínium
_empire_prefix_lowercase                           | a Meklonár Domínium, a Mechanár Domínium, a Kibernár Domínium, a Digitár Domínium, a Technár Domínium
_empire_prefix_uppercase                           | A Meklonár Domínium, A Mechanár Domínium, A Kibernár Domínium, A Digitár Domínium, A Technár Domínium
_empire_originating_prefix_lowercase                           | a Meklonár Domíniumból, a Mechanár Domíniumból, a Kibernár Domíniumból, a Digitár Domíniumból, a Technár Domíniumból
_empire_taking_prefix_lowercase                           | a Meklonár Domíniumtól, a Mechanár Domíniumtól, a Kibernár Domíniumtól, a Digitár Domíniumtól, a Technár Domíniumtól
_empire_relational                           | Meklonár Domíniummal, Mechanár Domíniummal, Kibernár Domíniummal, Digitár Domíniummal, Technár Domíniummal
_empire_relational_prefix_lowercase                           | a Meklonár Domíniummal, a Mechanár Domíniummal, a Kibernár Domíniummal, a Digitár Domíniummal, a Technár Domíniummal
_empire_giving_prefix_lowercase                           | a Meklonár Domíniumnak, a Mechanár Domíniumnak, a Kibernár Domíniumnak, a Digitár Domíniumnak, a Technár Domíniumnak
_empire_giving_prefix_uppercase                           | A Meklonár Domíniumnak, A Mechanár Domíniumnak, A Kibernár Domíniumnak, A Digitár Domíniumnak, A Technár Domíniumnak
_empire_addressing_prefix_lowercase                           | a Meklonár Domíniumot, a Mechanár Domíniumot, a Kibernár Domíniumot, a Digitár Domíniumot, a Technár Domíniumot
_empire_approaching_prefix_lowercase                           | a Meklonár Domíniumhoz, a Mechanár Domíniumhoz, a Kibernár Domíniumhoz, a Digitár Domíniumhoz, a Technár Domíniumhoz
_empire_lean_prefix_lowercase                           | a Meklonár Domíniumra, a Mechanár Domíniumra, a Kibernár Domíniumra, a Digitár Domíniumra, a Technár Domíniumra
_empire_containing_prefix_lowercase                           | a Meklonár Domíniumban, a Mechanár Domíniumban, a Kibernár Domíniumban, a Digitár Domíniumban, a Technár Domíniumban
