// race-specific variables (must start with _)
_empire                           | Vadkán Klán, Purzsán Klán, Mjúcsán Klán, Karomkán Klán, Dorombozsán Klán
_empire_prefix_lowercase                           | a Vadkán Klán, a Purzsán Klán, a Mjúcsán Klán, a Karomkán Klán, a Dorombozsán Klán
_empire_prefix_uppercase                           | A Vadkán Klán, A Purzsán Klán, A Mjúcsán Klán, A Karomkán Klán, A Dorombozsán Klán
_empire_originating_prefix_lowercase                           | a Vadkán Klánból, a Purzsán Klánból, a Mjúcsán Klánból, a Karomkán Klánból, a Dorombozsán Klánból
_empire_taking_prefix_lowercase                           | a Vadkán Klántól, a Purzsán Klántól, a Mjúcsán Klántól, a Karomkán Klántól, a Dorombozsán Klántól
_empire_relational                           | Vadkán Klánnal, Purzsán Klánnal, Mjúcsán Klánnal, Karomkán Klánnal, Dorombozsán Klánnal
_empire_relational_prefix_lowercase                           | a Vadkán Klánnal, a Purzsán Klánnal, a Mjúcsán Klánnal, a Karomkán Klánnal, a Dorombozsán Klánnal
_empire_giving_prefix_lowercase                           | a Vadkán Klánnak, a Purzsán Klánnak, a Mjúcsán Klánnak, a Karomkán Klánnak, a Dorombozsán Klánnak
_empire_giving_prefix_uppercase                           | A Vadkán Klánnak, A Purzsán Klánnak, A Mjúcsán Klánnak, A Karomkán Klánnak, A Dorombozsán Klánnak
_empire_addressing_prefix_lowercase                           | a Vadkán Klánt, a Purzsán Klánt, a Mjúcsán Klánt, a Karomkán Klánt, a Dorombozsán Klánt
_empire_approaching_prefix_lowercase                           | a Vadkán Klánhoz, a Purzsán Klánhoz, a Mjúcsán Klánhoz, a Karomkán Klánhoz, a Dorombozsán Klánhoz
_empire_lean_prefix_lowercase                           | a Vadkán Klánra, a Purzsán Klánra, a Mjúcsán Klánra, a Karomkán Klánra, a Dorombozsán Klánra
_empire_containing_prefix_lowercase                           | a Vadkán Klánban, a Purzsán Klánban, a Mjúcsán Klánban, a Karomkán Klánban, a Dorombozsán Klánban
_empire_within_prefix_lowercase                           | a Vadkán Klánon, a Purzsán Klánon, a Mjúcsán Klánon, a Karomkán Klánon, a Dorombozsán Klánon

_race                           | Vadkán, Purzsán, Mjúcsán, Karomkán, Dorombozsán
_race_prefix_lowercase                           | a Vadkán, a Purzsán, a Mjúcsán, a Karomkán, a Dorombozsán
_race_prefix_uppercase                           | A Vadkán, A Purzsán, A Mjúcsán, A Karomkán, A Dorombozsán
_race_whose_lowercase                           | vadkáni, purzsáni, mjúcsáni, karomkáni, dorombozsáni
_race_whose_uppercase                           | Vadkáni, Purzsáni, Mjúcsáni, Karomkáni, Dorombozsáni
_race_whose_prefix_lowercase                           | a vadkáni, a purzsáni, a mjúcsáni, a karomkáni, a dorombozsáni
_race_whose_prefix_uppercase                           | A vadkáni, A purzsáni, A mjúcsáni, A karomkáni, A dorombozsáni
_race_possessive                           | Vadkánok, Purzsánok, Mjúcsánok, Karomkánok, Dorombozsánok
_race_possessive_prefix_lowercase                           | a Vadkánok, a Purzsánok, a Mjúcsánok, a Karomkánok, a Dorombozsánok
_race_possessive_prefix_uppercase                           | A Vadkánok, A Purzsánok, A Mjúcsánok, A Karomkánok, A Dorombozsánok
_race_relational                           | Vadkánokkal, Purzsánokkal, Mjúcsánokkal, Karomkánokkal, Dorombozsánokkal
_race_relational_prefix_lowercase                           | a Vadkánokkal, a Purzsánokkal, a Mjúcsánokkal, a Karomkánokkal, a Dorombozsánokkal
_race_giving                           | Vadkánoknak, Purzsánoknak, Mjúcsánoknak, Karomkánoknak, Dorombozsánoknak
_race_giving_prefix_lowercase                           | a Vadkánoknak, a Purzsánoknak, a Mjúcsánoknak, a Karomkánoknak, a Dorombozsánoknak
_race_regarding                           | Vadkánokat, Purzsánokat, Mjúcsánokat, Karomkánokat, Dorombozsánokat
_race_regarding_prefix_lowercase                           | a Vadkánokat, a Purzsánokat, a Mjúcsánokat, a Karomkánokat, a Dorombozsánokat
_race_taking_prefix_lowercase                           | a Vadkánoktól, a Purzsánoktól, a Mjúcsánoktól, a Karomkánoktól, a Dorombozsánoktól
_race_approaching_prefix_lowercase                           | a Vadkánokhoz, a Purzsánokhoz, a Mjúcsánokhoz, a Karomkánokhoz, a Dorombozsánokhoz

_title                            | Kán
_nameTitle                        | Kán

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Vadkán tanácsadó
MAIN_ADVISOR_BUTTON_OK            | Rendben
MAIN_ADVISOR_SCOUT                | Ah-ha! Elkészült az első flottánk! Használjuk fel egy olyan világ felderítésére, amely teli van ellenségekkel, akiknek sok erabolható kincsük van!
MAIN_ADVISOR_TRANSPORT            |Új területet foglaltunk el a friss %1 gyarmaton. Minél többet szállítunk át népünkből a jól ismert %3 gyarmatról, annál gyorsabban találjuk meg az új világ zsákmányát!
MAIN_ADVISOR_DIPLOMACY            | Felvettük a kapcsolatot egy új idegen fajjal! Szerinted erős ellenségnek bizonyulnak, vagy kincseik könnyen elkobozhatók lesznek?
MAIN_ADVISOR_SHIP_ENGINE          | Megtaláltuk a módját, hogy felfejlszzük a meghajtóinkat és még gyorsabbá tegyük hajóinkat! Ha beiktatjuk őket a hajóterveinkbe, az ellenséges világok elleni rajtaütéseink még hatékonyabbak lesznek!
MAIN_ADVISOR_RALLY_POINTS         | Kán! Háborúban vagyunk! A Kánságok tiszteletben tartják fogadalmukat, hogy egyesülnek alattad, ezért állíts össze egy gyülekezőpontot, és mondd meg nekik, hova küldjék flottáikat!
MAIN_ADVISOR_MISSILE_BASES        | Az irányításunk alatt lévő peremvilágok ki vannak téve az ellenséges támadásoknak! Építsünk rakétabázisokat, hogy ne kerüljenek az ellenség kezébe.
MAIN_ADVISOR_SHIP_WEAPON          | Sikerült új, erőteljes fegyvereket kifejlesztenünk az űrhajóinkra! Ezekkel minden bizonnyal szétzúzzuk az ellenségeink erőit, ha egyszer befoglaljuk őket a hajóterveinkbe.
MAIN_ADVISOR_COUNCIL              | Hamarosan népek találkozója lesz, de azt mondják, hogy ez a diplomáciáról fog szólni s nem háborúról! Furcsa, nem? Mégis, részt kellene vennünk ebben a "Galaktikus Tanácsban", ha másért nem, akkor azért, hogy kiengesztelhessük a kacérkodóbb birodalmakat.
MAIN_ADVISOR_REBELLION            | Rosszul érzed magad, Kán? Lázadás van a vacak %1 gyarmaton és még nem adtál parancsot, hogy kinyúvasszuk őket.
MAIN_ADVISOR_RESIST_COUNCIL       | Azt gondolták, hogy dorombolva hagyjuk, hogy a gyávák békéjével leplezzék a galaxist?! Kezdjük a portyákat, Kán: népünk valami kincs után vágyakozik!
MAIN_ADVISOR_COUNCIL_RESISTED     | Azok a lázadó bolondok megtagadják az ítéletünket! Mutassuk meg nekik mit jelent gyakorlatban a közmondásunk: az erős kap, a gyenge ad!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
