// race-specific variables (must start with _)
_empire                           | Ssslaura Konklávé, Reptarán Konklávé, Saurán Konklávé, Raptorán Konklávé, Tyrranán Konklávé
_empire_prefix_lowercase                           | a Ssslaura Konklávé, a Reptarán Konklávé, a Saurán Konklávé, a Raptorán Konklávé, a Tyrranán Konklávé
_empire_prefix_uppercase                           | A Ssslaura Konklávé, A Reptarán Konklávé, A Saurán Konklávé, A Raptorán Konklávé, A Tyrranán Konklávé
_empire_originating_prefix_lowercase                           | a Ssslaura Konklávéból, a Reptarán Konklávéból, a Saurán Konklávéból, a Raptorán Konklávéból, a Tyrranán Konklávéból
_empire_taking_prefix_lowercase                           | a Ssslaura Konklávétól, a Reptarán Konklávétól, a Saurán Konklávétól, a Raptorán Konklávétól, a Tyrranán Konklávétól
_empire_relational                           | Ssslaura Konklávéval, Reptarán Konklávéval, Saurán Konklávéval, Raptorán Konklávéval, Tyrranán Konklávéval
_empire_relational_prefix_lowercase                           | a Ssslaura Konklávéval, a Reptarán Konklávéval, a Saurán Konklávéval, a Raptorán Konklávéval, a Tyrranán Konklávéval
_empire_giving_prefix_lowercase                           | a Ssslaura Konklávénak, a Reptarán Konklávénak, a Saurán Konklávénak, a Raptorán Konklávénak, a Tyrranán Konklávénak
_empire_giving_prefix_uppercase                           | A Ssslaura Konklávénak, A Reptarán Konklávénak, A Saurán Konklávénak, A Raptorán Konklávénak, A Tyrranán Konklávénak
_empire_addressing_prefix_lowercase                           | a Ssslaura Konklávét, a Reptarán Konklávét, a Saurán Konklávét, a Raptorán Konklávét, a Tyrranán Konklávét
_empire_approaching_prefix_lowercase                           | a Ssslaura Konklávéhoz, a Reptarán Konklávéhoz, a Saurán Konklávéhoz, a Raptorán Konklávéhoz, a Tyrranán Konklávéhoz
_empire_lean_prefix_lowercase                           | a Ssslaura Konklávéra, a Reptarán Konklávéra, a Saurán Konklávéra, a Raptorán Konklávéra, a Tyrranán Konklávéra
_empire_containing_prefix_lowercase                           | a Ssslaura Konklávéban, a Reptarán Konklávéban, a Saurán Konklávéban, a Raptorán Konklávéban, a Tyrranán Konklávéban
_empire_within_prefix_lowercase                           | a Ssslaura Konklávén, a Reptarán Konklávén, a Saurán Konklávén, a Raptorán Konklávén, a Tyrranán Konklávén

_race                           | Ssslaura, Reptarán, Saurán, Raptorán, Tyrranán
_race_prefix_lowercase                           | a Ssslaura, a Reptarán, a Saurán, a Raptorán, a Tyrranán
_race_prefix_uppercase                           | A Ssslaura, A Reptarán, A Saurán, A Raptorán, A Tyrranán
_race_whose_lowercase                           | ssslaurai, reptaráni, sauráni, raptoráni, tyrranáni
_race_whose_uppercase                           | Ssslaurai, Reptaráni, Sauráni, Raptoráni, Tyrranáni
_race_whose_prefix_lowercase                           | a ssslaurai, a reptaráni, a sauráni, a raptoráni, a tyrranáni
_race_whose_prefix_uppercase                           | A ssslaurai, A reptaráni, A sauráni, A raptoráni, A tyrranáni
_race_possessive                           | Ssslaurák, Reptarák, Saurák, Raptorák, Tyrranák
_race_possessive_prefix_lowercase                           | a Ssslaurák, a Reptarák, a Saurák, a Raptorák, a Tyrranák
