// race-specific variables (must start with _)
_empire                           | Krizlon Birodalom, Ingeon Birodalom, Sedimod Birodalom, Graniton Birodalom, Magmon Birodalom
_empire_prefix_lowercase                           | a Krizlon Birodalom, az Ingeon Birodalom, a Sedimod Birodalom, a Graniton Birodalom, a Magmon Birodalom
_empire_prefix_uppercase                           | A Krizlon Birodalom, Az Ingeon Birodalom, A Sedimod Birodalom, A Graniton Birodalom, A Magmon Birodalom
_empire_originating_prefix_lowercase                           | a Krizlon Birodalomból, az Ingeon Birodalomból, a Sedimod Birodalomból, a Graniton Birodalomból, a Magmon Birodalomból
_empire_taking_prefix_lowercase                           | a Krizlon Birodalomtól, az Ingeon Birodalomtól, a Sedimod Birodalomtól, a Graniton Birodalomtól, a Magmon Birodalomtól
_empire_relational                           | Krizlon Birodalommal, Ingeon Birodalommal, Sedimod Birodalommal, Graniton Birodalommal, Magmon Birodalommal
_empire_relational_prefix_lowercase                           | a Krizlon Birodalommal, az Ingeon Birodalommal, a Sedimod Birodalommal, a Graniton Birodalommal, a Magmon Birodalommal
_empire_giving_prefix_lowercase                           | a Krizlon Birodalomnak, az Ingeon Birodalomnak, a Sedimod Birodalomnak, a Graniton Birodalomnak, a Magmon Birodalomnak
_empire_giving_prefix_uppercase                           | A Krizlon Birodalomnak, Az Ingeon Birodalomnak, A Sedimod Birodalomnak, A Graniton Birodalomnak, A Magmon Birodalomnak
_empire_addressing_prefix_lowercase                           | a Krizlon Birodalmat, az Ingeon Birodalmat, a Sedimod Birodalmat, a Graniton Birodalmat, a Magmon Birodalmat
_empire_approaching_prefix_lowercase                           | a Krizlon Birodalomhoz, az Ingeon Birodalomhoz, a Sedimod Birodalomhoz, a Graniton Birodalomhoz, a Magmon Birodalomhoz
_empire_lean_prefix_lowercase                           | a Krizlon Birodalomra, az Ingeon Birodalomra, a Sedimod Birodalomra, a Graniton Birodalomra, a Magmon Birodalomra
_empire_containing_prefix_lowercase                           | a Krizlon Birodalomban, az Ingeon Birodalomban, a Sedimod Birodalomban, a Graniton Birodalomban, a Magmon Birodalomban
_empire_within_prefix_lowercase                           | a Krizlon Birodalmon, az Ingeon Birodalmon, a Sedimod Birodalmon, a Graniton Birodalmon, a Magmon Birodalmon

_race                           | Krizlon, Ingeon, Sedimod, Graniton, Magmon
_race_prefix_lowercase                           | a Krizlon, az Ingeon, a Sedimod, a Graniton, a Magmon
_race_prefix_uppercase                           | A Krizlon, Az Ingeon, A Sedimod, A Graniton, A Magmon
_race_whose_lowercase                           | krizloni, ingeoni, sedimodi, granitoni, magmoni
_race_whose_uppercase                           | Krizloni, Ingeoni, Sedimodi, Granitoni, Magmoni
_race_whose_prefix_lowercase                           | a krizloni, az ingeoni, a sedimodi, a granitoni, a magmoni
_race_whose_prefix_uppercase                           | A krizloni, Az ingeoni, A sedimodi, A granitoni, A magmoni
_race_possessive                           | Krizlonok, Ingeonok, Sedimodok, Granitonok, Magmonok
_race_possessive_prefix_lowercase                           | a Krizlonok, az Ingeonok, a Sedimodok, a Granitonok, a Magmonok
_race_possessive_prefix_uppercase                           | A Krizlonok, Az Ingeonok, A Sedimodok, A Granitonok, A Magmonok
_race_relational                           | Krizlonokkal, Ingeonokkal, Sedimodokkal, Granitonokkal, Magmonokkal
_race_relational_prefix_lowercase                           | a Krizlonokkal, az Ingeonokkal, a Sedimodokkal, a Granitonokkal, Magmonokkal
_race_giving                           | Krizlonoknak, Ingeonoknak, Sedimodoknak, Granitonoknak, Magmonoknak
_race_giving_prefix_lowercase                           | a Krizlonoknak, az Ingeonoknak, a Sedimodoknak, a Granitonoknak, a Magmonoknak
_race_regarding                           | Krizlonokat, Ingeonokat, Sedimodokat, Granitonokat, Magmonokat
_race_regarding_prefix_lowercase                           | a Krizlonokat, az Ingeonokat, a Sedimodokat, a Granitonokat, a Magmonokat
_race_taking_prefix_lowercase                           | a Krizlonoktól, az Ingeonoktól, a Sedimodoktól, a Granitonoktól, a Magmonoktól
