

//
// Armor techs
// 
ARMOR_0_NAME     | Titánpáncél
ARMOR_0_ITEM     | Titán
ARMOR_0_BRIEF    | Állékonyságpontok %1
ARMOR_0_DETAIL   | Kezdeti páncél technológia. Nincs bónusz a hajópáncélzatra vagy a tereptámadásokra.

ARMOR_1_NAME     | Strapaötvözet-páncél
ARMOR_1_ITEM     | Strapaötvözet
ARMOR_1_BRIEF    | Állékonyságpontok %1
ARMOR_1_DETAIL   | 50%-kal növeli a hajók és a szállítók állékonyságpontjait. A személyes harci páncél is javul, 5-öt hozzáadva minden tereptámadáshoz.

ARMOR_2_NAME     | Zortritpáncél
ARMOR_2_ITEM     | Zortrit
ARMOR_2_BRIEF    | Állékonyságpontok %1
ARMOR_2_DETAIL   | 100%-kal növeli a hajók és a szállítók állékonyságpontjait. A személyes harci páncél is javul, 10-et hozzáadva minden tereptámadáshoz.

ARMOR_3_NAME     | Andrinpáncél
ARMOR_3_ITEM     | Andrin
ARMOR_3_BRIEF    | Állékonyságpontok %1
ARMOR_3_DETAIL   | 150%-kal növeli a hajók és a szállítók állékonyságpontjait. A személyes harci páncél is javul, 15-öt hozzáadva minden tereptámadáshoz.

ARMOR_4_NAME     | Tritánpáncél
ARMOR_4_ITEM     | Tritan
ARMOR_4_BRIEF    | Állékonyságpontok %1
ARMOR_4_DETAIL   | 200%-kal növeli a hajók és a szállítók állékonyságpontjait. A személyes harci páncél is javul, 20-at hozzáadva minden tereptámadáshoz.

ARMOR_5_NAME     | Adamántpáncél
ARMOR_5_ITEM     | Adamánt
ARMOR_5_BRIEF    | Állékonyságpontok %1
ARMOR_5_DETAIL   | 250%-kal növeli a hajók és a szállítók állékonyságpontjait. A személyes harci páncél is javul, 25-öt hozzáadva minden tereptámadáshoz.

ARMOR_6_NAME     | Neutronitpáncél
ARMOR_6_ITEM     | Neutronit
ARMOR_6_BRIEF    | Állékonyságpontok %1
ARMOR_6_DETAIL   | 300%-kal növeli a hajók és a szállítók állékonyságpontjait. A személyes harci páncél is javul, 30-at hozzáadva minden tereptámadáshoz.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Légköri terraformálás
ATMOSPHERE_0_DETAIL    | Az ellenséges közeget normális közeggé alakítja át 150 EK-ért.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automatizált javítási rendszer
AUTOREPAIR_0_BRIEF     | 15%-kal javítja a hajók állékonyságát
AUTOREPAIR_0_DETAIL    | A hajók, amelyek nem lettek elpusztítva, minden forduló végén az állékonyságpontjaik maximumának akár 15%-át visszanyerhetik.

AUTOREPAIR_1_NAME      | Fejlett kárelhárítási szabályozó
AUTOREPAIR_1_BRIEF     | 30%-kal javítja a hajók állékonyságát
AUTOREPAIR_1_DETAIL    | A hajók, amelyek nem lettek elpusztítva, minden forduló végén az állékonyságpontjaik maximumának akár 30%-át visszanyerhetik.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Támadásszint 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Harci számítógép Szint I
COMPUTER_1_ITEM    | Szint I
COMPUTER_1_BRIEF   | Támadásszint I
COMPUTER_1_DETAIL  | Az 1. szintre növeli a fegyver pontosságát.

COMPUTER_2_NAME    | Harci számítógép Szint II
COMPUTER_2_ITEM    | Szint II
COMPUTER_2_BRIEF   | Támadásszint II
COMPUTER_2_DETAIL  | A 2. szintre növeli a fegyver pontosságát.

COMPUTER_3_NAME    | Harci számítógép Szint III
COMPUTER_3_ITEM    | Szint III
COMPUTER_3_BRIEF   | Támadásszint III
COMPUTER_3_DETAIL  | A 3. szintre növeli a fegyver pontosságát.

COMPUTER_4_NAME    | Harci számítógép Szint IV
COMPUTER_4_ITEM    | Szint IV
COMPUTER_4_BRIEF   | Támadásszint IV
COMPUTER_4_DETAIL  | A 4. szintre növeli a fegyver pontosságát.

COMPUTER_5_NAME    | Harci számítógép Szint V
COMPUTER_5_ITEM    | Szint V
COMPUTER_5_BRIEF   | Támadásszint V
COMPUTER_5_DETAIL  | Az 5. szintre növeli a fegyver pontosságát.

COMPUTER_6_NAME    | Harci számítógép Szint VI
COMPUTER_6_ITEM    | Szint VI
COMPUTER_6_BRIEF   | Támadásszint VI
COMPUTER_6_DETAIL  | A 6. szintre növeli a fegyver pontosságát.

COMPUTER_7_NAME    | Harci számítógép Szint VII
COMPUTER_7_ITEM    | Szint VII
COMPUTER_7_BRIEF   | Támadásszint VII
COMPUTER_7_DETAIL  | A 7. szintre növeli a fegyver pontosságát.

COMPUTER_8_NAME    | Harci számítógép Szint VIII
COMPUTER_8_ITEM    | Szint VIII
COMPUTER_8_BRIEF   | Támadásszint VIII
COMPUTER_8_DETAIL  | A 8. szintre növeli a fegyver pontosságát.

COMPUTER_9_NAME    | Harci számítógép Szint IX
COMPUTER_9_ITEM    | Szint IX
COMPUTER_9_BRIEF   | Támadásszint IX
COMPUTER_9_DETAIL  | A 9. szintre növeli a fegyver pontosságát.

COMPUTER_10_NAME   | Harci számítógép Szint X
COMPUTER_10_ITEM   | Szint X
COMPUTER_10_BRIEF  | Támadásszint X
COMPUTER_10_DETAIL | A 10. szintre növeli a fegyver pontosságát.

COMPUTER_11_NAME   | Harci számítógép Szint XI
COMPUTER_11_ITEM   | Szint XI
COMPUTER_11_BRIEF  | Támadásszint XI
COMPUTER_11_DETAIL | A 11. szintre növeli a fegyver pontosságát.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Páncél
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Harci öltözet
BATTLESUIT_1_DETAIL  | Páncél, amely nem csak véd, hanem az erőt is növeli. 10-et ad minden terepharci gurításhoz.

BATTLESUIT_2_NAME    | Páncélosított külső váz
BATTLESUIT_2_DETAIL  | Előrehaladottabb mobilitást nyújtó öltözetek, amelyek nemcsak az erőt és a védelmet növelik, hanem korlátozott repülési képességeket is kínálnak a terepen mozgó csapatoknak. 20-at ad minden terepharci gurításhoz.

BATTLESUIT_3_NAME    | Erőtáplált páncél
BATTLESUIT_3_DETAIL  | Ötvözi a magas mobilitást, antigravitációs repülést és a nehézpáncél bevonatot, ami a terepharci csapatok számára elérhető legfejlettebb páncélt nyújtja. 30-at ad minden terepharci gurításhoz.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Magas energiafókusz
BEAMFOCUS_0_BRIEF   | Hozzáad +3-at az energiafegyver hatótávolságához
BEAMFOCUS_0_DETAIL  | Az összes energiafegyver hatótávolságát hárommal növeli.

BEAMFOCUS_1_NAME    | Orákulum kezelőfelület
BEAMFOCUS_1_BRIEF   | Összpontosítja a sugárfegyvereket, az ellenség pajzsát a felére csökkenti
BEAMFOCUS_1_DETAIL  | Összpontosítja az összes sugárfegyvert egy egyidejű, összpontosított tűzkitörésbe, felére csökkentve az ellenség pajzsának erejét.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Biotoxin ellenméreg
BIOANTIDOTE_0_DETAIL  | Támadásonként 1M-val csökkenti a biológiai fegyverekből származó veszteségeket.

BIOANTIDOTE_1_NAME    | Univerzális ellenméreg
BIOANTIDOTE_1_DETAIL  | Támadásonként 2M-val csökkenti a biológiai fegyverekből származó veszteségeket.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Halálspórák
BIOWEAPON_0_BRIEF    | Biológiai fegyver
BIOWEAPON_0_DETAIL   | Szörnyű biológiai fegyver, amely támadásonként képes egy bolygó maximális népességét 1M-val csökkenteni.

BIOWEAPON_1_NAME     | Végzetvírus
BIOWEAPON_1_BRIEF    | Biológiai fegyver
BIOWEAPON_1_DETAIL   | Rettenetes biológiai fegyver, amely támadásonként képes egy bolygó maximális népességét 2M-val csökkenteni.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Biológiai fegyver
BIOWEAPON_2_DETAIL   | Gyalázatos biológiai fegyver, amely támadásonként képes egy bolygó maximális népességét 3M-val csökkenteni.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Fekete lyuk generátor
BLACKHOLE_0_DETAIL   | Létrehoz egy altér mezőt, amely elgörbíti a normál teret, létrehozva egy fekete lyukat, amely megsemmisíti az ellenséges hajókat vagy rakétabázisokat 25%-tól 100%-ig, pajzsszintekként ennyivel kevesebb: 2%.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Atombomba
BOMB_0_BRIEF    | Csak tereptámadásokra
BOMB_0_DETAIL   | Bombák, amelyek robbanása 3-12 pontértékű kárt okoz, de csak terepen.

BOMB_1_NAME     | Hidrogénbomba
BOMB_1_BRIEF    | Csak tereptámadásokra
BOMB_1_DETAIL   | Bombák, amelyek robbanása 5-20 pontértékű kárt okoz, de csak terepen.

BOMB_2_NAME     | Antianyag-bomba
BOMB_2_BRIEF    | Csak tereptámadásokra
BOMB_2_DETAIL   | Bombák, amelyek robbanása 10-40 pontértékű kárt okoz, de csak terepen.

BOMB_3_NAME     | Omega-V bomba
BOMB_3_BRIEF    | Csak tereptámadásokra
BOMB_3_DETAIL   | Bombák, amelyek robbanása 20-50 pontértékű kárt okoz, de csak terepen.

BOMB_4_NAME     | Neutrinbomba
BOMB_4_BRIEF    | Csak tereptámadásokra
BOMB_4_DETAIL   | Bombák, amelyek robbanása 40-70 pontértékű kárt okoz, de csak terepen.


//
// Cloaking tech
//
CLOAK_0_NAME     | Álcaeszköz
CLOAK_0_BRIEF    | A hajókat szinte láthatatlanná teszi
CLOAK_0_DETAIL   | A hajókat szinte láthatatlanná teszi s amíg nem támadnak, a védelmüket +5-tel javítja. A hajóknak fel kell fedniük magukat, hogy támadhassanak, és automatikusan újraálcázzák magukat minden fordulóban, amelyben nem támadnak.


//
// Cloning tech
//
CLONE_0_NAME     | Klónozás
CLONE_0_DETAIL   | Lehetővé teszi a biotervezett gyarmatosok 1M / 10 EK iramú termesztését.

CLONE_1_NAME     | Fejlett klónozás
CLONE_1_DETAIL   | Lehetővé teszi a biotervezett gyarmatosok 1M / 5 EK iramú termesztését.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Harci szállítók
COMBATTRANSPORT_0_DETAIL   | Az ezekkel az eszközökkel felszerelt szállítóknak 50%-os esélye van az ellenséges terepekre sugározniuk az utasaikat mielőtt az ellenséges hajók és a rakétabázisok megtámadhatnák őket.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Irányított normál közeg
CONTROLENV_0_ITEM    | Szabványos gyarmatbázis
CONTROLENV_0_BRIEF   | Lehetővé teszi a leszállásokat normál bolygókra
CONTROLENV_0_DETAIL  | Lehetővé teszi a szabványos bolygók gyarmatosítását.

CONTROLENV_1_NAME    | Irányított sivár közeg
CONTROLENV_1_ITEM    | Sivár gyarmatbázis
CONTROLENV_1_BRIEF   | Lehetővé teszi a leszállásokat sivár bolygókra
CONTROLENV_1_DETAIL  | Lehetővé teszi a sivár és kevésbé ellenséges bolygók gyarmatosítását.

CONTROLENV_2_NAME    | Irányított tundrás közeg
CONTROLENV_2_ITEM    | Tundra gyarmatbázis
CONTROLENV_2_BRIEF   | Lehetővé teszi a leszállásokat tundra bolygókra
CONTROLENV_2_DETAIL  | Lehetővé teszi a tundra és kevésbé ellenséges bolygók gyarmatosítását.

CONTROLENV_3_NAME    | Irányított halott közeg
CONTROLENV_3_ITEM    | Halott gyarmatbázis
CONTROLENV_3_BRIEF   | Lehetővé teszi a leszállásokat halott bolygókra
CONTROLENV_3_DETAIL  | Lehetővé teszi a halott és kevésbé ellenséges bolygók gyarmatosítását.

CONTROLENV_4_NAME    | Irányított pokoli közeg
CONTROLENV_4_ITEM    | Pokol gyarmatbázis
CONTROLENV_4_BRIEF   | Lehetővé teszi a leszállásokat pokol bolygókra
CONTROLENV_4_DETAIL  | Lehetővé teszi a pokol és kevésbé ellenséges bolygók gyarmatosítását.

CONTROLENV_5_NAME    | Irányított toxikus közeg
CONTROLENV_5_ITEM    | Toxikus gyarmatbázis
CONTROLENV_5_BRIEF   | Lehetővé teszi a leszállásokat toxikus bolygókra
CONTROLENV_5_DETAIL  | Lehetővé teszi a toxikus és kevésbé ellenséges bolygók gyarmatosítását.

CONTROLENV_6_NAME    | Irányított besugárzott közeg
CONTROLENV_6_ITEM    | Besugárzott gyarmatbázis
CONTROLENV_6_BRIEF   | Lehetővé teszi a leszállásokat besugárzott bolygókra
CONTROLENV_6_DETAIL  | Lehetővé teszi a besugárzott és kevésbé ellenséges bolygók gyarmatosítását.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | I. osztályú terelőpajzsok
DEFLECTOR_1_ITEM      | I. osztály
DEFLECTOR_1_BRIEF     | Elnyel 1 találatot
DEFLECTOR_1_DETAIL    | Elnyeli az összes támadás 1 pontját.

DEFLECTOR_2_NAME      | II. osztályú terelőpajzsok
DEFLECTOR_2_ITEM      | II. osztály
DEFLECTOR_2_BRIEF     | Elnyel 2 találatot
DEFLECTOR_2_DETAIL    | Elnyeli az összes támadás 2 pontját.

DEFLECTOR_3_NAME      | III. osztályú terelőpajzsok
DEFLECTOR_3_ITEM      | III. osztály
DEFLECTOR_3_BRIEF     | Elnyel 3 találatot
DEFLECTOR_3_DETAIL    | Elnyeli az összes támadás 3 pontját.

DEFLECTOR_4_NAME      | IV. osztályú terelőpajzsok
DEFLECTOR_4_ITEM      | IV. osztály
DEFLECTOR_4_BRIEF     | Elnyel 4 találatot
DEFLECTOR_4_DETAIL    | Elnyeli az összes támadás 4 pontját.

DEFLECTOR_5_NAME      | V. osztályú terelőpajzsok
DEFLECTOR_5_ITEM      | V. osztály
DEFLECTOR_5_BRIEF     | Elnyel 5 találatot
DEFLECTOR_5_DETAIL    | Elnyeli az összes támadás 5 pontját.

DEFLECTOR_6_NAME      | VI. osztályú terelőpajzsok
DEFLECTOR_6_ITEM      | VI. osztály
DEFLECTOR_6_BRIEF     | Elnyel 6 találatot
DEFLECTOR_6_DETAIL    | Elnyeli az összes támadás 6 pontját.
