// race-specific variables (must start with _)
_empire                           | Nazlok, Sarlok, Spylok, Shadelok, Dralok
_race                             | Nazlok, Sarlok, Spylok, Shadelok, Dralok
_race_plural                      | Nazlok, Sarlok, Spylok, Shadelok, Dralok
_title                            | Pimpinan
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Penasehat %1
MAIN_ADVISOR_BUTTON_OK            | Bubar
MAIN_ADVISOR_SCOUT                | Kami telah menyelesaikan pembangunan sepasang pesawat angkasa kecil dan kapal koloni. Mari kita berharap jawaban yang kita cari memperlihatkan dirinya di dunia yang dekat sini.
MAIN_ADVISOR_TRANSPORT            | Tidak ada jawaban ditemukan di planet %1. Kita seharusnya masih menambah jumlah orang-orang kita di sana dengan cara mengirimkan transpor cadangan apapun yang bisa berangkat.
MAIN_ADVISOR_DIPLOMACY            | Perwakilan dari orang asli planet ini telah menunjukkan diri. Kita harus melakukan apapun yang kita bisa untuk mempelajari jawaban apapun yang mereka miliki.
MAIN_ADVISOR_SHIP_ENGINE          | Kita telah menemukan cara untuk memproduksi mesin yang lebih efisien. Kita harus meraih konsensus dalam hal bagaimana cara terbaik untuk memperbarui desain kapal kita untuk menggunakan teknologi baru ini.
MAIN_ADVISOR_RALLY_POINTS         | suatu konflik yang tak terhindarkan telah dimulai! Fasilitas produksi kita dapat mengarahkan kapal baru mereka untuk beriringan menuju satu dunia dan membentuk armada di sana untuk mempertahankan kita dari serangan.
MAIN_ADVISOR_MISSILE_BASES        | Kita telah kehilangan terlalu banyak untuk bisa datang ke semesta ini, tidak sanggup untuk kehilangan lagi: suruh koloni kita melindungi diri mereka sendiri dari musuh dengan membangun basis misil pertahanan sebanyak mungkin sebisa mereka.
